m_GeV,delta_keV,f2,Z5,B,kappa_hat,mu_hi,mu_gap,mu_lomid,mu_he,exo_fraction_of_hi,exo_fraction_of_roi
1000.0,100.0,0.0,0.8977815278225671,0.0023219922575790806,2.1762915534667267e-08,0.004325809852579141,0.03699428513090116,1.9464245197147272,0.0019916196587815823,0.0,0.0
1000.0,100.0,1e-08,0.8977815266738829,0.0023219922469646962,2.1762920351045647e-08,0.004325810999876524,0.03699429483414304,1.9464250431942993,0.0019916202018628298,5.391013113399139e-08,5.753409817395265e-08
1000.0,100.0,1.7782794100389228e-08,0.8977815257799324,0.002321992238703747,2.1762913674309214e-08,0.004325809820574798,0.036994284664373475,1.9464245181997986,0.001991619670473795,9.586727291187331e-08,1.023116983728961e-07
1000.0,100.0,3.162277660168379e-08,0.8977815241902246,0.0023219922240134685,2.1762918089552543e-08,0.004325810961077987,0.03699429426787279,1.9464250414047797,0.0019916202161335992,1.704787871555075e-07,1.8193877465340828e-07
1000.0,100.0,5.6234132519034905e-08,0.8977815213632699,0.0023219921978900387,2.1762915510709516e-08,0.004325810915966911,0.03699429361521129,1.9464250389404512,0.0019916202319393925,3.0315888428503696e-07,3.2353793900385954e-07
1000.0,100.0,1e-07,0.8977815163361519,0.0023219921514353037,2.1762905069705707e-08,0.00432580967192904,0.036994282501638616,1.9464245108912521,0.0019916197242202255,5.391010982919125e-07,5.75340735604797e-07
1000.0,100.0,1.7782794100389227e-07,0.8977815073965044,0.002321992068825864,2.1762902786518187e-08,0.004325810696416823,0.03699429041912562,1.9464250282607758,0.0019916203115589617,9.58672055402051e-07,1.0231162053829212e-06
1000.0,100.0,3.162277660168379e-07,0.8977814914994094,0.002321991921923347,2.1762888300449897e-08,0.004325810445880339,0.03699428677581141,1.946425015816284,0.001991620401887538,1.7047857410772858e-06,1.8193852851895702e-06
1000.0,100.0,5.62341325190349e-07,0.8977814632299571,0.0023219916606900914,2.176285668327887e-08,0.004325808836171428,0.03699427034088782,1.9464244698539026,0.0019916200265207686,3.0315821056960604e-06,3.235371606593845e-06
1000.0,100.0,1e-06,0.8977814129590876,0.002321991196145919,2.1762816737074523e-08,0.004325809209206314,0.036994268785380965,1.9464249548336503,0.00199162084867071,5.390989678211598e-06,5.753382742690842e-06
1000.0,100.0,1.778279410038923e-06,0.8977813235639601,0.0023219903700614298,2.1762735284473622e-08,0.004325807801872724,0.03699424831075314,1.9464248855383337,0.00199162135732037,9.5866531828731e-06,1.0231084219876567e-05
