tag,delta_keV,pct248_P058,pct248_here,gap_per_hi_P058,gap_per_hi_here,gap_per_hi_true,Z4_exo_P058,Z4_exo_here,Z5_exo_here,Z4_endo_P058,Z4_endo_here,Z5_endo_here,B_exo,B_endo,mu_hi_exo,mu_hi_endo,D248_per_hi_exo,D248_per_hi_endo
iso,278.0,0.997,0.996694659010164,6.3,5.756564987538827,6.209476662895055,2.9,2.9272836950211767,2.4461761364782024,3.0,3.0220484289457414,2.5575201489870243,0.6019755739928205,1.0624318429771848,0.10958027851911996,0.1463702386473403,0.003868671891974629,0.0038689773624197787
iso,300.0,0.996,0.9955641930081734,5.9,5.387497080296349,5.791116117542937,2.94,2.9641039292630813,2.4974869318990853,3.05,3.068751536428593,2.63088966599675,0.7651671228585641,1.4824753556491364,0.12260893563588122,0.16925550144149348,0.003947372255104016,0.004067674555399247
iso,350.0,0.993,0.9929304344577975,4.9,4.509017780921513,4.8006057350924465,3.0,3.018795044608344,2.5821237481240007,3.19,3.180514019090604,2.878696953696044,1.1204990354183997,4.164662569587876,0.145057080640788,0.2416478429600196,0.004166021796579136,0.005705019766799233
iso,380.0,0.992,0.9912824217482238,4.3,3.975507637711318,4.203196913001632,3.03,3.0420678760194826,2.6236725396869502,2.34,2.3311129340590018,2.28069798858957,1.3402963273739779,0.0837636617976882,0.15592195475542187,0.022231814512154738,0.004330559593905959,0.012677735453177293
p,300.0,0.984,0.9837855336385685,2.9,2.836297995468176,2.917582148671746,3.13,3.13826052957631,2.9020155653393296,3.23,3.2307802302479147,3.01517805537067,3.8873545419331372,7.3179370441349985,0.21132749768460102,0.2845554268456339,0.006979376161049671,0.007271877201874694
p,380.0,0.971,0.9695376926231707,2.2,2.126779483919715,2.154701726473101,3.2,3.206650577475389,3.0031381040250835,2.97,2.93978666711379,3.051190803885291,6.528874094125959,3.316310419463661,0.263208258946803,0.11565641483230547,0.007579650614207986,0.019972738142321655
