m_GeV,delta_Estar248,delta_mode248,delta_p84_248,delta_p95_248,mode_range,best_pct248,delta_best_pct,min_gap_per_hi,delta_min_gap
300.0,349.1196238210667,[],[],[],"(23.5, 179.5)",0.9847753102776994,500.0,2.531948203389715,500.0
500.0,308.67177429264007,[],[],[],"(23.5, 181.5)",0.9823987122680363,500.0,2.2762778763413696,500.0
1000.0,278.33588714632003,[],[],[],"(24.5, 183.5)",0.9804643702344554,500.0,2.1051603910719274,500.0
2000.0,263.16794357316,[],[],[],"(24.5, 184.5)",0.9794508512651573,500.0,2.026293775982023,500.0
4000.0,255.58397178657998,[],[],[],"(24.5, 184.5)",0.9789324553234032,500.0,1.988532019664319,500.0
10000.0,251.03358871463203,[],[],[],"(24.5, 185.5)",0.9786053078140197,500.0,1.965116459195983,500.0
