delta_keV,B_exo,B_endo,B_exo_gapx0.5,B_endo_gapx0.5,B_exo_gapx2.0,B_endo_gapx2.0,B_exo_lomidx0.5,B_endo_lomidx0.5,B_exo_lomidx2.0,B_endo_lomidx2.0,B_exo_he1700x0.5,B_endo_he1700x0.5,B_exo_he1700x2.0,B_endo_he1700x2.0,B_exo_he1000,B_endo_he1000
300.0,0.7651671228585641,1.4824753556491364,0.7651671228585599,1.4824753556491286,0.7651671228585604,1.4824753556491292,1.2472311047912794,1.533415856419055,0.6207770743400024,1.4579325550155304,0.7651671228585553,1.4824753556491181,0.765167122858559,1.4824753556491284,0.7907424004759831,1.5265118338684727
350.0,1.1204990354183997,4.164662569587876,1.1204990354183955,4.164662569587859,1.1204990354183957,4.164662569587864,1.2879647399003102,4.164690499565138,1.0485112612378422,4.164648604702423,1.1204990354183884,4.164662569587829,1.1204990354183937,4.164662569587852,1.1790644597935145,4.538563630367439
500.0,1.9584682252453884,,1.9584682252453756,,1.9584682252453784,,1.9733152030731567,,1.9511061750924852,,1.9584682252453653,,1.958468225245379,,2.365617167222247,
