structure,dm_type,dim,m_chi_GeV,q_label,q_GeV,c1p,c1n,c3p,c3n,c4p,c4n,c5p,c5n,c6p,c6n,c7p,c7n,c8p,c8n,c9p,c9n,c10p,c10n,c11p,c11n,c12p,c12n,c14p,c14n
Q18_univ,D,7,4000,q_event,0.246382,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,1.52105,1.52105
Q18_univ,D,7,4000,q_50MeV,0.05,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,1.52105,1.52105
TW2_quark,D,7,200,q_event,0.246382,0.402519,0.403074,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_quark,D,7,200,q_50MeV,0.05,0.402519,0.403074,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_quark,D,7,1000,q_event,0.246382,0.402519,0.403074,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_quark,D,7,1000,q_50MeV,0.05,0.402519,0.403074,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_quark,D,7,4000,q_event,0.246382,0.402519,0.403074,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_quark,D,7,4000,q_50MeV,0.05,0.402519,0.403074,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_gluon,D,7,200,q_event,0.246382,0.294852,0.295258,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_gluon,D,7,200,q_50MeV,0.05,0.294852,0.295258,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_gluon,D,7,1000,q_event,0.246382,0.294852,0.295258,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_gluon,D,7,1000,q_50MeV,0.05,0.294852,0.295258,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_gluon,D,7,4000,q_event,0.246382,0.294852,0.295258,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
TW2_gluon,D,7,4000,q_50MeV,0.05,0.294852,0.295258,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
