structure,description,anand_candidate,dm_type,majorana_allowed,dim,m_chi_GeV,N_lo,N_mid,f_hi,R_lo,R_hi,R_roi,N_events_unit_C,C_1event,Lambda_1event_GeV,Lambda_lo68_GeV,Lambda_hi68_GeV,Lambda_over_mchi,leading_op_248keV,frac_lead_248,leading_op_20keV,frac_lead_20,leading_piece_248,leading_piece_20,fractions_248,fractions_20,classification,Z_pred_P016,dRdE_248_unit,mu_chi_1event_muN,anapole_a_1event_GeV-2
MDM,magnetic dipole e/(8pi^2) chibar sigma^{mu nu} chi F_{mu nu} (photon-mediated),none (long-range),D,False,5,200,1331.6,19.033,0.00050166,2.9379e+09,2.2063e+06,4.398e+09,1.249e+10,8.9478e-06,1.1176e+05,72140,2.0404e+05,558.8,O4,0.5892,O5,0.66908,4_c,5_bq2,"{""O1"": 0.0006, ""O4"": 0.5892, ""O5"": 0.0018, ""O6"": 0.4084}","{""O1"": 0.0177, ""O4"": 0.192, ""O5"": 0.6691, ""O6"": 0.1213}",excluded,0.74563,21776,4.2532e-07,
MDM,magnetic dipole e/(8pi^2) chibar sigma^{mu nu} chi F_{mu nu} (photon-mediated),none (long-range),D,False,5,1000,421.64,8.7431,0.0015974,6.2025e+08,1.471e+06,9.2091e+08,2.6154e+09,1.9554e-05,51141,33011,93370,51.141,O4,0.58945,O5,0.68402,4_c,5_bq2,"{""O1"": 0.0, ""O4"": 0.5894, ""O5"": 0.002, ""O6"": 0.4085}","{""O1"": 0.0007, ""O4"": 0.1932, ""O5"": 0.684, ""O6"": 0.1221}",excluded,1.5001,16725,9.2946e-07,
MDM,magnetic dipole e/(8pi^2) chibar sigma^{mu nu} chi F_{mu nu} (photon-mediated),none (long-range),D,False,5,4000,360.57,7.9208,0.0018705,1.5662e+08,4.3436e+05,2.3222e+08,6.5951e+08,3.894e-05,25681,16577,46887,6.4202,O4,0.58936,O5,0.68502,4_c,5_bq2,"{""O1"": 0.0, ""O4"": 0.5894, ""O5"": 0.002, ""O6"": 0.4086}","{""O1"": 0.0, ""O4"": 0.193, ""O5"": 0.685, ""O6"": 0.1219}",excluded,1.5876,5028.3,1.8509e-06,
EDM,electric dipole e/(8pi^2) chibar sigma^{mu nu} i g5 chi F_{mu nu},none (long-range),D,False,5,200,54496,406.75,1.2192e-05,2.4461e+15,4.4885e+10,3.6814e+15,1.0455e+16,9.7799e-09,1.0225e+08,6.6003e+07,1.8668e+08,5.1125e+05,O11,1,O11,1,11_bq2,11_bq2,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,0,1.8973e+08,,
EDM,electric dipole e/(8pi^2) chibar sigma^{mu nu} i g5 chi F_{mu nu},none (long-range),D,False,5,1000,18212,173.15,3.7017e-05,5.2011e+14,2.8558e+10,7.7148e+14,2.191e+15,2.1364e-08,4.6808e+07,3.0215e+07,8.546e+07,46808,O11,1,O11,1,11_bq2,11_bq2,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,0,1.4644e+08,,
EDM,electric dipole e/(8pi^2) chibar sigma^{mu nu} i g5 chi F_{mu nu},none (long-range),D,False,5,4000,15683,154.36,4.3077e-05,1.312e+14,8.3661e+09,1.9421e+14,5.5156e+14,4.258e-08,2.3485e+07,1.516e+07,4.2878e+07,5871.3,O11,1,O11,1,11_bq2,11_bq2,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,0,4.3975e+07,,
VV_univ,"vector-vector chibar g^mu chi qbar g_mu q, u=d=s",L5^s (certain),D,False,6,200,7908.5,205.85,0.00011284,7.8377e+19,9.9104e+15,8.7829e+19,2.4944e+20,6.3317e-11,1.2567e+05,1.0097e+05,1.6981e+05,628.36,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0, ""O3"": 0.0, ""O6"": 0.0, ""O4"": 0.0}","{""O1"": 1.0, ""O3"": 0.0, ""O6"": 0.0, ""O4"": 0.0}",excluded,0,2.0274e+13,,
VV_univ,"vector-vector chibar g^mu chi qbar g_mu q, u=d=s",L5^s (certain),D,False,6,1000,2755.6,92.151,0.00032343,1.7035e+19,6.1818e+15,1.9113e+19,5.4281e+19,1.3573e-10,85835,68962,1.1598e+05,85.835,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0, ""O3"": 0.0, ""O6"": 0.0, ""O4"": 0.0}","{""O1"": 1.0, ""O3"": 0.0, ""O6"": 0.0, ""O4"": 0.0}",excluded,0.16239,1.5627e+13,,
VV_univ,"vector-vector chibar g^mu chi qbar g_mu q, u=d=s",L5^s (certain),D,False,6,4000,2387,82.809,0.00037325,4.311e+18,1.8061e+15,4.8388e+18,1.3742e+19,2.6976e-10,60885,48917,82268,15.221,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0, ""O3"": 0.0, ""O6"": 0.0, ""O4"": 0.0}","{""O1"": 1.0, ""O3"": 0.0, ""O6"": 0.0, ""O4"": 0.0}",excluded,0.26651,4.6946e+12,,
VV_isov,"vector-vector, u=-d",L5^v (certain),D,False,6,200,1610.7,18.705,0.00054416,1.9324e+17,1.1998e+14,2.2048e+17,6.2617e+17,1.2637e-09,28130,22601,38010,140.65,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.59663,2.2195e+12,,
