structure,m_chi_GeV,piece,c0_factor,c1_factor,kind,diag_rate_20keV,diag_rate_248keV,frac_248,frac_20
SGGt,200,10_q2pi,0,0.43326,q2pi,5.6374e+06,4.2361e+06,0.98733,0.9824
SGGt,200,10_q2eta,0.15213,0,q2eta,4297,27002,0.0062935,0.00074881
SGGt,1000,10_c,-0.40564,-0.43326,const,21000,21048,0.0063778,0.016848
SGGt,1000,10_q2pi,0,0.43326,q2pi,1.2244e+06,3.2584e+06,0.98733,0.9824
SGGt,1000,10_q2eta,0.15213,0,q2eta,933.31,20771,0.0062939,0.00074881
SGGt,4000,10_c,-0.40564,-0.43326,const,5312.3,6335.1,0.0063785,0.016848
SGGt,4000,10_q2pi,0,0.43326,q2pi,3.0975e+05,9.8061e+05,0.98733,0.9824
SGGt,4000,10_q2eta,0.15213,0,q2eta,236.1,6250.2,0.006293,0.00074881
PGGt,200,6_c,-0.0019043,-0.002034,const,0.0029752,0.010473,0.0063819,0.016865
PGGt,200,6_q2pi,0,0.002034,q2pi,0.17331,1.6202,0.98733,0.98239
PGGt,200,6_q2eta,0.00071419,0,q2eta,0.0001321,0.01032,0.0062887,0.00074881
PGGt,1000,6_c,-0.00038086,-0.0004068,const,2.585e-05,0.00032221,0.0063815,0.016866
PGGt,1000,6_q2pi,0,0.0004068,q2pi,0.0015057,0.049851,0.98733,0.98239
PGGt,1000,6_q2eta,0.00014284,0,q2eta,1.1477e-06,0.00031754,0.0062891,0.00074881
PGGt,4000,6_c,-9.5215e-05,-0.0001017,const,4.0872e-07,6.0613e-06,0.0063823,0.016866
PGGt,4000,6_q2pi,0,0.0001017,q2pi,2.3806e-05,0.00093768,0.98733,0.98239
PGGt,4000,6_q2eta,3.571e-05,0,q2eta,1.8146e-08,5.972e-06,0.0062882,0.00074881
SS_univ,200,1_c,0.2058,-0.002,const,2.8187e+15,2.345e+10,1,1
SS_univ,1000,1_c,0.2058,-0.002,const,6.124e+14,1.8075e+10,1,1
SS_univ,4000,1_c,0.2058,-0.002,const,1.5491e+14,5.43e+09,1,1
PS_univ,200,11_c,-0.00096615,9.3892e-06,const,8.7703e+07,8957,1,1
PS_univ,1000,11_c,-0.00019323,1.8778e-06,const,7.6219e+05,276.16,1,1
PS_univ,4000,11_c,-4.8307e-05,4.6946e-07,const,12050,5.1852,1,1
SP_univ,200,10_pi,0,-0.015809,pi,3.2098e+08,1.5581e+06,0.17064,0.6328
SP_univ,200,10_eta,-0.15317,0,eta,1.8626e+08,7.5731e+06,0.82936,0.3672
SP_univ,1000,10_pi,0,-0.015809,pi,6.9716e+07,1.1985e+06,0.17063,0.6328
SP_univ,1000,10_eta,-0.15317,0,eta,4.0456e+07,5.8256e+06,0.82937,0.3672
SP_univ,4000,10_pi,0,-0.015809,pi,1.7636e+07,3.6069e+05,0.17065,0.6328
SP_univ,4000,10_eta,-0.15317,0,eta,1.0234e+07,1.7529e+06,0.82935,0.3672
SP_isov,200,10_pi,0,0.043596,pi,2.4408e+09,1.1849e+07,0.99988,0.99999
SP_isov,200,10_eta,-0.0021069,0,eta,35244,1433,0.00012093,1.4439e-05
SP_isov,1000,10_pi,0,0.043596,pi,5.3014e+08,9.1138e+06,0.99988,0.99999
SP_isov,1000,10_eta,-0.0021069,0,eta,7655,1102.3,0.00012094,1.4439e-05
SP_isov,4000,10_pi,0,0.043596,pi,1.3411e+08,2.7428e+06,0.99988,0.99999
SP_isov,4000,10_eta,-0.0021069,0,eta,1936.5,331.69,0.00012092,1.4439e-05
PP_univ,200,6_pi,0,-7.4219e-05,pi,9.8665,0.5959,0.17075,0.63279
PP_univ,200,6_eta,-0.00071906,0,eta,5.7255,2.8941,0.82925,0.36721
PP_univ,1000,6_pi,0,-1.4844e-05,pi,0.085721,0.018335,0.17074,0.63279
PP_univ,1000,6_eta,-0.00014381,0,eta,0.049744,0.08905,0.82926,0.36721
PP_univ,4000,6_pi,0,-3.7109e-06,pi,0.0013553,0.00034486,0.17076,0.63279
PP_univ,4000,6_eta,-3.5953e-05,0,eta,0.00078649,0.0016747,0.82924,0.36721
PP_isov,200,6_pi,0,0.00020466,pi,75.027,4.5314,0.99988,0.99999
PP_isov,200,6_eta,-9.8912e-06,0,eta,0.0010834,0.00054762,0.00012084,1.444e-05
PP_isov,1000,6_pi,0,4.0933e-05,pi,0.65184,0.13942,0.99988,0.99999
PP_isov,1000,6_eta,-1.9782e-06,0,eta,9.4125e-06,1.685e-05,0.00012084,1.444e-05
PP_isov,4000,6_pi,0,1.0233e-05,pi,0.010306,0.0026224,0.99988,0.99999
PP_isov,4000,6_eta,-4.9456e-07,0,eta,1.4882e-07,3.1689e-07,0.00012083,1.444e-05
TT_univ,200,4_c,-0.0084848,-0.019839,const,5.9739e+06,24122,1,1
TT_univ,1000,4_c,-0.0084848,-0.019839,const,1.2974e+06,18557,1,1
TT_univ,4000,4_c,-0.0084848,-0.019839,const,3.282e+05,5583.3,1,1
TT_isov,200,4_c,-0.011646,0.053984,const,2.2169e+08,9.2137e+05,1,1
TT_isov,1000,4_c,-0.011646,0.053984,const,4.8144e+07,7.0884e+05,1,1
TT_isov,4000,4_c,-0.011646,0.053984,const,1.2179e+07,2.1324e+05,1,1
PTT_univ,200,10_c,9.9582e-06,2.3284e-05,const,0.11407,0.0063754,8.6078e-10,6.0302e-13
PTT_univ,200,11_c,0.042137,-0.018815,const,1.8911e+11,7.3572e+06,0.99335,0.99972
PTT_univ,200,12_c,0.0084848,0.019839,const,5.2922e+07,49290,0.006655,0.00027976
PTT_univ,1000,10_c,1.9916e-06,4.6568e-06,const,0.00099105,0.00019614,3.4383e-11,2.4113e-14
PTT_univ,1000,11_c,0.042137,-0.018815,const,4.1088e+10,5.6665e+06,0.99333,0.99972
PTT_univ,1000,12_c,0.0084848,0.019839,const,1.1496e+07,38042,0.0066687,0.0002797
PTT_univ,4000,10_c,4.9791e-07,1.1642e-06,const,1.5669e-05,3.6898e-06,2.1525e-12,1.5072e-15
PTT_univ,4000,11_c,0.042137,-0.018815,const,1.0394e+10,1.7028e+06,0.99334,0.99972
PTT_univ,4000,12_c,0.0084848,0.019839,const,2.9081e+06,11424,0.0066642,0.00027972
Q15_univ,200,5_c,-11.267,0,const,1.401e+10,1.4024e+08,0.45662,0.9587
Q15_univ,200,6_c,-9.5094,0,const,9.3144e+07,6.5697e+07,0.21391,0.0063737
Q15_univ,200,1_q2,0.015,0,q2,3.5782e+08,4.5754e+05,0.0014898,0.024485
Q15_univ,200,4_q2,10.787,0,q2,1.5256e+08,1.0073e+08,0.32798,0.010439
Q15_univ,1000,5_c,-11.267,0,const,3.0892e+09,1.0799e+08,0.4575,0.98205
Q15_univ,1000,6_c,-9.5094,0,const,2.0231e+07,5.0537e+07,0.21411,0.0064314
Q15_univ,1000,1_q2,0.003,0,q2,3.1096e+06,14107,5.9768e-05,0.00098856
Q15_univ,1000,4_q2,10.787,0,q2,3.3131e+07,7.7498e+07,0.32833,0.010532
Q15_univ,4000,5_c,-11.267,0,const,7.8337e+08,3.2506e+07,0.45766,0.983
