E_keV,bkg_case,bb2n_per_tyr_keV,Pb214_per_tyr_keV,B_total_per_tyr_keV,sigma_E_keV,exposure_tyr,experiment,B_in_window,S90_events,f2_sigma_e_limit_cm2,f2_limit_DP_model
300,low,51.160739128469956,14.370558011205603,65.53129713967556,5.992562584220407,2.84,LZ 2.84 t yr,3345.8074023312133,109.54093027897783,3.441694403978645e-43,134828.745014208
300,low,51.160739128469956,14.370558011205603,65.53129713967556,5.992562584220407,1.0,1 t yr,1178.1011980039484,65.00058343829129,5.800046504285399e-43,227217.4398438243
300,low,51.160739128469956,14.370558011205603,65.53129713967556,5.992562584220407,20.0,20 t yr,23562.02396007897,290.6914462903327,1.2969298256242181e-43,50807.36411642605
300,central,51.160739128469956,22.99289281792896,74.15363194639892,5.992562584220407,2.84,LZ 2.84 t yr,3786.0347880370705,116.52477046464301,3.661121458542357e-43,143424.82325833934
300,central,51.160739128469956,22.99289281792896,74.15363194639892,5.992562584220407,1.0,1 t yr,1333.1108408581235,69.1447301563436,6.169831549493556e-43,241703.8083932231
300,central,51.160739128469956,22.99289281792896,74.15363194639892,5.992562584220407,20.0,20 t yr,26662.216817162473,309.22463383092787,1.379616275439045e-43,54046.614598783104
300,high,51.160739128469956,38.32148802988162,89.48222715835158,5.992562584220407,2.84,LZ 2.84 t yr,4568.6612515141505,128.0030845087559,4.021761532641803e-43,157552.93659008914
300,high,51.160739128469956,38.32148802988162,89.48222715835158,5.992562584220407,1.0,1 t yr,1608.6835392655462,75.95585644361465,6.777593005207828e-43,265512.9281823698
300,high,51.160739128469956,38.32148802988162,89.48222715835158,5.992562584220407,20.0,20 t yr,32173.670785310926,339.6849165942756,1.515515868347179e-43,59370.49563207986
350,low,61.02676765691072,14.042541643183597,75.06930930009432,6.511651818838306,2.84,LZ 2.84 t yr,4164.7907418534605,122.21444747994222,3.3624900870600773e-43,3784.3663714841095
350,low,61.02676765691072,14.042541643183597,75.06930930009432,6.511651818838306,1.0,1 t yr,1466.4756133286835,72.52093231774573,5.6665690168778054e-43,6377.5275685394145
350,low,61.02676765691072,14.042541643183597,75.06930930009432,6.511651818838306,20.0,20 t yr,29329.51226657367,324.32346890828165,1.2670833520932927e-43,1426.058517163308
350,central,61.02676765691072,22.46806662909374,83.49483428600446,6.511651818838306,2.84,LZ 2.84 t yr,4632.232746898384,128.89056939036058,3.5461704473339357e-43,3991.092268222807
350,central,61.02676765691072,22.46806662909374,83.49483428600446,6.511651818838306,1.0,1 t yr,1631.0678686261917,76.482481833321,5.976112662089508e-43,6725.908242122302
350,central,61.02676765691072,22.46806662909374,83.49483428600446,6.511651818838306,20.0,20 t yr,32621.357372523835,342.04005693439706,1.336299415362937e-43,1503.9588039811583
350,high,61.02676765691072,37.446777715156244,98.47354537206697,6.511651818838306,2.84,LZ 2.84 t yr,5463.2407558671375,139.97520938407584,3.851142509688628e-43,4334.327783312857
350,high,61.02676765691072,37.446777715156244,98.47354537206697,6.511651818838306,1.0,1 t yr,1923.676322488429,83.06000554943267,6.4900607168965326e-43,7304.339013646723
350,high,61.02676765691072,37.446777715156244,98.47354537206697,6.511651818838306,20.0,20 t yr,38473.52644976858,371.45563724008247,1.4512216941081666e-43,1633.2998565217838
380,low,66.8722420303323,13.730274216582444,80.60251624691475,6.807948380677739,2.84,LZ 2.84 t yr,4675.245800073976,129.48759968208904,3.309923783306908e-43,19.889932843604015
380,low,66.8722420303323,13.730274216582444,80.60251624691475,6.807948380677739,1.0,1 t yr,1646.213309885203,76.83675413312575,5.5779827071885065e-43,33.51911062372539
380,low,66.8722420303323,13.730274216582444,80.60251624691475,6.807948380677739,20.0,20 t yr,32924.26619770406,343.62441082421424,1.2472748510591806e-43,7.4951009899985355
380,central,66.8722420303323,21.968438746531902,88.8406807768642,6.807948380677739,2.84,LZ 2.84 t yr,5153.089990458528,135.94392957600695,3.474958581397386e-43,20.88165690306191
380,central,66.8722420303323,21.968438746531902,88.8406807768642,6.807948380677739,1.0,1 t yr,1814.4683064994817,80.66788108180099,5.856104292487766e-43,35.19039371545634
380,central,66.8722420303323,21.968438746531902,88.8406807768642,6.807948380677739,20.0,20 t yr,36289.366129989634,360.7577313995525,1.3094647281330952e-43,7.868811250274174
380,high,66.8722420303323,36.61406457755318,103.48630660788548,6.807948380677739,2.84,LZ 2.84 t yr,6002.590773364398,146.72202900999764,3.750465176183289e-43,22.53722604211526
380,high,66.8722420303323,36.61406457755318,103.48630660788548,6.807948380677739,1.0,1 t yr,2113.588300480422,87.06350644102582,6.3203962587205295e-43,37.98040842055876
380,high,66.8722420303323,36.61406457755318,103.48630660788548,6.807948380677739,20.0,20 t yr,42271.76600960844,389.35983752324904,1.4132835679234452e-43,8.49267750415748
