E_keV,Nph,Ne,S1c_phd,log10S2c,in_WS_ROI
20.0,1080.9939694545787,407.0603539176942,118.90933664000366,4.147477900932817,True
25.0,1376.8571473427762,483.210756872565,151.4542862077054,4.221955688729393,False
30.0,1673.912607212006,558.1688778464037,184.13038679332064,4.284584712685615,False
40.0,2268.1389241034913,707.9697226410548,249.49528165138403,4.387833779922525,False
100.0,5422.4492716428285,2017.822345218536,596.4694198807111,4.842702022143827,False
130.0,6669.206320455772,3003.1467814640023,733.6126952501348,5.01539565431921,False
300.0,12797.19933052637,9523.615520057727,1407.6919263579007,5.516620949163547,False
350.0,14496.959956069026,11543.990702945752,1594.6655951675928,5.600175063395979,False
380.0,15504.98723075284,12768.044913320346,1705.5485953828124,5.64394349677204,False
