f2_today,tau_s,tau_over_tU,mA_GeV_300,mA_GeV_350,mA_GeV_380
0.0028,8.399148132677576e+16,0.19286445187777124,2.3985699520256594,0.8146885654362345,0.19834763561447594
0.001,7.007600046583251e+16,0.1609111924940025,2.5096830196226607,0.852428780419488,0.20753603315323613
0.0001,5.113126709852004e+16,0.11740957114930958,2.715435929911006,0.92231398146421,0.22455058936495925
1e-05,4.02498894665415e+16,0.09242333564642942,2.882836592134542,0.9791726131021123,0.23839364010621222
1e-06,3.318722911986173e+16,0.07620578483003458,3.025300022200122,1.0275611653597747,0.250174528335539
1e-08,2.4566016385906184e+16,0.056409426411410814,3.2615760896737274,1.1078137384791964,0.26971317022342617
