delta_keV,v_thr_Fe_kms,v_thr_Pb_kms,v_max_halo_kms,Fe_upscatter_per_kgyr_sigmaN1,N_up_Earth_core_per_yr,chi1_crossings_per_yr,P_conv_per_crossing,f2_induced_Earth,N_Pb_Earth,P_conv_Pb_upper,f2_induced_Pb_upper,Xe_upscatter_per_tyr,P058_endo_ROI_check,sigma_v_up_Xe_cm3_s,Gamma_ISM_per_s,f2_ISM_tU,Gamma_CR_per_s,f2_CR_tU,P_sun_crossing_tU,f2_Sun
300.0,1042.9270009789257,576.4099105456464,809.5524695547821,0.0,0.0,4.274732311958751e+29,0.0,0.0,3.471448302647792e+42,2.004790092912586e-14,1.002395046456293e-14,0.3774463284032065,0.35211267605633806,8.692018717668625e-33,8.692018717668625e-42,3.785329648408852e-24,8.59e-42,3.7409010192e-24,1.880599576150884e-21,3.7611991523017683e-26
350.0,1126.489910118763,622.5938610398009,809.5524695547821,0.0,0.0,4.274732311958751e+29,0.0,0.0,3.471448302647792e+42,2.0161605335266147e-14,1.0080802667633074e-14,0.37958706676642173,0.35211267605633806,8.741316688061968e-33,8.741316688061969e-42,3.806798662109545e-24,2.99e-40,1.3021296911999998e-22,1.880599576150884e-21,3.7611991523017683e-26
380.0,1173.7756133675925,648.7279509177718,809.5524695547821,0.0,0.0,4.274732311958751e+29,0.0,0.0,3.471448302647792e+42,3.980973753316745e-14,1.9904868766583726e-14,0.7495068595814609,0.35211267605633806,1.7260010661817165e-32,1.7260010661817167e-41,7.516646271966787e-24,5.6e-38,2.438771328e-20,1.880599576150884e-21,3.7611991523017683e-26
