m_GeV,delta_keV,v_kms,T_min_keV,T_mean_keV,T_max_keV,half_width_keV,doppler_estimate_keV,p_f_keV,mean_minus_delta_eV
400.0,300.0,0.0,299.9995042134665,299.9995042134665,299.9995042134665,0.0,0.0,629.7613595640812,-0.495786533520004
400.0,300.0,250.0,299.4748002625062,299.9999638778305,300.52512749315497,0.5251636153243737,0.5251644452343771,629.7613595640812,-0.03612216949022695
400.0,300.0,550.0,298.84636590055896,300.00172900887674,301.15709211719457,1.1553631083178004,1.1553617795156297,629.7613595640812,1.7290088767367706
400.0,300.0,810.0,298.3027879924953,300.00432959678824,301.705871201081,1.701541604292828,1.7015328025593819,629.7613595640812,4.329596788238632
400.0,350.0,0.0,349.999399779713,349.999399779713,349.999399779713,0.0,0.0,692.9641152325278,-0.6002202870263318
400.0,350.0,250.0,349.42200793396614,349.9998768291178,350.57774572426956,0.5778688951517097,0.5778698702558153,692.9641152325278,-0.12317088220470396
400.0,350.0,550.0,348.7303938605443,350.0017086825105,351.27302350447684,1.2713148219662571,1.2713137145627937,692.9641152325278,1.70868251052525
400.0,350.0,810.0,348.13210059682984,350.00440766514544,351.876714733461,1.872307068315564,1.8722983796288415,692.9641152325278,4.407665145436113
400.0,380.0,0.0,379.9993340880709,379.9993340880709,379.9993340880709,0.0,0.0,729.9035566429308,-0.665911929104368
400.0,380.0,250.0,379.39114858280846,379.9998215684993,380.6084945541903,0.6086729856909301,0.6086740486337808,729.9035566429308,-0.1784315006716497
400.0,380.0,550.0,378.662609592748,380.00169347712364,381.34077736149914,1.3390838843755546,1.339082906994318,729.9035566429308,1.6934771236378765
400.0,380.0,810.0,378.03233888654484,380.00445143837896,381.9765639902129,1.9721125518340443,1.9721039175734498,729.9035566429308,4.451438378964667
1000.0,300.0,0.0,299.9998017511053,299.9998017511053,299.9998017511053,0.0,0.0,629.7613595640812,-0.1982488947191996
1000.0,300.0,250.0,299.47509704997776,300.00026138733347,300.52542572468906,0.5251643373556476,0.5251644452343771,629.7613595640812,0.2613873334667005
1000.0,300.0,550.0,298.84666183256104,300.0020265293729,301.1573912261849,1.1553646968119438,1.1553617795156297,629.7613595640812,2.0265293729266887
1000.0,300.0,810.0,298.3030831572802,300.00462710093313,301.70617104458603,1.701543943652922,1.7015328025593819,629.7613595640812,4.627100933134898
1000.0,350.0,0.0,349.9997599327152,349.9997599327152,349.9997599327152,0.0,0.0,692.9641152325278,-0.24006728477843353
1000.0,350.0,250.0,349.4223672428397,350.0002369540595,350.5781066652793,0.5778697112197904,0.5778698702558153,692.9641152325278,0.23695405951684734
1000.0,350.0,550.0,348.73075223768956,350.0020688551134,351.27338547253726,1.2713166174238495,1.2713137145627937,692.9641152325278,2.068855113407153
1000.0,350.0,810.0,348.13245807308385,350.004767785442,351.8770774978002,1.8723097123581738,1.8722983796288415,692.9641152325278,4.7677854420271615
1000.0,380.0,0.0,379.9997335359886,379.9997335359886,379.9997335359886,0.0,0.0,729.9035566429308,-0.2664640114176109
1000.0,380.0,250.0,379.39154718771994,380.0002210466095,380.60889490549914,0.6086738588896026,0.6086740486337808,729.9035566429308,0.2210466095107222
1000.0,380.0,550.0,378.66300713947413,380.0020929448628,381.34117875025146,1.3390858053886632,1.339082906994318,729.9035566429308,2.0929448627953207
1000.0,380.0,810.0,378.0327355675559,380.00485094865763,381.9769663297595,1.972115381101787,1.9721039175734498,729.9035566429308,4.85094865763358
4000.0,300.0,0.0,299.9999505092823,299.9999505092823,299.9999505092823,0.0,0.0,629.7613595640812,-0.04949071768578506
4000.0,300.0,250.0,299.4752454476183,300.00041014599435,300.5255748443703,0.5251646983759883,0.5251644452343771,629.7613595640812,0.4101459943512964
4000.0,300.0,550.0,298.8468099149722,300.0021754063079,301.15754089764374,1.1553654913357718,1.1553617795156297,629.7613595640812,2.1754063079129082
4000.0,300.0,810.0,298.3032308088229,300.0047759223989,301.70632103597507,1.7015451135760884,1.7015328025593819,629.7613595640812,4.7759223988919075
4000.0,350.0,0.0,349.99993990042594,349.99993990042594,349.99993990042594,0.0,0.0,692.9641152325278,-0.06009957405694877
4000.0,350.0,250.0,349.42254680313494,350.00041692229155,350.5782870414483,0.5778701191566711,0.5778698702558153,692.9641152325278,0.4169222915493265
4000.0,350.0,550.0,348.7309311943086,350.00224870893277,351.27356622355677,1.2713175146240872,1.2713137145627937,692.9641152325278,2.248708932768295
4000.0,350.0,810.0,348.1326365505005,350.0049475840038,351.8772586175071,1.8723110335033084,1.8722983796288415,692.9641152325278,4.947584003787142
4000.0,380.0,0.0,379.99993330764124,379.99993330764124,379.99993330764124,0.0,0.0,729.9035566429308,-0.06669235875733648
4000.0,380.0,250.0,379.3917464651351,380.0004207605991,380.60909505606327,0.608674295464084,0.6086740486337808,729.9035566429308,0.42076059912687924
4000.0,380.0,550.0,378.6632060693179,380.00229283556587,381.34137960181386,1.3390867662479877,1.339082906994318,729.9035566429308,2.29283556586779
4000.0,380.0,810.0,378.03293393021437,380.0050507260254,381.9771675218364,1.9721167958110186,1.9721039175734498,729.9035566429308,5.05072602538803
