delta_keV,sigma_p_N1_cm2,mu_e2_over_mu_p2,sigma_e_cm2,sigma_v_over_sigma_c,p_f_keV,R_e_per_tyr_f2eq1,R_e_per_tyr_per_f2sigma_e,R_nuc_ROI_per_tyr_f2eq1_P058,ratio_nuc_over_e,prop_suppression_mA_2p4GeV
250,1.2e-42,2.9716431075720194e-07,3.565971729086424e-49,1.3735029124230373,563.9144216988957,3.44315437950818e-05,9.655585184323072e+43,,,0.9999998895835248
300,8.59e-42,2.9716431075720194e-07,2.5526414294043645e-48,1.5941778261147044,629.7613595640812,0.00028607215838259947,1.1206907287771781e+44,302.46478873239437,1057302.4318146717,0.9999998622918996
350,2.99e-40,2.9716431075720194e-07,8.885212891640337e-47,1.8205146618980075,692.9641152325278,0.011371324002658058,1.2798032125214223e+44,6373.239436619719,560465.908378828,0.999999833264165
366,2.69e-39,2.9716431075720194e-07,7.993719959368732e-46,1.8943217472958693,712.7462601795958,0.10645147657484741,1.331688839688274e+44,50352.11267605634,473005.30059489707,0.9999998236086234
380,5.6e-38,2.9716431075720194e-07,1.664120140240331e-44,1.9594890090550177,729.9035566429308,2.292326756388918,1.3775007590845346e+44,929577.4647887325,405516.9980448545,0.9999998150141917
