experiment,window,model,alpha,prior,pi,P_now,date_P_lt_0.01,date_P_lt_0.001,date_P_lt_0.0001
LZ,600phd,d366,1.5,lo68,0.0016,0.00029476122512789787,2021.0,2024.46,2030.99
LZ,600phd,d366,1.5,hi68,0.137,0.028378527054571667,2030.88,inf,inf
LZ,600phd,d380,2.0,median,0.015,0.0015549935186795997,2024.27,2027.71,inf
LZ,600phd,d380,2.0,lo68,0.0016,0.0001638678074727223,2021.0,2024.32,2027.84
LZ,600phd,d380,2.0,hi68,0.137,0.015975884736753806,2027.79,inf,inf
LZ,600phd,d380,1.5,median,0.015,0.0027464561589265386,2024.38,2030.59,inf
LZ,600phd,d380,1.5,lo68,0.0016,0.00028973543659882,2021.0,2024.45,2030.87
LZ,600phd,d380,1.5,hi68,0.137,0.02790802999618579,2030.76,inf,inf
LZ,1000phd,L10,2.0,median,0.015,0.0013945627875344827,2023.33,2027.69,inf
LZ,1000phd,L10,2.0,lo68,0.0016,0.00014694022742753205,2021.0,2023.39,2027.86
LZ,1000phd,L10,2.0,hi68,0.137,0.014349013681013696,2027.79,inf,inf
LZ,1000phd,L10,1.5,median,0.015,0.0025313146747814818,2023.47,2031.34,inf
LZ,1000phd,L10,1.5,lo68,0.0016,0.00026698771691115007,2021.0,2023.56,2031.69
LZ,1000phd,L10,1.5,hi68,0.137,0.025772814835923218,2031.56,inf,inf
LZ,1000phd,d300,2.0,median,0.015,0.003201704114282216,2023.69,inf,inf
LZ,1000phd,d300,2.0,lo68,0.0016,0.00033789947446264865,2021.0,2023.81,inf
LZ,1000phd,d300,2.0,hi68,0.137,0.032398520178362616,inf,inf,inf
LZ,1000phd,d300,1.5,median,0.015,0.004717269150627485,2023.96,inf,inf
LZ,1000phd,d300,1.5,lo68,0.0016,0.000498526223639244,2021.0,2024.14,inf
LZ,1000phd,d300,1.5,hi68,0.137,0.04708195434055378,inf,inf,inf
LZ,1000phd,d350,2.0,median,0.015,0.0003707780665196723,2022.2,2024.98,2030.83
LZ,1000phd,d350,2.0,lo68,0.0016,3.903179483325628e-05,2021.0,2022.23,2025.05
LZ,1000phd,d350,2.0,hi68,0.137,0.0038517121883309136,2025.02,2031.01,inf
LZ,1000phd,d350,1.5,median,0.015,0.0009380208844304146,2022.28,2026.53,inf
LZ,1000phd,d350,1.5,lo68,0.0016,9.879558780800551e-05,2021.0,2022.33,2026.68
LZ,1000phd,d350,1.5,hi68,0.137,0.009692700630672369,2026.62,inf,inf
LZ,1000phd,d366,2.0,median,0.015,4.632206061264537e-05,2022.05,2023.6,2025.45
LZ,1000phd,d366,2.0,lo68,0.0016,4.874906080117595e-06,2021.0,2022.06,2023.62
LZ,1000phd,d366,2.0,hi68,0.137,0.00048267305857636325,2023.61,2025.5,2031.47
LZ,1000phd,d366,1.5,median,0.015,0.00019721234252533245,2022.08,2024.09,2028.99
LZ,1000phd,d366,1.5,lo68,0.0016,2.0757312101699717e-05,2021.0,2022.09,2024.14
LZ,1000phd,d366,1.5,hi68,0.137,0.0020520237978239033,2024.12,2029.16,inf
LZ,1000phd,d380,2.0,median,0.015,1.2361432202239625e-06,2022.0,2022.12,2023.35
LZ,1000phd,d380,2.0,lo68,0.0016,1.3008572848921532e-07,2021.0,2022.0,2022.12
LZ,1000phd,d380,2.0,hi68,0.137,1.2886010314461164e-05,2022.12,2023.36,2024.29
LZ,1000phd,d380,1.5,median,0.015,1.3022971717423983e-05,2022.0,2022.22,2023.9
LZ,1000phd,d380,1.5,lo68,0.0016,1.3704889548411747e-06,2021.0,2022.0,2022.23
LZ,1000phd,d380,1.5,hi68,0.137,0.00013574115508030224,2022.23,2023.93,2027.57
present,600phd,L10,2.0,median,0.015,0.0015204988891570866,2022.0,2027.61,inf
present,600phd,L10,2.0,lo68,0.0016,0.00016022775369522874,2021.0,2022.07,2027.74
present,600phd,L10,2.0,hi68,0.137,0.015626496255934957,2027.69,inf,inf
present,600phd,L10,1.5,median,0.015,0.002700688479718623,2022.16,2030.34,inf
present,600phd,L10,1.5,lo68,0.0016,0.00028489551228707107,2021.0,2022.26,2030.6
present,600phd,L10,1.5,hi68,0.137,0.0274545064837115,2030.51,inf,inf
present,600phd,d300,2.0,median,0.015,0.003354059225495144,2022.4,2030.86,inf
present,600phd,d300,2.0,lo68,0.0016,0.0003540270345736463,2021.0,2022.8,2031.1
present,600phd,d300,2.0,hi68,0.137,0.03389298378084352,2031.01,inf,inf
present,600phd,d300,1.5,median,0.015,0.004884382515016635,2023.33,inf,inf
present,600phd,d300,1.5,lo68,0.0016,0.0005162644716874947,2021.0,2023.99,inf
present,600phd,d300,1.5,hi68,0.137,0.04867647335765928,inf,inf,inf
present,600phd,d350,2.0,median,0.015,0.0008649746124812024,2021.77,2026.38,inf
present,600phd,d350,2.0,lo68,0.0016,9.109614407626303e-05,2021.0,2021.85,2026.5
present,600phd,d350,2.0,hi68,0.137,0.008944006625274569,2026.46,inf,inf
present,600phd,d350,1.5,median,0.015,0.0017698189316419134,2021.97,2028.32,inf
present,600phd,d350,1.5,lo68,0.0016,0.00018654237417786192,2021.0,2022.04,2028.5
present,600phd,d350,1.5,hi68,0.137,0.018146774971912447,2028.43,inf,inf
present,600phd,d366,2.0,median,0.015,0.000435749645491649,2021.59,2025.16,2030.16
present,600phd,d366,2.0,lo68,0.0016,4.587401854733689e-05,2021.0,2021.65,2025.24
present,600phd,d366,2.0,hi68,0.137,0.004523888713532977,2025.21,2030.3,inf
present,600phd,d366,1.5,median,0.015,0.0010587013599367224,2021.72,2026.84,inf
present,600phd,d366,1.5,lo68,0.0016,0.0001115181227338475,2021.0,2021.8,2026.95
present,600phd,d366,1.5,hi68,0.137,0.010927389438811191,2026.91,inf,inf
present,600phd,d380,2.0,median,0.015,0.00042366748155970045,2021.59,2025.12,2030.06
present,600phd,d380,2.0,lo68,0.0016,4.4601573217357724e-05,2021.0,2021.64,2025.2
present,600phd,d380,2.0,hi68,0.137,0.004398952317265618,2025.17,2030.19,inf
present,600phd,d380,1.5,median,0.015,0.0010366214702674926,2021.71,2026.79,inf
present,600phd,d380,1.5,lo68,0.0016,0.000109190182173466,2021.0,2021.79,2026.91
present,600phd,d380,1.5,hi68,0.137,0.010701696721306752,2026.86,inf,inf
present,1000phd,L10,2.0,median,0.015,0.0004915401167882164,2021.67,2025.11,2031.24
present,1000phd,L10,2.0,lo68,0.0016,5.175000551472619e-05,2021.0,2021.74,2025.21
present,1000phd,L10,2.0,hi68,0.137,0.005100426360092954,2025.17,2031.41,inf
present,1000phd,L10,1.5,median,0.015,0.0011587496001036499,2021.83,2027.1,inf
present,1000phd,L10,1.5,lo68,0.0016,0.00012206762444116212,2021.0,2021.93,2027.24
present,1000phd,L10,1.5,hi68,0.137,0.011948882328800672,2027.19,inf,inf
present,1000phd,d300,2.0,median,0.015,0.001367725754267794,2022.03,2027.45,inf
present,1000phd,d300,2.0,lo68,0.0016,0.00014410903784290078,2021.0,2022.1,2027.59
present,1000phd,d300,2.0,hi68,0.137,0.014076394663089848,2027.54,inf,inf
present,1000phd,d300,1.5,median,0.015,0.002494732731275002,2022.2,2030.38,inf
present,1000phd,d300,1.5,lo68,0.0016,0.0002631206433371784,2021.0,2022.3,2030.66
present,1000phd,d300,1.5,hi68,0.137,0.025408908404440104,2030.56,inf,inf
present,1000phd,d350,2.0,median,0.015,0.00011082187490304034,2021.34,2023.41,2026.89
present,1000phd,d350,2.0,lo68,0.0016,1.1663501288706842e-05,2021.0,2021.41,2023.46
present,1000phd,d350,2.0,hi68,0.137,0.0011540559877711255,2023.44,2026.96,inf
present,1000phd,d350,1.5,median,0.015,0.00037931866106417976,2021.5,2024.42,2031.49
present,1000phd,d350,1.5,lo68,0.0016,3.993116818752131e-05,2021.0,2021.54,2024.51
present,1000phd,d350,1.5,hi68,0.137,0.003940117449833447,2024.47,2031.72,inf
present,1000phd,d366,2.0,median,0.015,1.2455077620617177e-05,2021.04,2021.97,2023.74
present,1000phd,d366,2.0,lo68,0.0016,1.3107252328769479e-06,2021.0,2021.06,2021.99
present,1000phd,d366,2.0,hi68,0.137,0.00012982257099960933,2021.98,2023.78,2027.15
present,1000phd,d366,1.5,median,0.015,7.364540551741929e-05,2021.09,2022.27,2025.89
present,1000phd,d366,1.5,lo68,0.0016,7.750588124412757e-06,2021.0,2021.12,2022.3
present,1000phd,d366,1.5,hi68,0.137,0.0007671831831996089,2022.29,2025.99,inf
present,1000phd,d380,2.0,median,0.015,3.17267357502489e-07,2021.0,2021.17,2021.69
present,1000phd,d380,2.0,lo68,0.0016,3.3387653403286e-08,2021.0,2021.0,2021.18
present,1000phd,d380,2.0,hi68,0.137,3.3073399414624127e-06,2021.18,2021.7,2022.45
present,1000phd,d380,1.5,median,0.015,4.696030020350991e-06,2021.0,2021.38,2022.16
