experiment,window,model,date,k_expected,b,truth,P_BF_gt100,P_BF_lt0p01,P_settled,BF_if_zero,N_min_for_BF100
LZ,600phd,L10,end-2027,1.3551361344386754,0.002256864803873199,A/B best fit,0.3933702567042768,0.0,0.3933702567042768,0.18028639300651875,2
LZ,600phd,L10,end-2027,1.3551361344386754,0.002256864803873199,A/B x0.30,0.06392629026360992,0.0,0.06392629026360992,0.18028639300651875,2
LZ,600phd,L10,end-2027,1.3551361344386754,0.002256864803873199,C one-off,2.54289087820994e-06,0.0,2.54289087820994e-06,0.18028639300651875,2
LZ,600phd,L10,end-2028,1.6917325588286751,0.00281743772640841,A/B best fit,0.5050600234673038,0.0,0.5050600234673038,0.13801606121058851,2
LZ,600phd,L10,end-2028,1.6917325588286751,0.00281743772640841,A/B x0.30,0.09335496278835613,0.0,0.09335496278835613,0.13801606121058851,2
LZ,600phd,L10,end-2028,1.6917325588286751,0.00281743772640841,C one-off,3.9615306432885e-06,0.0,3.9615306432885e-06,0.13801606121058851,2
LZ,600phd,L10,end-2030,2.3649254076086756,0.003938583571478833,A/B best fit,0.6847181878142041,0.0,0.6847181878142041,0.08831589463384434,2
LZ,600phd,L10,end-2030,2.3649254076086756,0.003938583571478833,A/B x0.30,0.16048173613026523,0.0,0.16048173613026523,0.08831589463384434,2
LZ,600phd,L10,end-2030,2.3649254076086756,0.003938583571478833,C one-off,7.735884641504419e-06,0.0,7.735884641504419e-06,0.08831589463384434,2
LZ,600phd,L10,end-2032,2.7015218319986753,0.004499156494014044,A/B best fit,0.7524300714449499,0.0,0.7524300714449499,0.07298388422231611,2
LZ,600phd,L10,end-2032,2.7015218319986753,0.004499156494014044,A/B x0.30,0.19659364184616956,0.0,0.19659364184616956,0.07298388422231611,2
LZ,600phd,L10,end-2032,2.7015218319986753,0.004499156494014044,C one-off,1.0090897814605902e-05,0.0,1.0090897814605902e-05,0.07298388422231611,2
LZ,600phd,d300,end-2027,0.7064389112375873,0.002256864803873199,A/B best fit,0.5077141700723629,0.0,0.5077141700723629,0.34341232207625144,1
LZ,600phd,d300,end-2027,0.7064389112375873,0.002256864803873199,A/B x0.30,0.19280381662017962,0.0,0.19280381662017962,0.34341232207625144,1
LZ,600phd,d300,end-2027,0.7064389112375873,0.002256864803873199,C one-off,0.0022543199992883485,0.0,0.0022543199992883485,0.34341232207625144,1
LZ,600phd,d300,end-2028,0.8819082279575872,0.00281743772640841,A/B best fit,0.22193358398707663,0.0,0.22193358398707663,0.2823578806997279,2
LZ,600phd,d300,end-2028,0.8819082279575872,0.00281743772640841,A/B x0.30,0.029971971445203947,0.0,0.029971971445203947,0.2823578806997279,2
LZ,600phd,d300,end-2028,0.8819082279575872,0.00281743772640841,C one-off,3.9615306432885e-06,0.0,3.9615306432885e-06,0.2823578806997279,2
LZ,600phd,d300,end-2030,1.2328468613975874,0.003938583571478833,A/B best fit,0.35062549474675997,0.0,0.35062549474675997,0.20057537491148267,2
LZ,600phd,d300,end-2030,1.2328468613975874,0.003938583571478833,A/B x0.30,0.054666378494010626,0.0,0.054666378494010626,0.20057537491148267,2
LZ,600phd,d300,end-2030,1.2328468613975874,0.003938583571478833,C one-off,7.735884641504419e-06,0.0,7.735884641504419e-06,0.20057537491148267,2
LZ,600phd,d300,end-2032,1.4083161781175872,0.004499156494014044,A/B best fit,0.41258344686843473,0.0,0.41258344686843473,0.1724121017664044,2
