experiment,window,model,rate_per_tyr,b_per_tyr,E_new_now,mu_now,P0_now,mu_end2027,mu_end2028,mu_2030,asimov3_new,asimov5_new,asimov3_comb,asimov5_comb,asimov5_new_lo68,toy3_best_q16,toy3_best_med,toy3_best_q84,P3_best_by2027,P3_best_by2028,P3_best_by2030,toy5_best_q16,toy5_best_med,toy5_best_q84,P5_best_by2027,P5_best_by2028,P5_best_by2030,toy3_lo68_q16,toy3_lo68_med,toy3_lo68_q84,P3_lo68_by2027,P3_lo68_by2028,P3_lo68_by2030,toy5_lo68_q16,toy5_lo68_med,toy5_lo68_q84,P5_lo68_by2027,P5_lo68_by2028,P5_lo68_by2030,toy3_PG_q16,toy3_PG_med,toy3_PG_q84,P3_PG_by2027,P3_PG_by2028,P3_PG_by2030,toy5_PG_q16,toy5_PG_med,toy5_PG_q84,P5_PG_by2027,P5_PG_by2028,P5_PG_by2030,toy3_comb_med,P3_comb_by2027,P3_comb_by2028,toy5_comb_med,P5_comb_by2027,P5_comb_by2028
LZ,600phd,L10,0.120513,0.00020070422535211268,7.641721199999898,0.9209267469755876,0.39814988585164385,1.3551361344386754,1.6917325588286751,2.3649254076086756,2026.45,2030.84,2021.0,2027.45,inf,2024.49,2026.03,inf,0.60505,0.65695,0.7611,2027.7484,2031.83,inf,0.1769,0.25655,0.43155,2025.66,inf,inf,0.22835,0.2423,0.2825,inf,inf,inf,0.0134,0.01925,0.0394,2022.34,2025.2,2031.42,0.7381,0.7738,0.82975,2025.0,2028.63,inf,0.44985,0.53005,0.65905,2024.25,1.0,1.0,2028.8,0.41875,0.5215
LZ,600phd,d300,0.062824,0.00020070422535211268,7.641721199999898,0.48008349266879363,0.6187317300860712,0.7064389112375873,0.8819082279575872,1.2328468613975874,2029.36,inf,2021.0,inf,inf,2024.96,2031.67,inf,0.3669,0.3957,0.47235,2031.58,inf,inf,0.04875,0.0722,0.1383,inf,inf,inf,0.12055,0.12585,0.1401,inf,inf,inf,0.0028,0.00385,0.009,2024.49,2026.35,inf,0.54065,0.5788,0.65125,2027.1884,inf,inf,0.21125,0.27545,0.39575,2024.25,1.0,1.0,inf,0.18895,0.2471
LZ,600phd,d350,0.178018,0.00020070422535211268,7.641721199999898,1.360363924581582,0.2565673887818509,2.001764327338164,2.498973941878164,3.4933931709581643,2025.54,2028.32,2021.0,2026.11,inf,2024.32,2025.36,2029.7,0.7522,0.806,0.8966,2026.0,2029.22,inf,0.3515,0.47385,0.6831,2025.11,inf,inf,0.32345,0.3484,0.412,inf,inf,inf,0.0347,0.05,0.0967,2022.23,2024.82,2028.32,0.8303,0.8586,0.89925,2024.65,2026.92,inf,0.60965,0.683,0.78495,2024.25,1.0,1.0,2027.09,0.62355,0.73095
LZ,600phd,d366,0.273672,0.00020070422535211268,7.641721199999898,2.091325124246372,0.12352334354134464,3.077367721192745,3.8417418273527444,5.370490039672745,2024.93,2026.61,2021.0,2025.25,inf,2022.28,2024.88,2026.37,0.896,0.93545,0.9777,2024.91,2027.25,2029.98,0.61455,0.74465,0.906,2024.73,2029.06,inf,0.45765,0.49805,0.59235,2029.66,inf,inf,0.08895,0.1306,0.2346,2022.15,2024.52,2025.96,0.89825,0.9175,0.94435,2024.43,2025.3,2029.5816,0.7534,0.8129,0.8848,2024.25,1.0,1.0,2025.94,0.82215,0.8999
LZ,600phd,d380,0.278338,0.00020070422535211268,7.641721199999898,2.126981395365571,0.11919655862472796,3.1298356309061433,3.9072420150461427,5.462054783326144,2024.91,2026.56,2021.0,2025.22,inf,2022.29,2024.88,2026.3,0.90365,0.94,0.9808,2024.9,2027.19,2029.85,0.63265,0.7604,0.91195,2024.73,2029.03,inf,0.4597,0.4989,0.59255,2029.66,inf,inf,0.0856,0.12585,0.23625,2022.14,2024.52,2025.94,0.90695,0.92605,0.95225,2024.41,2025.27,2029.45,0.76535,0.8212,0.887,2024.25,1.0,1.0,2025.92,0.832,0.90915
LZ,1000phd,L10,0.219641,0.0009647887323943661,10.481721199999898,2.3022157260891776,0.1000369435129223,3.0935841599658556,3.707048062195855,4.933975866655856,2024.61,2027.53,2021.0,2025.52,inf,2023.25,2025.32,2028.14,0.83015,0.8932,0.96035,2025.18,2027.32,inf,0.5279,0.5905,0.75285,2025.89,2031.65,inf,0.2802,0.3435,0.4648,inf,inf,inf,0.05355,0.05885,0.0872,2022.18,2024.14,2027.54,0.8573,0.8887,0.92825,2023.91,2025.52,inf,0.71665,0.74525,0.81025,2024.25,1.0,1.0,2025.68,0.75815,0.80485
LZ,1000phd,d300,0.11233,0.0009647887323943661,10.481721199999898,1.1774117423959884,0.3080750852634532,1.582137709666977,1.895878769566977,2.5233608893669772,2026.73,inf,2021.0,2029.34,inf,2024.1,2027.9,inf,0.5099,0.59355,0.7305,2027.3,inf,inf,0.17355,0.1969,0.28785,2029.52,inf,inf,0.11755,0.14455,0.20465,inf,inf,inf,0.00935,0.00985,0.0143,2023.25,2025.76,inf,0.68335,0.7353,0.81,2024.91,2029.17,inf,0.45395,0.492,0.5861,2024.25,1.0,1.0,2030.23,0.405,0.4401
LZ,1000phd,d350,0.5159,0.0009647887323943661,10.481721199999898,5.407519967079947,0.004482743789207313,7.266312155409896,8.707236332409895,11.589084686409896,2023.55,2024.6,2021.0,2023.8,2029.99,2022.14,2023.43,2025.0516,0.9954,0.99855,0.9998,2023.84,2024.8,2026.17,0.9614,0.9802,0.9973,2023.35,2026.48,2030.36,0.66845,0.75365,0.87085,2026.13,2030.96,inf,0.31295,0.3593,0.50335,2022.07,2023.24,2024.71,0.96355,0.9734,0.9846,2022.3,2024.03,2025.93,0.9158,0.92835,0.9504,2024.25,1.0,1.0,2024.08,0.9887,0.99535
LZ,1000phd,d366,1.634376,0.0009647887323943661,10.481721199999898,17.131073567971033,3.631359790191256e-08,23.019744515042067,27.584605714322066,36.71432811288207,2022.19,2023.38,2021.0,2022.26,2024.7,2022.03,2022.19,2023.36,1.0,1.0,1.0,2022.19,2023.48,2023.95,0.99995,1.0,1.0,2022.16,2023.59,2025.18,0.9928,0.9982,0.9998,2023.9,2024.89,2026.33,0.9502,0.97435,0.99525,2022.01,2022.11,2023.29,0.996,0.9974,0.9992,2022.09,2022.28,2023.91,0.98725,0.98965,0.9943,2024.25,1.0,1.0,2023.28,1.0,1.0
LZ,1000phd,d380,10.493725,0.0009647887323943661,10.481721199999898,109.99229979946892,1.7019670395472906e-48,147.80128226987537,177.11057100662535,235.72914848012536,2022.01,2022.05,2021.0,2022.02,2022.25,2021.99,2022.02,2022.07,1.0,1.0,1.0,2022.02,2022.06,2022.13,1.0,1.0,1.0,2022.01,2022.09,2022.27,1.0,1.0,1.0,2022.1,2022.24,2023.45,1.0,1.0,1.0,2021.99,2022.0,2022.05,1.0,1.0,1.0,2022.0,2022.03,2022.12,1.0,1.0,1.0,2024.25,1.0,1.0,2022.02,1.0,1.0
