m_GeV,d10_lim
9.9999,15.433
12,8.1669
14,5.1027
17,3.3615
21,2.3275
30,2.0569
40,2.1563
50,2.0408
100,0.9428
200,0.59918
400,0.61874
1000,0.82085
4000,1.5367
