delta_keV,N_unit_2p84tyr,kappa_1event,P035_Nunit,ratio_to_P035,source
0,1645929821.0295455,6.075593182791293e-10,,,this work
50,624811965.02381,1.600481514405526e-09,,,this work
100,103846449.44439417,9.629602218951761e-09,103836047.43287589,1.0001001772676779,this work
150,11815348.243533203,8.463567720463269e-08,11811756.813503925,1.0003040555343277,this work
200,1008095.8343931523,9.919691817811887e-07,1007593.6733591064,1.0004983765255013,this work
250,99686.96786714364,1.0031401510102458e-05,99709.80099063618,0.9997710042215942,this work
300,12555.653349002576,7.964539735237595e-05,12555.653349002576,1.0,P035
350,154.64333658664543,0.006466492653821576,154.64333658664543,1.0,P035
366,4.848489030793725,0.20624982208865478,4.803356613424908,1.0093960163696103,this work (P035 log-interpolated 365/370)
