b_LZ,model,scenario,E_eff_arch_tyr,s_hat_LZ,s_hat,s_ratio,lo90_LZ,hi90_LZ,lo90,hi90,ul90_LZ,ul90,Z_LZ,Z,dZ,N_events_LZ_hat
neighbourhood 2e-4,L10 1 TeV,LZ-like acceptance,2.1431,0.35204,0.20061,0.56985,0.037142,1.284,0.021138,0.73178,1.0134,0.57752,3.8775,3.7297,-0.14778,0.56973
neighbourhood 2e-4,L10 1 TeV,actual ROIs,0.97031,0.35204,0.26238,0.74529,0.037142,1.284,0.027665,0.95703,1.0134,0.75529,3.8775,3.8009,-0.076537,0.74515
neighbourhood 2e-4,O1 inel. 250,LZ-like acceptance,2.1431,0.35204,0.20061,0.56985,0.037142,1.284,0.021138,0.73178,1.0134,0.57752,3.8775,3.7297,-0.14778,0.56973
neighbourhood 2e-4,O1 inel. 250,actual ROIs,0.94652,0.35204,0.26402,0.74998,0.037142,1.284,0.02784,0.96305,1.0134,0.76003,3.8775,3.8026,-0.074889,0.74983
neighbourhood 2e-4,O1 inel. 300,LZ-like acceptance,2.1431,0.35204,0.20061,0.56985,0.037142,1.284,0.021138,0.73178,1.0134,0.57752,3.8775,3.7297,-0.14778,0.56973
neighbourhood 2e-4,O1 inel. 300,actual ROIs,0.91587,0.35204,0.26618,0.7561,0.037142,1.284,0.028067,0.97091,1.0134,0.76624,3.8775,3.8047,-0.072753,0.75595
neighbourhood 2e-4,O1 inel. 350,LZ-like acceptance,2.1431,0.35204,0.20061,0.56985,0.037142,1.284,0.021138,0.73178,1.0134,0.57752,3.8775,3.7297,-0.14778,0.56973
neighbourhood 2e-4,O1 inel. 350,actual ROIs,0.88761,0.35204,0.2682,0.76184,0.037142,1.284,0.028281,0.97827,1.0134,0.77205,3.8775,3.8067,-0.070769,0.76168
neighbourhood 2e-4,O1 inel. 366,LZ-like acceptance,2.1431,0.35204,0.20061,0.56985,0.037142,1.284,0.021138,0.73178,1.0134,0.57752,3.8775,3.7297,-0.14778,0.56973
neighbourhood 2e-4,O1 inel. 366,actual ROIs,0.81198,0.35204,0.27375,0.77762,0.037142,1.284,0.028868,0.99853,1.0134,0.78803,3.8775,3.8121,-0.06539,0.77746
P016 anchor 5.7e-4,L10 1 TeV,LZ-like acceptance,2.1431,0.35191,0.20048,0.56969,0.037011,1.2839,0.021008,0.73165,1.0132,0.57739,3.5973,3.4376,-0.15972,0.56936
P016 anchor 5.7e-4,L10 1 TeV,actual ROIs,0.97031,0.35191,0.26224,0.7452,0.037011,1.2839,0.027535,0.9569,1.0132,0.75516,3.5973,3.5147,-0.082595,0.74478
P016 anchor 5.7e-4,O1 inel. 250,LZ-like acceptance,2.1431,0.35191,0.20048,0.56969,0.037011,1.2839,0.021008,0.73165,1.0132,0.57739,3.5973,3.4376,-0.15972,0.56936
P016 anchor 5.7e-4,O1 inel. 250,actual ROIs,0.94652,0.35191,0.26389,0.74989,0.037011,1.2839,0.027709,0.96292,1.0132,0.7599,3.5973,3.5165,-0.080815,0.74946
