m_GeV,d10_lim
10.57,68.176
12.005,43.99
13.554,30.207
15.395,20.674
17.592,15.195
20.103,11.538
22.973,9.4623
26.252,8.0162
30,7.1119
34.282,6.5853
39.175,6.2882
44.767,6.1185
51.157,6.1081
58.46,6.129
66.804,6.2028
76.341,6.4186
87.237,6.4847
99.689,6.9319
113.92,7.1364
130.18,7.6545
148.76,8.0437
170,8.3377
194.26,9.0974
221.99,9.1911
253.68,10.115
289.89,10.502
331.27,11.188
378.56,12.228
432.59,12.873
494.34,14.214
564.91,14.658
645.55,15.482
737.69,16.354
843,17.451
960.99,19.38
1100.8,20.181
1258,22.4
1437.5,23.338
1642.7,25.377
1877.2,26.851
2145.2,28.506
2451.4,31.05
2801.3,32.296
3201.1,35.238
3614,36.679
