delta_keV,kappa_SR1_limit,N_unit,kappa_hat_new,kappa_upper_new,kappa_median_new,kappa_lower_new,SR1lim_over_kappa_hat,SR1lim_over_new_upper,SR1lim_over_new_median,N_SR1_at_limit_LZlike,N_SR1_at_limit_260edge,N_SR1_at_limit_260edge_0p85,acc_ratio_SR1_over_LZ,N_SR1_at_new_bestfit
0,9.35e-09,1.646e+09,6.076e-10,1.638e-09,2.911e-09,,15.39,5.709,3.212,4.896,4.896,4.335,1,0.3181
50,3.455e-08,6.248e+08,1.6e-09,7.56e-09,8.195e-09,,21.59,4.571,4.216,6.869,6.869,6.081,1,0.3181
100,2.841e-07,1.038e+08,9.63e-09,7.749e-08,5.249e-08,1.483e-09,29.5,3.666,5.412,9.385,9.385,8.31,1,0.3181
150,2.373e-06,1.182e+07,8.464e-08,7.533e-07,3.788e-07,4.88e-08,28.03,3.15,6.264,8.918,8.918,7.896,0.9999,0.3181
200,1.159e-05,1.008e+06,9.92e-07,6.098e-06,2.432e-06,4.515e-07,11.68,1.9,4.766,3.717,3.715,3.29,0.9996,0.318
250,6.176e-05,9.969e+04,1.003e-05,3.874e-05,1.74e-05,2.888e-06,6.156,1.594,3.55,1.958,1.956,1.732,0.9987,0.3177
