model,experiment,expo_tyr,N_lzlike,P0_lzlike,N_actual,P0_actual,N_actual_lo68,N_actual_hi68,acceptance_ratio,N_E50_hi=250,N_E50_hi=269.9,N_plateau=0.85,N_E_hi=50,N_plateau=0.95,N_E_hi=100,N_E_hi=250,N_plateau=0.5,N_E_hi=150
L10 1 TeV,LZ SR1 (2023 NREFT),0.90349,0.31813,0.72751,0.3078,0.73507,0.092339,0.73871,0.96751,0.29427,0.31824,0.27253,,,,,,
L10 1 TeV,XENON1T 2018,1,0.35211,0.7032,0.018365,0.9818,0.0055095,0.044076,0.052157,,,,0.02102,0.020526,,,,
L10 1 TeV,LUX 2021 EFT,0.091718,0.032295,0.96822,0.0090174,0.99102,0.0027052,0.021642,0.27922,,,,,,0.0040214,0.025013,0.0056359,
L10 1 TeV,PandaX-II 2019,0.14784,0.052058,0.94927,0.0064822,0.99354,0.0019447,0.015557,0.12452,,,,0.0029549,,,,0.0040514,0.014536
O1 inel. 250,LZ SR1 (2023 NREFT),0.90349,0.31813,0.72751,0.31773,0.7278,0.095319,0.76255,0.99874,0.31684,0.31813,0.28132,,,,,,
O1 inel. 250,XENON1T 2018,1,0.35211,0.7032,0,1,0,0,0,,,,0,0,,,,
O1 inel. 250,LUX 2021 EFT,0.091718,0.032295,0.96822,0.010576,0.98948,0.0031727,0.025382,0.32747,,,,,,0.0030866,0.026857,0.0066098,
O1 inel. 250,PandaX-II 2019,0.14784,0.052058,0.94927,0.0049754,0.99504,0.0014926,0.011941,0.095574,,,,0,,,,0.0031096,0.017047
O1 inel. 300,LZ SR1 (2023 NREFT),0.90349,0.31813,0.72751,0.31734,0.72809,0.095201,0.76161,0.99751,0.3157,0.31813,0.28098,,,,,,
O1 inel. 300,XENON1T 2018,1,0.35211,0.7032,0,1,0,0,0,,,,0,0,,,,
O1 inel. 300,LUX 2021 EFT,0.091718,0.032295,0.96822,0.0051522,0.99486,0.0015457,0.012365,0.15954,,,,,,1.7411e-07,0.026803,0.0032201,
O1 inel. 300,PandaX-II 2019,0.14784,0.052058,0.94927,2.8065e-07,1,8.4195e-08,6.7356e-07,5.3911e-06,,,,0,,,,1.7541e-07,0.0083051
O1 inel. 350,LZ SR1 (2023 NREFT),0.90349,0.31813,0.72751,0.31254,0.73159,0.093761,0.75009,0.98242,0.30397,0.31799,0.27673,,,,,,
O1 inel. 350,XENON1T 2018,1,0.35211,0.7032,0,1,0,0,0,,,,0,0,,,,
O1 inel. 350,LUX 2021 EFT,0.091718,0.032295,0.96822,0,1,0,0,0,,,,,,0,0.026154,0,
O1 inel. 350,PandaX-II 2019,0.14784,0.052058,0.94927,0,1,0,0,0,,,,0,,,,0,0
O1 inel. 366,LZ SR1 (2023 NREFT),0.90349,0.31813,0.72751,0.28591,0.75133,0.085773,0.68618,0.89872,0.25887,0.31813,0.25315,,,,,,
O1 inel. 366,XENON1T 2018,1,0.35211,0.7032,0,1,0,0,0,,,,0,0,,,,
O1 inel. 366,LUX 2021 EFT,0.091718,0.032295,0.96822,0,1,0,0,0,,,,,,0,0.0228,0,
O1 inel. 366,PandaX-II 2019,0.14784,0.052058,0.94927,0,1,0,0,0,,,,0,,,,0,0
