delta_keV,kappa_LUX_limit,LUXlim_over_kappa_hat,E_eff_LZequiv_tyr_n0,E_eff_over_nominal,N_LUX_at_limit_if_LZlike
0,1.411e-07,232.3,0.02816,0.307,7.501
50,3.923e-07,245.1,0.02668,0.2909,7.916
100,3.187e-06,331,0.01976,0.2155,10.69
150,5.265e-05,622.1,0.01051,0.1146,20.09
200,0.0003787,381.8,0.01713,0.1868,12.33
