c0,N_up,c,p_GV,N_eff_GV,p_direct,N_eff_direct,metric,scan
1.5,0.10492,2.5,0.020409043242961538,3.310338922271312,0.01592,2.5763395025492986,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
1.5,0.10492,3.0,0.004940063004890093,3.666174799557408,0.00564,4.187091451617843,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
1.5,0.10492,3.4,0.0013351290430237057,3.9646186100442735,0.0008,2.3749356884910324,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
2.0,0.04292,2.0,0.0656701319481792,2.9516357253762306,0.04266,1.8944442484379185,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
2.0,0.04292,2.5,0.020143749224796503,3.266867506826604,0.01592,2.5763395025492986,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
2.0,0.04292,3.0,0.004872986172567829,3.616273206437131,0.00564,4.187091451617843,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
2.0,0.04292,3.4,0.001316479181641872,3.909202010825966,0.0008,2.3749356884910324,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
2.5,0.016,2.0,0.0720336015308677,3.2486007887574875,0.04266,1.8944442484379185,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
2.5,0.016,2.5,0.022209665325776135,3.6057026424194807,0.01592,2.5763395025492986,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
2.5,0.016,3.0,0.005395331564506036,4.004959299812933,0.00564,4.187091451617843,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
2.5,0.016,3.4,0.0014617106843205368,4.340773372940804,0.0008,2.3749356884910324,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
3.0,0.00582,2.0,0.0936522467994734,4.27291532870155,0.04266,1.8944442484379185,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
3.0,0.00582,2.5,0.029228211853173893,4.762200128519475,0.01592,2.5763395025492986,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
3.0,0.00582,3.0,0.007169898031630093,5.326970828488,0.00564,4.187091451617843,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
3.0,0.00582,3.4,0.0019551063543144717,5.80742179928817,0.0008,2.3749356884910324,asymptotic sqrt(q0),"delta scan O1s 1 TeV (41 pts, 0-400 keV)"
,,2.0,0.19926811073984985,9.656715054715747,0.06958,3.133857646901556,calibrated Z,"inelastic (m,delta) grids O1s/O1v/O4s/O4v (4 x 3 x 8)"
,,2.5,0.06416577289042068,10.646436770797104,0.0248,4.031561738201506,calibrated Z,"inelastic (m,delta) grids O1s/O1v/O4s/O4v (4 x 3 x 8)"
,,3.0,0.016399349725102454,12.241031643692699,0.00858,6.379150533376842,calibrated Z,"inelastic (m,delta) grids O1s/O1v/O4s/O4v (4 x 3 x 8)"
,,3.4,0.004641014079619275,13.80418320986527,0.00376,11.178761527820404,calibrated Z,"inelastic (m,delta) grids O1s/O1v/O4s/O4v (4 x 3 x 8)"
,,2.0,0.13416728282649437,6.260119233760555,0.05374,2.400300868743032,asymptotic sqrt(q0),"inelastic (m,delta) grids O1s/O1v/O4s/O4v (4 x 3 x 8)"
,,2.5,0.04386463954019196,7.201091987247342,0.02062,3.3449149687114565,asymptotic sqrt(q0),"inelastic (m,delta) grids O1s/O1v/O4s/O4v (4 x 3 x 8)"
,,3.0,0.011477290393484737,8.545734138284335,0.00624,4.633923597321876,asymptotic sqrt(q0),"inelastic (m,delta) grids O1s/O1v/O4s/O4v (4 x 3 x 8)"
,,3.4,0.00331940199748629,9.866650390603832,0.00086,2.5531325109696645,asymptotic sqrt(q0),"inelastic (m,delta) grids O1s/O1v/O4s/O4v (4 x 3 x 8)"
