space,pair,N_cal,Z,mean,std,count
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,6250,2.0,3.126469360582208,0.14102257733966547,8
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,6250,2.5,4.0816017808008835,0.29321050549422917,8
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,6250,3.0,6.629590027484829,0.6524665026321398,8
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,6250,3.4,11.105598932350775,2.973559435303949,8
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,12500,2.0,3.1271105581473524,0.05316189891921535,4
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,12500,2.5,4.028295433031495,0.10568998173572136,4
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,12500,3.0,6.364232584543829,0.1775381199725916,4
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,12500,3.4,9.139780042826906,2.377761423380014,4
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,25000,2.0,3.104911931865819,0.01188085353884398,2
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,25000,2.5,4.0513369690185534,0.11176245006628852,2
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,25000,3.0,6.274658003391565,0.33787163756902966,2
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,25000,3.4,8.023326148563164,1.851526679942198,2
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,50000,2.0,3.116113939741938,,1
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,50000,2.5,4.0019326267709285,,1
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,50000,3.0,6.3492830040367485,,1
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),A,50000,3.4,7.546992984083798,,1
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,6250,2.0,3.349701606564467,0.11055393545580935,8
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,6250,2.5,4.370043042978991,0.2967438729864295,8
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,6250,3.0,7.2498577758023615,0.6962179805875409,8
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,6250,3.4,13.734574076477934,1.8285760880666269,8
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,12500,2.0,3.3286295928291314,0.07591393095360484,4
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,12500,2.5,4.3422347709560745,0.1622008898053208,4
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,12500,3.0,6.83852357428908,0.1258402052710015,4
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,12500,3.4,11.87905160133467,1.3112159994685284,4
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,25000,2.0,3.3248269890080433,0.0026535852561592813,2
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,25000,2.5,4.3495995220150085,0.04898700122355452,2
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,25000,3.0,6.7899543585307685,0.09509256739484574,2
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,25000,3.4,10.553322343905785,0.46327649294959555,2
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,50000,2.0,3.3201362813550492,,1
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,50000,2.5,4.331452551128758,,1
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,50000,3.0,6.8870829864499985,,1
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),B,50000,3.4,9.868430862925683,,1
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,6250,2.0,2.9407054704826336,0.15321160355304841,8
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,6250,2.5,3.3853474158295236,0.31318976385413255,8
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,6250,3.0,5.959510883474026,0.6656046567525729,8
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,6250,3.4,9.839898054449645,2.9011053218503,8
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,12500,2.0,2.9383926004446734,0.04277327264519197,4
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,12500,2.5,3.3588935214335747,0.1385716699299051,4
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,12500,3.0,5.7969637387032265,0.1588602913274739,4
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,12500,3.4,7.9193500275906885,1.8952881586146375,4
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,25000,2.0,2.937215477714733,0.013150101655090644,2
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,25000,2.5,3.3973776772379614,0.009275676079480252,2
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,25000,3.0,5.759669577562056,0.2637786567823971,2
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,25000,3.4,7.16048993800759,1.6406488217197006,2
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,50000,2.0,2.9409340523911083,,1
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,50000,2.5,3.3809811469636153,,1
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,50000,3.0,5.782028779624045,,1
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),A,50000,3.4,6.535652222023771,,1
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,6250,2.0,3.1054700152343493,0.09566862525007182,8
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,6250,2.5,3.7709837744083274,0.22265832692232945,8
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,6250,3.0,6.6183256535667425,0.5692583043968188,8
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,6250,3.4,12.065397565860584,1.5315637542744391,8
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,12500,2.0,3.093306996815125,0.08501737289837609,4
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,12500,2.5,3.768429996004665,0.14123571045558483,4
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,12500,3.0,6.229826968084576,0.06334659997215716,4
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,12500,3.4,10.419585749373681,1.5172264765258936,4
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,25000,2.0,3.095113428585008,0.020456856354172055,2
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,25000,2.5,3.7683861171541304,0.04183711695386292,2
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,25000,3.0,6.222360387143287,0.05278871491902651,2
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,25000,3.4,9.332553816739292,0.08419744535784562,2
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,50000,2.0,3.0918448124478823,,1
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,50000,2.5,3.7683833914192464,,1
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,50000,3.0,6.199963429904637,,1
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),B,50000,3.4,8.677723044856826,,1
(b1) 6 a-priori high-energy spectra,A,6250,2.0,1.4020070210417268,0.09013165403398773,8
(b1) 6 a-priori high-energy spectra,A,6250,2.5,1.5243562712838266,0.13720156552359145,8
(b1) 6 a-priori high-energy spectra,A,6250,3.0,3.1030592225842275,0.6827592423160096,8
(b1) 6 a-priori high-energy spectra,A,6250,3.4,4.366030349068884,2.054892757350582,8
(b1) 6 a-priori high-energy spectra,A,12500,2.0,1.3966648770155043,0.038137327916497106,4
(b1) 6 a-priori high-energy spectra,A,12500,2.5,1.5056725937403506,0.04447388235677787,4
(b1) 6 a-priori high-energy spectra,A,12500,3.0,3.1306718590862896,0.1400126560622049,4
(b1) 6 a-priori high-energy spectra,A,12500,3.4,3.295852980992711,0.9683703502176582,4
(b1) 6 a-priori high-energy spectra,A,25000,2.0,1.3926140076391689,0.0038072643699413127,2
(b1) 6 a-priori high-energy spectra,A,25000,2.5,1.5210665583808372,0.04354750977851635,2
(b1) 6 a-priori high-energy spectra,A,25000,3.0,3.108372723865018,0.19975509491860224,2
(b1) 6 a-priori high-energy spectra,A,25000,3.4,2.8799473941634934,1.0501820155559711,2
(b1) 6 a-priori high-energy spectra,A,50000,2.0,1.3908191996743096,,1
(b1) 6 a-priori high-energy spectra,A,50000,2.5,1.506478233496154,,1
(b1) 6 a-priori high-energy spectra,A,50000,3.0,3.1603998812692073,,1
(b1) 6 a-priori high-energy spectra,A,50000,3.4,2.968966715272367,,1
(b1) 6 a-priori high-energy spectra,B,6250,2.0,1.4768482702728183,0.048153272497367665,8
(b1) 6 a-priori high-energy spectra,B,6250,2.5,1.6767585800412825,0.11360526366226749,8
(b1) 6 a-priori high-energy spectra,B,6250,3.0,3.2348783357435025,0.46603237253711355,8
(b1) 6 a-priori high-energy spectra,B,6250,3.4,5.123785108854136,1.7635926544978586,8
(b1) 6 a-priori high-energy spectra,B,12500,2.0,1.4660593766647132,0.0511380449409182,4
(b1) 6 a-priori high-energy spectra,B,12500,2.5,1.6629504371236803,0.08145135351374035,4
(b1) 6 a-priori high-energy spectra,B,12500,3.0,3.179009284191626,0.21110780150934344,4
(b1) 6 a-priori high-energy spectra,B,12500,3.4,4.439816796812383,0.9402588196680995,4
(b1) 6 a-priori high-energy spectra,B,25000,2.0,1.4649154266009428,0.01970362251534366,2
(b1) 6 a-priori high-energy spectra,B,25000,2.5,1.6605018780998448,0.006881897288170594,2
(b1) 6 a-priori high-energy spectra,B,25000,3.0,3.0637622114703595,0.1366663032656634,2
(b1) 6 a-priori high-energy spectra,B,25000,3.4,4.335775234851368,1.0086694612251588,2
(b1) 6 a-priori high-energy spectra,B,50000,2.0,1.464463757765692,,1
(b1) 6 a-priori high-energy spectra,B,50000,2.5,1.6686124029529028,,1
