model,cls,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
O1s_m10,elastic,10,0.0,0.02308612,0.14740372989763273,0.4238,0.19218154679676147,0.15194117
O1s_m12,elastic,12,0.0,0.024317741,0.15837253402423812,0.40386,0.24336842730284602,0.15594147
O1s_m14,elastic,14,0.0,0.021792846,0.16032289535360178,0.36864,0.3354574990505675,0.147624
O1s_m17,elastic,17,0.0,0.017004037,0.15625051859387895,0.38952,0.28057029805447375,0.13039953
O1s_m21,elastic,21,0.0,0.012360764,0.14752434031834127,0.41416,0.21685672947663973,0.11117897
O1s_m30,elastic,30,0.0,0.011620332,0.16472671664814698,0.4091,0.22986071996383947,0.107797645
O1s_m40,elastic,40,0.0,0.014292098,0.19515667165251216,0.40866,0.2309933091606625,0.119549565
O1s_m50,elastic,50,0.0,0.015028325,0.20469202452659374,0.41406,0.217113363228122,0.122590065
O1s_m100,elastic,100,0.0,0.011950724,0.18488669997168472,0.43012,0.1760686624912967,0.10931937
O1s_m200,elastic,200,0.0,0.019898513,0.242514751626004,0.4126,0.220861854054514,0.1410621
O1s_m400,elastic,400,0.0,0.037584662,0.3395126452596742,0.38244,0.29907869716409885,0.19386764
O1s_m1000,elastic,1000,0.0,0.05673375,0.4221454655271373,0.35986,0.3588330321671772,0.23818848
O1s_m4000,elastic,4000,0.0,0.068916395,0.4677617846391513,0.34792,0.3909421461218887,0.26251933
O1v_m10,elastic,10,0.0,0.022684889,0.1460271144969738,0.42316,0.1938159468479988,0.15061504
O1v_m12,elastic,12,0.0,0.024375934,0.1579403349387576,0.41298,0.2198859227989758,0.15612794
O1v_m14,elastic,14,0.0,0.022157567,0.1603292718573357,0.36606,0.3423068248378526,0.14885418
O1v_m17,elastic,17,0.0,0.017752888,0.1574318451093859,0.3858,0.2902826643540105,0.13323997
O1v_m21,elastic,21,0.0,0.013238664,0.1495746855289326,0.409,0.23011810065726573,0.11505939
O1v_m30,elastic,30,0.0,0.01093903,0.15454088137630606,0.41276,0.22045091004529635,0.10458982
O1v_m40,elastic,40,0.0,0.0126761375,0.17754370088368887,0.40308,0.2453828588809281,0.11258835
O1v_m50,elastic,50,0.0,0.014387213,0.1946260392651311,0.40674,0.23593900616385752,0.11994671
O1v_m100,elastic,100,0.0,0.025710361,0.27171154881216353,0.39966,0.2542272494382492,0.16034451
O1v_m200,elastic,200,0.0,0.40513903,1.1369018447658163,0.23464,0.7236510368691818,0.6365053
O1v_m400,elastic,400,0.0,1.144362,1.7056779765334795,0.12302,1.1600216292997616,1.0697485
O1v_m1000,elastic,1000,0.0,1.6612922,1.8997772729562712,0.08196,1.3920079188439194,1.2889112
O1v_m4000,elastic,4000,0.0,1.9077173,1.9658353196791722,0.06628,1.504082988095016,1.3812014
O3s_m10,elastic,10,0.0,0.030181987,0.17306791200098814,0.34712,0.3931076149801904,0.17372964
