M,Z_local,p_Bonferroni,Z_Bonferroni,p_Sidak,Z_Sidak
1,3.4,0.00033692926567688086,3.4,0.0003369292656768552,3.400000000000021
1,3.6,0.00015910859015753366,3.6,0.00015910859015755285,3.599999999999969
1,5.0,2.8665157187919344e-07,5.000000000000001,2.866515719235352e-07,4.999999999970176
6,3.4,0.0020215755940612853,2.8747753028082057,0.0020198735388899935,2.87504125691573
6,3.6,0.000954651540945202,3.1039891879160044,0.0009542718883421841,3.104106871198127
6,5.0,1.7199094312751606e-06,4.642642111883863,1.7199081989716092e-06,4.642642259871941
30,3.4,0.010107877970306425,2.3223191725054955,0.010058651128725504,2.3241528701129557
30,3.6,0.00477325770472601,2.5918364117074404,0.004762261779128862,2.592629789415484
30,5.0,8.599547156375804e-06,4.2984574070825,8.5995114141868e-06,4.298458328474002
36,3.4,0.01212945356436771,2.253003835563253,0.012058207464363702,2.2552695464637544
36,3.6,0.005727909245671212,2.528478247823085,0.005711989174930321,2.5294551193891928
36,5.0,1.0319456587650964e-05,4.257864331059691,1.0319404822878298e-05,4.257865452758745
60,3.4,0.02021575594061285,2.0493130653761504,0.020016125794921735,2.053415971695549
60,3.6,0.00954651540945202,2.343709601799941,0.009501844421004768,2.3454586018929806
60,5.0,1.7199094312751608e-05,4.1422055196026815,1.719894887686202e-05,4.142207458463594
140,3.4,0.04717009719476332,1.6729344835972384,0.04608245823037904,1.6840866889579287
140,3.6,0.022275202622054714,2.008874873442615,0.022030675418770684,2.013506699958749
140,5.0,4.013122006308708e-05,3.943615105431617,4.013042057426919e-05,3.9436198807468386
293,3.4,0.09872027484332609,1.2888778672232115,0.09401896828454925,1.3164056217181883
293,3.6,0.046618816916157366,1.6785609942010407,0.0455523912774608,1.6895985551561443
293,5.0,8.398891056060368e-05,3.76286509989351,8.398539564058449e-05,3.7628755623846555
456,3.4,0.15363974514865766,1.0209471254598395,0.14244128829663683,1.0694152989724899
456,3.6,0.07255351711183534,1.457033858445886,0.06998939499444334,1.4758700166979786
456,5.0,0.00013071311677691222,3.6507985487593304,0.0001307045929419548,3.6508152961957774
616,3.4,0.2075484276569586,0.814957120066589,0.18745452741213853,0.887315514908
616,3.6,0.09801089153704073,1.2929689940964733,0.09336804094920748,1.3202963855221546
616,5.0,0.00017657736827758315,3.572822064800801,0.00017656180474256988,3.5728451382807775
654,3.4,0.22035173975268008,0.7710058240354426,0.19779321650532822,0.8495300201744264
654,3.6,0.10405701796302702,1.258768293053838,0.09883354798738309,1.28822659738442
654,5.0,0.0001874701280089925,3.5571218582882818,0.00018745258347585558,3.5571464528992736
