space,n_models,p_global@2.0_A,N_eff@2.0_A,Z_global@2.0_A,p_global@2.5_A,N_eff@2.5_A,Z_global@2.5_A,p_global@3.0_A,N_eff@3.0_A,Z_global@3.0_A,p_global@3.4_A,N_eff@3.4_A,Z_global@3.4_A,p_global@3.6_A,N_eff@3.6_A,Z_global@3.6_A,p_global@2.0_B,N_eff@2.0_B,Z_global@2.0_B,p_global@2.5_B,N_eff@2.5_B,Z_global@2.5_B,p_global@3.0_B,N_eff@3.0_B,Z_global@3.0_B,p_global@3.4_B,N_eff@3.4_B,Z_global@3.4_B,p_global@3.6_B,N_eff@3.6_B,Z_global@3.6_B,p_global@2.0,Z_global@2.0,N_eff@2.0,N_eff_spread@2.0,N_eff_binom@2.0,p_global@2.5,Z_global@2.5,N_eff@2.5,N_eff_spread@2.5,N_eff_binom@2.5,p_global@3.0,Z_global@3.0,N_eff@3.0,N_eff_spread@3.0,N_eff_binom@3.0,p_global@3.4,Z_global@3.4,N_eff@3.4,N_eff_spread@3.4,N_eff_binom@3.4,p_global@3.6,Z_global@3.6,N_eff@3.6,N_eff_spread@3.6,N_eff_binom@3.6,Bonferroni_Z@3.4,N_eff_deb@2.0,N_eff_deb_halfrange@2.0,Z_global_deb@2.0,N_eff_deb@2.5,N_eff_deb_halfrange@2.5,Z_global_deb@2.5,N_eff_deb@3.0,N_eff_deb_halfrange@3.0,Z_global_deb@3.0,N_eff_deb@3.4,N_eff_deb_halfrange@3.4,Z_global_deb@3.4
(c) single model O6s 1 TeV [L10/L4-like],1,0.02234,0.9817671173070304,2.0076546769461734,0.00576,0.927376648332478,2.526516429517452,0.00114,0.8444195142454979,3.0511060879335945,0.00022,0.6529178601612878,3.514851473001713,0.00016,1.0056029731889393,3.5985470207163295,0.02348,1.0324660487161805,1.9866607874917799,0.00682,1.0986248968707062,2.4666069194885605,0.0013,0.9630116500440189,3.0114537584997843,0.00042,1.2466042386573395,3.339266288950924,0.0002,1.2570288605830828,3.540083799206145,0.02291,1.9970477140478806,1.0071091890170547,0.02534946570457508,0.021039171062446564,0.0062900000000000005,2.495442900805985,1.0129779385815991,0.08562412426911409,0.04038844461369457,0.00122,3.0306845770126682,0.9037132074048572,0.05929606789926051,0.081823669331892,0.00032,3.4140705542274294,0.9497462024988151,0.29684318924802583,0.16789441659595608,0.00018,3.567793525630439,1.131314659529901,0.12571294369707176,0.26665063670783834,3.4,1.0055291155023114,0.0004728926875865458,1.9977023376081613,1.020987774330748,0.006175790138082338,2.4926561441903976,0.8478993086942308,0.046872127644713435,3.0498718437275594,0.8405741010364101,0.0675502596183688,3.4471932519882413
(c') single model O1s 1 TeV delta=350,1,0.00828,0.36129589202443124,2.3963338369427203,0.00602,0.9693640307043837,2.5109697901954946,0.00168,1.2447441360499616,2.9327262573342936,0.00038,1.127857460555388,3.3669662096428152,0.00018,1.131314659529901,3.567793525630439,0.0079,0.344648745315224,2.4135029495884783,0.00644,1.037213008182917,2.487070146707163,0.00144,1.0667953553872451,2.9802640631820676,0.00046,1.3653557687216087,3.3139133890787895,0.0002,1.2570288605830828,3.540083799206145,0.00809,2.404829786433776,0.35297152148109967,0.008323573354603625,0.012502312237768013,0.00623,2.498841573505264,1.0032849350414716,0.03392448873926662,0.04019535134218794,0.0015600000000000002,2.955660812485599,1.1557643989141557,0.08897439033135823,0.09252547751117382,0.00042,3.339266288950924,1.2466042386573395,0.11874915408311038,0.1923472182028547,0.00019,3.5535977143914805,1.1941714457116126,0.06285710052659088,0.2739574864703987,3.4,0.3529723186698276,5.551115123125783e-17,2.404828964377141,1.0033357044955677,0.001959853111141774,2.4988236962249357,1.134543603607782,0.0028727378245272384,2.96136793808708,1.0927595796232419,0.06621081204715729,3.3756729827756207
(b1) 6 a-priori high-energy spectra,6,0.0315,1.3908191996743096,1.8591914944718684,0.00934,1.506478233496154,2.3518560983574903,0.00426,3.1603998812692073,2.630736764335337,0.001,2.968966715272367,3.090232306167813,0.00038,2.3885698486820948,3.3669662096428152,0.03314,1.464463757765692,1.8365253258980467,0.01034,1.6686124029529028,2.313776227908041,0.00422,3.1306619290629443,2.6339416133290015,0.00138,4.097953377064978,2.9932760318091396,0.0006,3.7718411260472333,3.2388801183529776,0.03232,1.8477397543094138,1.4276258773474262,0.03682227904569124,0.02498916566449084,0.00984,2.3323934951252587,1.5875248500455954,0.08106708472837443,0.05051604657743052,0.00424,2.632335809231106,3.1455307558431853,0.014868976103131537,0.1525393755638614,0.00119,3.0381948630560744,3.533406355409911,0.5644933308963054,0.32376861335332324,0.00049,3.296206365092308,3.0801674287553924,0.6916356386825693,0.439951104655587,2.8747753028082057,1.4227172307864824,0.0026831911700507804,1.8492524725763264,1.58216865788684,0.002262492257044779,2.3336524503722296,3.1018046592169077,0.010177785162108766,2.637077755266043,2.9976957425353956,0.2753362334526619,3.0873725981290834
(b2) 6 spectra with largest fraction above 200 keV,6,0.01324,0.5791718909072404,2.219098854011911,0.00602,0.9693640307043837,2.5109697901954946,0.00124,0.9185373727712157,3.0257710639591964,0.00056,1.6622553862117437,3.25850728677826,0.00034,2.1370986883292455,3.39751845977858,0.01326,0.5800526382351755,2.2185111528610064,0.00646,1.0404446272376082,2.4859668503503767,0.00178,1.3189020875802482,2.914726828972729,0.0006,1.781023551138447,3.2388801183529776,0.0005,3.1430437101902733,3.2905267314918945,0.01325,2.2188049076416023,0.5796122623397707,0.0004403736639675415,0.016000148715320264,0.00624,2.4982731208871773,1.0049003949901139,0.03554029826661226,0.04022759791884822,0.00151,2.965694821769151,1.118692664688267,0.20018235740451623,0.09103062186560618,0.00058,3.248537297768665,1.721638874489643,0.059384082463351584,0.2260347758917305,0.00042,3.339266288950924,2.640051071905812,0.5029725109305139,0.4073155756072798,2.8747753028082057,0.5796122645712081,5.551115123125783e-17,2.218804906152619,1.0057433156381506,0.002040308299381288,2.4979768340641013,1.0920045602103383,0.010053752100396163,2.9731080575408155,1.478191947373071,0.16706821560553298,3.2916508019590935
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),30,0.06544,2.9409340523911083,1.5106407723872952,0.02084,3.3809811469636153,2.036701142262356,0.00778,5.782028779624045,2.419075739634786,0.0022,6.535652222023771,2.847963287487918,0.00094,5.910223061714662,3.108562308179681,0.06868,3.0918448124478823,1.4856942962636668,0.0232,3.7683833914192464,1.9917362877575475,0.00834,6.199963429904637,2.393686476039341,0.00292,8.677723044856826,2.7566322004412656,0.0014,8.80448665427795,2.98888226731579,0.06706000000000001,1.4980510019380127,3.016323920287381,0.07545538002838703,0.03599547050400603,0.022019999999999998,2.0137099001198226,3.574565412313136,0.19370112222781555,0.07556844107493851,0.00806,2.4061872472131984,5.990966611623677,0.20896732514029592,0.2103132123162945,0.0025599999999999998,2.79938531864966,7.606494352262241,1.0710354114165277,0.47487712199343907,0.00117,3.0432986201374916,7.357188242898599,1.447131796281644,0.6798283999426041,2.3223191725054955,3.0127331862208835,0.0013927195035328133,1.4986447770405968,3.575858150829096,0.0007102262378066992,2.0135599932788586,5.8405612782603855,0.06464129390948337,2.4154241384177797,6.459036333029648,0.7750581143876194,2.8517099470290717
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),60,0.0692,3.116113939741938,1.4817756508632771,0.02462,4.0019326267709285,1.966507645885357,0.00854,6.3492830040367485,2.3849810745265714,0.00254,7.546992984083798,2.801916627845565,0.00104,6.539297422609952,3.0785652136002923,0.07356,3.3201362813550492,1.4497795642745872,0.02662,4.331452551128758,1.9329691361514392,0.00926,6.8870829864499985,2.3550542838738715,0.00332,9.868430862925683,2.7143797592478434,0.00166,10.440964574287397,2.9364428391618,0.07138,1.4655900631075403,3.2180053712812904,0.10201117080655564,0.037136789155326005,0.02562,1.9494643181800286,4.1666080428840875,0.16475996217891486,0.08151196607854004,0.0089,2.369752422366986,6.618134158597745,0.268899991206625,0.2210008984480657,0.0029300000000000003,2.7555139812137126,8.70748491818018,1.1607189394209425,0.5080366864016891,0.00135,2.9999769927033935,8.48982821047545,1.9508335758387227,0.7302528434899906,2.0493130653761504,3.207417805025401,0.0051938299708171876,1.4672523270533826,4.157576830540844,0.011310803055754715,1.950383994034121,6.402345543179653,0.07325241375761671,2.3819309701255054,7.372379804215315,0.874837900878124,2.8094507553289976
heavy elastic m>=100 GeV (140),140,0.06672,3.0004905068610728,1.50067361764755,0.02322,3.77167045937837,1.9913720471018281,0.00626,4.648822648031776,2.4971386316152557,0.00172,5.108463552274464,2.925412410366958,0.00084,5.2812116642923606,3.1416477856542904,0.0723,3.2610772175797473,1.458873238694534,0.02614,4.252306062518193,1.94082094149715,0.00668,4.96177199945721,2.4740259292514635,0.0019,5.6435788696340605,2.894304053051429,0.00096,6.036032896411915,3.102335844476635,0.06951,1.4794503191789172,3.130588524814225,0.13029335535933728,0.036647109378656395,0.02468,1.9654688288888051,4.011808389664328,0.24031780156991167,0.08000265197430363,0.00647,2.4854163349628378,4.805280786910061,0.15647467571271712,0.18843048947362256,0.00181,2.9095063784855095,5.376009149027353,0.2675576586797983,0.39930114174100545,0.0009,3.1213891493598656,5.658610947834733,0.3774106160597772,0.5962489499223272,1.6729344835972384,3.12210982095153,0.0060041310277494375,1.4808113513265309,3.999214260480413,0.011757789600391977,1.966793970882603,4.502654674636652,0.15141207803035517,2.5084112482927146,4.636649483742324,0.5844817631206229,2.9554105590800765
inelastic O1/O4 grid (96),92,0.06958,3.133857646901556,1.4789263500196277,0.0248,4.031561738201506,1.9633975352686588,0.00858,6.379150533376842,2.383261495889228,0.00376,11.178761527820404,2.6728940367899656,0.00158,9.937387517784389,2.9517291296225348,0.07396,3.338901988716344,1.4469176113213178,0.02652,4.31496048125984,1.9345951146584168,0.00934,6.946862664053664,2.3518560983574903,0.00418,12.43007168103453,2.637173746235364,0.00228,14.34505553465755,2.8365768693917026,0.07177,1.4627346534787473,3.236258875928927,0.1025221709073938,0.037238103377862965,0.02566,1.9487942560604279,4.173198574334744,0.141699371529167,0.08157557277263473,0.00896,2.367266992208247,6.662952178455953,0.2838560653384108,0.22174459398274032,0.00397,2.654610626126585,11.80435064880026,0.625655076607063,0.5913662265325282,0.0019299999999999999,2.8893818752853133,12.140835109477274,2.203834008436581,0.8731422970749017,1.8663316102254344,3.2274540063905794,0.0040557923552393405,1.4641103659066461,4.163089708636587,0.009090654133612652,1.9498223986477026,6.480254784501428,0.0735274710915177,2.3774928018172026,10.777224709001452,0.661236129458552,2.685120103026423
LZ-like full space (456; LZ 293 distinct),456,0.10416,4.779641366036185,1.2581984372858388,0.03604,5.892651923119834,1.798612491516558,0.01178,8.772465606918585,2.2642295501508665,0.00514,15.292192087973017,2.5662658669424974,0.00244,15.35295670638373,2.8148500381998662,0.10848,4.989695400495577,1.2346521268269863,0.03912,6.4064190821644305,1.7609905645795054,0.0132,9.836982753834166,2.220276560909544,0.00554,16.485557468854577,2.540165577012996,0.00274,17.243207199634703,2.7773744889483156,0.10632,1.2463389064000439,4.88454145943515,0.1050270172296961,0.04532351296778059,0.03758,1.7794867212214478,6.149329978608291,0.25688357952229834,0.09872114724365492,0.012490000000000001,2.241711873456164,9.304532838709095,0.5322585734577903,0.2618063977133718,0.005339999999999999,2.5529983571055226,15.888814789805181,0.5966826904407796,0.6858543430520503,0.00259,2.795621667622434,16.298010884548138,0.9451252466254871,1.011477565321703,1.0209471254598395,4.867330268221069,0.01067825939232847,1.2482707475811012,6.119787226188016,0.03197347142054774,1.7816535047420055,9.013156331978092,0.17038789291600231,2.2538995118439304,14.20346859130076,1.0772288051856957,2.5917155922151145
+ continuous delta scan [P021] (497),496,0.1043,4.786432776770024,1.257424395606857,0.03618,5.915969340897022,1.7968464492927683,0.01184,8.81741424527857,2.262281770162712,0.00586,17.4405954284211,2.5204646792069987,0.00306,19.26010125526748,2.7412817693832867,0.10856,4.993594881925973,1.234222514639034,0.03916,6.41310221001268,1.7605181079826762,0.01324,9.866991330506758,2.219098854011911,0.00646,19.232120467366244,2.4859668503503767,0.00352,22.160520940409874,2.6949461860675865,0.10643,1.2457396282674231,4.889890376316379,0.10358105257797456,0.04534695304281639,0.037669999999999995,1.778388927226452,6.164343344513558,0.24856643455782912,0.09883928973991421,0.012539999999999999,2.2401682815982853,9.342016779340117,0.5247885426140941,0.2623299063299569,0.00616,2.5028435234004056,18.336222750699157,0.8957625194725711,0.7366337632357458,0.00329,2.7173850878253827,20.710143773207616,1.4502098425711978,1.1399986090793863,0.9656210632386065,4.8708626128174295,0.011206697001561405,1.2478738231767112,6.125166439068218,0.03679689057328028,1.7812583189577413,9.027865463390686,0.1842219741921527,2.2532760701111827,16.85983908749734,0.8611303654959102,2.5323265272312394
