variable,M,Nyholt_Cheverud,Li_Ji,participation_ratio,Galwey,Gao_99p5,lambda_max,top5_variance_fraction,Z_global@3.4_if_Nyholt_Cheverud,Z_global@3.4_if_Li_Ji,Z_global@3.4_if_participation_ratio,Z_global@3.4_if_Galwey,Z_global@3.4_if_Gao_99p5
gaussianised_Z (randomised PIT),456,384.2052677773021,179.00000000000006,6.264189537849775,196.64149952699768,444,162.43585029248936,0.6220316920948106,1.1289948706584672,1.5521736585986732,2.8611421376461186,1.5042828535912922,1.0381651208880194
asymptotic sqrt(q0) [P008 metric],456,302.64500382624607,15.999999999999906,2.954228961184328,8.610043481954007,14,222.35388521080534,0.9685476044394962,1.2704063632186346,2.54969445586436,3.0916114460678807,2.7587691072117213,2.5959121069704567
tail indicator I(p<=0.1),456,352.40156833960634,58.99999999999993,4.3595299925769835,46.12873195786835,193,175.6476158455609,0.8348754620758844,1.181337178915219,2.0562580102707044,2.9741821331650478,2.155992643770761,1.5138862323803541
tail indicator I(p<=0.01),456,376.6696624703341,68.99999999999997,5.676560238920938,55.42979867287124,206,137.80794334678356,0.7925519942080582,1.141115010567192,1.990860383340602,2.8922283173542103,2.081897395658074,1.4802188276346038
tail indicator I(p<=0.001),456,396.000231610551,85.00000000001195,7.47543821951457,60.729753152542955,172,120.12057013914864,0.6981254898847404,1.1103502334994633,1.9011835485777415,2.8046331410169674,2.0443066543837807,1.5722021914420998
