op,n,m_med_GeV,R_lo,R_hi,R_100_200,R_roi,N_lo,ratio_100_200_over_hi,f_hi,pct248_true,pct248_obs,E_peak_keV,N_hi_unit,c_anand_1hi,c_mv2_1hi,Lambda_1hi_GeV,gchi_gN_1hi
O14s,2,10,4.8636e-07,2.0633e-07,4.4457e-07,1.2962e-06,2.3572,2.1547,0.15918,0.96797,0.95831,13,5.8598e-07,0.021552,1306.4,6.8117,
O14s,2,inf,4.8647e-07,2.0679e-07,4.4523e-07,1.2976e-06,2.3525,2.1531,0.15937,0.96792,0.95825,13,5.8729e-07,,,,
O15s,1,0.3,0.59579,0.14416,0.1478,1.4681,4.1328,1.0252,0.098198,0.97766,0.97206,51,0.40942,2.5783e-05,1.5628,196.94,2.3205e-06
O15s,1,1,0.71353,0.34133,0.27501,2.1383,2.0904,0.80572,0.15963,0.96059,0.95219,54,0.96937,1.6756e-05,1.0157,244.29,1.6756e-05
O15s,1,3,0.72565,0.37624,0.29395,2.231,1.9287,0.78127,0.16864,0.95788,0.94911,54,1.0685,1.596e-05,0.9674,250.31,0.00014364
O15s,1,10,0.72705,0.38055,0.29623,2.2421,1.9105,0.77842,0.16973,0.95755,0.94874,54,1.0808,1.5869e-05,0.96191,251.03,0.0015869
O15s,1,inf,0.72719,0.38098,0.29646,2.2433,1.9087,0.77814,0.16984,0.95751,0.9487,54,1.082,,,,
O15s,2,1,0.70014,0.30582,0.25519,2.0406,2.2894,0.83444,0.14987,0.96348,0.95548,54,0.86854,1.7702e-05,1.073,237.68,
O15s,2,3,0.72412,0.37156,0.29146,2.2189,1.9488,0.78442,0.16746,0.95824,0.94952,54,1.0552,1.606e-05,0.97348,249.53,
O15s,2,10,0.72691,0.38012,0.296,2.241,1.9123,0.7787,0.16962,0.95758,0.94878,54,1.0796,1.5878e-05,0.96245,250.96,
O15s,2,inf,0.72719,0.38098,0.29646,2.2433,1.9087,0.77814,0.16984,0.95751,0.9487,54,1.082,,,,
