op,q^-2 (m->0),0.01,0.03,0.1,0.3,1,3,10,contact
O1s,7.72e+05,7.101e+05,4.195e+05,5.263e+04,6222,3021,2783,2757,2754
O3s,1027,979.8,722.3,174.3,27.9,13.9,12.81,12.68,12.67
O4s,8283,7616,4495,566.9,65.73,31.02,28.45,28.16,28.13
O5s,2382,2228,1456,246.8,32.71,15.67,14.39,14.24,14.23
O6s,27.8,26.68,20.39,5.55,0.9498,0.4773,0.4401,0.4359,0.4355
O7s,1.288e+04,1.179e+04,6732,739.9,77.3,35.75,32.72,32.39,32.35
O8s,4.754e+04,4.374e+04,2.59e+04,3253,368.6,172.1,157.6,156,155.9
O9s,505.8,469.2,291.1,40.89,4.846,2.287,2.097,2.075,2.073
O10s,353.2,332.8,228.1,46.09,6.881,3.389,3.119,3.089,3.086
O11s,4.029e+04,3.765e+04,2.449e+04,4114,567.6,283.3,261.6,259.1,258.9
O12s,1.464e+04,1.372e+04,9105,1631,226.3,110.2,101.4,100.4,100.3
O13s,416.5,397.2,291.3,69.01,10.88,5.392,4.965,4.918,4.913
O14s,577.3,535.5,331.8,46.46,5.497,2.594,2.379,2.355,2.352
O15s,99.56,96.35,77.04,23.27,4.133,2.09,1.929,1.911,1.909
O1p,3.477e+05,3.2e+05,1.898e+05,2.413e+04,2843,1368,1258,1246,1245
