op,q^-4 (m->0),0.01,0.03,0.1,0.3,1,3,10,contact
O1s,4.86e+08,3.941e+08,1.093e+08,1.098e+06,1.408e+04,3315,2813,2759,2754
O3s,2.802e+05,2.383e+05,8.985e+04,2671,61.41,15.24,12.94,12.7,12.67
O4s,5.737e+06,4.647e+06,1.28e+06,1.258e+04,153.6,34.21,28.77,28.19,28.13
O5s,1.183e+06,9.771e+05,3.059e+05,4774,75.19,17.27,14.55,14.26,14.23
O6s,6288,5384,2129,78.42,2.07,0.5231,0.4447,0.4363,0.4355
O7s,9.614e+06,7.762e+06,2.088e+06,1.78e+04,184.4,39.5,33.1,32.42,32.35
O8s,3.299e+07,2.675e+07,7.42e+06,7.376e+04,871,190.1,159.4,156.2,155.9
O9s,2.913e+05,2.39e+05,7.127e+04,873.7,11.32,2.522,2.12,2.078,2.073
O10s,1.461e+05,1.214e+05,3.966e+04,782.2,15.35,3.721,3.152,3.092,3.086
O11s,1.82e+07,1.503e+07,4.698e+06,7.328e+04,1247,309.9,264.3,259.4,258.9
O12s,6.723e+06,5.566e+06,1.769e+06,2.982e+04,510.9,121.2,102.5,100.5,100.3
O13s,1.176e+05,9.988e+04,3.742e+04,1078,24.09,5.918,5.019,4.922,4.913
O14s,3.33e+05,2.732e+05,8.139e+04,993.6,12.84,2.861,2.406,2.357,2.352
O15s,1.454e+04,1.279e+04,5920,308.1,8.94,2.289,1.949,1.912,1.909
O1p,2.228e+08,1.807e+08,5.029e+07,5.115e+05,6501,1503,1272,1247,1245
