delta_keV,sigma_X1T_cm2,LZ_upper_cm2,LZ_lower_cm2,X1T_over_LZ_upper,X1T_over_LZ_lower,N_LZ_events_at_X1T_limit
100.0,2.558544759000882e-44,2.3649999999999854e-45,4.524000000000014e-47,10.818371073999568,565.5492393901137,89.61988143540366
150.0,5.990351707792603e-43,2.2990000000000153e-44,1.4890000000000062e-45,26.056336267040294,402.30703208815163,238.68768728436072
200.0,7.169385547866564e-41,1.8619999999999985e-43,1.3779999999999971e-44,385.036817823124,5202.747131978649,2436.859925332841
220.0,4.321066038330326e-39,3.901051680729976e-43,2.8949326019127785e-44,11076.669554712887,149263.09633168156,54430.38642558997
230.8,6.871999999999998e-38,5.816085717369328e-43,4.322436746135971e-44,118155.06741032474,1589843.9707979998,525985.1828809876
