delta_keV,Nunit_X1T_recast,sigma90_recast_cm2,sigma_X1T_digitised_cm2,ratio_recast_over_digitised,shape_ratio_normalised_at_0
0.0,505910726.0390738,1.3492070008166855e-46,7.880000000000052e-46,0.17121916254018738,1.0
50.0,181579015.9448979,3.759125413298343e-46,2.5755715693910564e-45,0.14595305593418686,0.8524341187565952
100.0,23453489.83073437,2.910348516516691e-45,2.558544759000882e-44,0.11375015059940514,0.6643540881278782
110.0,14366773.124036368,4.751089806090006e-45,4.4172167534049156e-44,0.10755844848292155,0.6281916514903884
120.0,8548113.464340944,7.985133751530019e-45,8.036266388240373e-44,0.09936372645902856,0.5803306416459466
130.0,4913269.005118784,1.3892548782674858e-44,1.5726679695711634e-43,0.08833745616668909,0.5159320654074285
140.0,2713983.6477348134,2.515042026616021e-44,3.0721343822026695e-43,0.08186627646192929,0.4781373489238636
150.0,1425379.9640509577,4.788746233111554e-44,5.990351707792603e-43,0.07994098621758837,0.46689275330864427
160.0,703295.8749059865,9.705421540420875e-44,1.1440616428079827e-42,0.08483302977101748,0.49546457599981575
170.0,318543.84093367145,2.142808008340365e-43,2.8407403022979946e-42,0.07543132353939419,0.4405542137942035
180.0,127179.28145211024,5.367055746554109e-43,7.330099918264555e-42,0.07321940773523304,0.42763559083550295
190.0,41764.95096529713,1.6343328019882773e-42,1.9993990690815154e-41,0.08174120050676315,0.4774068468392223
200.0,9493.494447823308,7.189958314208251e-42,7.169385547866564e-41,0.10028695299205674,0.5857227164542291
210.0,884.1721337091159,7.719970663367822e-41,4.619703920690857e-40,0.16710964156796726,0.9759984752217465
220.0,2.2401594993824467,3.0470075615077393e-38,4.321066038330326e-39,7.051518154268044,41.184164492178034
230.0,0.0,inf,5.644038979101551e-38,inf,inf
240.0,0.0,inf,,,
