m_GeV,eff,delta_keV,Nunit_X,Nunit_P,Nunit_LZ,kappa90_n0_X,sigma90_n0_X_cm2,kappa90_n1_X,sigma90_n1_X_cm2,kappa90_n0_P,sigma90_n0_P_cm2,kappa90_n1_P,sigma90_n1_P_cm2,kappa90_n0_XP,sigma90_n0_XP_cm2,kappa90_n1_XP,sigma90_n1_XP_cm2
400.0,LZlike,100.0,225030672.70432603,111789430.95634261,206157132.41299546,1.0232316209734793e-08,3.024755669488412e-46,1.728528805986733e-08,5.109671357505789e-46,2.0597519642972634e-08,6.088793880139011e-46,3.479506038025242e-08,1.0285702083290873e-45,6.836245743572815e-09,2.0208496929771722e-46,1.154836055723895e-08,3.413789053506023e-46
400.0,LZlike,110.0,145324112.17214924,72193268.62745479,133135638.2480335,1.5844480076866976e-08,4.683756830834076e-46,2.6765826688087956e-08,7.912195475968062e-46,3.189473262226469e-08,9.428341672458205e-46,5.387926151498225e-08,1.5927146737338306e-45,1.0585751775493022e-08,3.1292340895658697e-46,1.788234110626566e-08,5.286165080926938e-46
400.0,LZlike,120.0,92380325.68924002,45892161.79400956,84632298.37336826,2.492505826127644e-08,7.368049397886909e-46,4.210550212915145e-08,1.2446727961811904e-45,5.017381857789413e-08,1.4831787748993126e-45,8.47578289612789e-08,2.505510174130968e-45,1.6652517372835553e-08,4.922619209795133e-46,2.8130831163872736e-08,8.315701871038126e-46
400.0,LZlike,130.0,57821044.105024554,28724002.555399295,52971537.18008701,3.982261191647885e-08,1.1771887097625984e-45,6.727170116359054e-08,1.9886060528222732e-45,8.01624006110938e-08,2.3696655845870487e-45,1.3541706078385107e-07,4.0030381582786013e-45,2.6605624340750958e-08,7.86483836263805e-46,4.4944455518778164e-08,1.3285945611528119e-45
400.0,LZlike,140.0,35609926.80643697,17690092.67158482,32623287.78396161,6.46613235830571e-08,1.9114411741732716e-45,1.092313393718316e-07,3.2289669931860316e-45,1.301624046152448e-07,3.847706259699443e-45,2.1988126756667399e-07,6.499868622647206e-45,4.320045325592177e-08,1.2770404396416256e-45,7.297783449411163e-08,2.1572839825165297e-45
400.0,LZlike,150.0,21569118.03913062,10714981.219439084,19760095.2358487,1.0675378547340963e-07,3.155728490318173e-45,1.8033746177953513e-07,5.3309216482172875e-45,2.148939837451752e-07,6.352440467523594e-45,3.63016968517246e-07,1.0731076045112721e-44,7.132257219128661e-08,2.1083530862039517e-45,1.204840800682239e-07,3.561607135662412e-45
400.0,LZlike,160.0,12820824.492066925,6369054.747671956,11745529.534667764,1.7959726392204795e-07,5.3090407991496305e-45,3.0339078445437124e-07,8.968477679333576e-45,3.6152695984308357e-07,1.0687030180106399e-44,6.107217089665914e-07,1.8053429094762392e-44,1.199895513272303e-07,3.5469884649491063e-45,2.0269642926908423e-07,5.991870863347863e-45
400.0,LZlike,170.0,7493640.174060565,3722647.054210732,6865141.320752259,3.072718927672107e-07,9.083206389163625e-45,5.190694922161287e-07,1.5344115225304402e-44,6.185343295963332e-07,1.8284376497667038e-44,1.0448801466688307e-06,3.088750467431406e-44,2.052894111160244e-07,6.06852151000156e-45,3.4679211764439636e-07,1.0251456292768027e-44
400.0,LZlike,180.0,4294153.803756455,2133224.792833852,3933998.9686026876,5.362139097080632e-07,1.5850918112801846e-44,9.058175784475482e-07,2.6776702359186566e-44,1.079391636425322e-06,3.190769230499073e-44,1.823399021550259e-06,5.390115409966126e-44,3.582463620894388e-07,1.0590053049501235e-44,6.051798476696981e-07,1.7889607179628958e-44
400.0,LZlike,190.0,2422119.2583447653,1203246.3412422384,2218973.7721610107,9.506488964435002e-07,2.8101952483394843e-44,1.6059159707347226e-06,4.747217870945506e-44,1.9136438824512012e-06,5.656886538865194e-44,3.2326879930374282e-06,9.55608792203316e-44,6.351318058135453e-07,1.8775011357440518e-44,1.0729179976891465e-06,3.171632629295489e-44
400.0,LZlike,200.0,1349071.2046133047,670183.7597111255,1235923.297129608,1.7067927861228117e-06,5.045417919703544e-44,2.8832577455501635e-06,8.523143766952912e-44,3.4357517123251408e-06,1.0156360747455188e-43,5.8039603968866925e-06,1.715697771269742e-43,1.1403141459010166e-06,3.370861110146765e-44,1.9263144420701523e-06,5.694341740852161e-44
