m_GeV,delta_keV,kappa_1event,N_X_edge150,N_P_edge150,N_X_edge200,N_P_edge200,N_X_edge250,N_P_edge250,N_X_edge270,N_P_edge270,N_X_edge300,N_P_edge300,N_X_LZlike,N_X_hiedge,N_P_LZlike,N_P_hiedge
400.0,250.0,1.219202825147075e-05,0.4090659975299443,0.2032134310310046,0.9724065939578829,0.48306650151456115,1.0899505397965583,0.5414593004150644,1.091460433148184,0.5422093764671624,1.0964852005674453,0.544705551249634,1.091549295774648,0.9713161232654557,0.5422535211267605,0.4825247838157425
400.0,300.0,0.00032390398184789764,0.1063621820430884,0.05283798720850198,0.8393191144526515,0.4169520762119624,1.0876814088819602,0.5403320547349093,1.0911122401197832,0.5420364031562794,1.1047771335095729,0.5488247695499169,1.091549295774648,0.9790729434624349,0.5422535211267606,0.4863781719135967
1000.0,250.0,1.002910436150515e-05,0.43528010594972594,0.21623592360083158,0.9658519002907521,0.47981029885411547,1.0895553106216596,0.5412629607604372,1.0914027879355117,0.5421807398131252,1.0981960932529435,0.5455554785837203,1.091549295774648,0.9731602127684996,0.5422535211267605,0.4834408798914481
1000.0,300.0,7.964539735237595e-05,0.21489822992229998,0.10675589486462643,0.8801955998984329,0.43725845930438273,1.087582587200725,0.5402829626739085,1.091126595077173,0.54204353432866,1.1059382243058051,0.5494015694938515,1.091549295774648,0.9810017789988135,0.5422535211267606,0.4873363676316686
1000.0,350.0,0.006466492653821576,0.0,0.0,0.37659285195388803,0.18708161032547987,1.0633619664020284,0.5282507833093948,1.0847623838423426,0.5388819584249057,1.2268454139498297,0.6094651411234638,1.091549295774648,1.1042323296918504,0.5422535211267606,0.5485541250727257
1000.0,380.0,14.789849412599542,0.0,0.0,0.0,0.0,0.05181226260823925,0.0257389949731253,0.4259533400280992,0.21160262698170088,9.938172285987976,4.937027522716607,1.091549295774648,10.158269996489578,0.5422535211267605,5.046366385352887
4000.0,250.0,2.5115797869473635e-05,0.44846290246294024,0.22278479670739612,0.9642856690538181,0.47903223559447733,1.089422376730846,0.5411969226340331,1.0913804387102153,0.5421696372947521,1.0988128204933438,0.5458618527612095,1.091549295774648,0.9738371027862563,0.5422535211267606,0.48377714138414024
4000.0,300.0,0.0001561710094242157,0.23363839188645716,0.11606552371133677,0.8847762623726794,0.43953401421094396,1.0875008023445336,0.5402423340679295,1.0911146557059583,0.5420376031571534,1.1064248748023364,0.5496433249018058,1.091549295774648,0.9816593397317495,0.5422535211267606,0.487663026834482
4000.0,350.0,0.003139153911349789,0.007635755617267994,0.003793246338900874,0.6089485168761845,0.30250990838365294,1.0771579225852341,0.5351042583165356,1.0889572692828116,0.5409658692566225,1.1544087156540033,0.5734804587442468,1.0915492957746478,1.0313367446910753,0.5422535211267605,0.5123414796207276
4000.0,380.0,0.16695148238523944,0.0,0.0,0.06564498282755435,0.03261073340465603,0.9757763814665577,0.48474052498661246,1.0496712185726316,0.5214495730973717,1.7988885105303551,0.8936413891021764,1.091549295774648,1.7112230287371228,0.5422535211267606,0.8500914400823126
