curve,delta_end_keV,vmax_label,vmax_kms,E_minus_keV
XENON1T 2018,230.8,annual 794.6,794.5524695547821,46.623050737703565
XENON1T 2018,230.8,June 809.1,809.1195606879396,44.04519005540812
XENON1T 2018,230.8,v0+vesc 776,776.0,50.32363389194877
XENON1T 2018,230.8,vE=232 + vesc=544 + 15,791.0,47.29296268653121
PandaX-4T 2021,303.3,annual 794.6,794.5524695547821,100.93685357831015
PandaX-4T 2021,303.3,June 809.1,809.1195606879396,93.44582788253962
PandaX-4T 2021,303.3,v0+vesc 776,776.0,112.54135235540403
PandaX-4T 2021,303.3,vE=232 + vesc=544 + 15,791.0,102.95739756981091
