delta_keV,eff,Z_LZ_P021,R_total_over_LZ,Z_combined_null,kappa_hat_combined
300.0,LZlike,2.674021695590583,2.6338028169014085,2.2907547404364053,2.8188536356045476e-05
300.0,hiedge,2.674021695590583,2.3670623570681046,2.335714181817845,3.1365057298633823e-05
350.0,LZlike,3.1213293475899477,2.6338028169014085,2.7955459398978353,0.0014676333317707117
350.0,hiedge,3.1213293475899477,2.6644057503532386,2.791441476052994,0.0014507763327277123
370.0,LZlike,3.4218606768763364,2.633802816901409,3.126615225371506,0.0439874298271716
370.0,hiedge,3.4218606768763364,8.248064325835776,2.7394301601250635,0.014046230971327702
380.0,LZlike,3.585577826369484,2.6338028169014085,3.304762298560817,0.8330495869212882
380.0,hiedge,3.585577826369484,24.510922443142597,2.546780471650597,0.08951471955987858
385.0,LZlike,3.4734718075432687,2.6338028169014085,3.18292881580763,4.752814676271297
385.0,hiedge,3.4734718075432687,32.886215337482106,2.2661072678406025,0.3806450986868749
