target,delta_keV,Estar_keV,N_unit_per_t_yr_annual,N_unit_per_t_yr_june,E_peak_keV,E16,E50,E84,kappa,N_per_t_yr_f2eq1,Eplus_vmax
C,300.0,296.68369071044395,43395967.09937775,43384308.31431096,292.5,248.78191192273223,304.6545818453943,371.4604340902834,7.47194858613252e-05,3242.5243501204895,607.8170037931918
H,300.0,299.7208118321312,125134.8082080058,125132.56642879461,300.0,283.4572557896317,300.76711270956247,318.9647534798321,7.47194858613252e-05,9.35000853265773,370.5687275630482
O,300.0,295.5944876600345,74634461.52870302,74571268.59920217,287.5,240.45880133558242,303.05755750281725,380.2397005993192,7.47194858613252e-05,5576.648592961545,671.9527864474903
C,350.0,346.13097249551794,44151640.11641495,44135441.212407336,337.5,292.9725901450982,353.36570652310826,424.81247994861377,0.0039120020566270775,172721.30693887387,673.6905662649218
H,350.0,349.6742804708197,134792.95371762878,134789.6035136418,350.0,332.01785710086085,350.72063764658833,370.3112539047132,0.0039120020566270775,527.3103121622023,425.6008807541785
O,350.0,344.86023560337355,73724690.74135661,73656443.49313846,332.5,283.28231448547155,350.8733730630197,433.1971796799709,0.0039120020566270775,288411.1418043823,739.7484213030348
C,366.0,361.9541026667416,44278015.23401653,44261232.799734876,357.5,307.1649951599436,368.9353062553901,441.7258180605714,0.04785778617188158,2119047.785184878,694.5449261034929
H,366.0,365.6593904352,137759.35547102307,137754.91182796686,366.0,347.5599386483471,366.7074332834944,386.7447483527045,0.04785778617188158,6592.857777308446,443.1341633113032
O,366.0,360.6252749452421,73265666.49982503,73197091.52900937,347.5,297.0716432478587,366.16974998353516,450.12149438814936,0.04785778617188158,3506332.6010890137,761.1974511613487
C,380.0,375.7993415665623,44374977.281385414,44357633.04636972,367.5,319.5956368353617,382.5853979123634,456.62061165958863,1.5091789955939527,66969783.64302571,712.7117946826313
H,380.0,379.64636165403283,140258.6618844174,140248.44018467327,380.0,361.1690560661737,380.68688845159954,401.0951669547243,1.5091789955939527,211675.4264660769,458.4484941866296
O,380.0,374.419684369377,72805126.05644038,72735471.23942727,362.5,309.13741163492864,379.5607731404085,464.8354658185947,1.5091789955939527,109875967.01594982,779.8770411258914
