cat,neutral (tool/projection/constraint),stat. reassessment: neutral,stat. reassessment: strengthens,stat. reassessment: weakens,supports DM (by elimination)
STAT,1,3,1,7,0
BKG,8,0,1,1,4
RESP,6,0,0,0,0
IDM,11,0,0,0,0
EFT,7,0,0,0,0
MODEL,6,0,0,0,0
NUC,6,0,0,0,0
HALO,6,0,0,0,1
XEXP,8,0,0,0,0
COMP,11,0,0,0,0
EXO,4,0,0,0,0
PROJ,7,0,0,0,0
