delta_keV,alpha_D,sigma_p_N1_cm2,N_exo_if_f2_is_1,f2_max,tau_max_s,tau_at_eps_1em6_s,tau_at_eps_1em4_s,eps_min_for_no_exothermic
250.0,0.1,1.1986893779135281e-42,250.7298447121972,0.003988356476461189,7.883150541580242e+16,4.743295151606153e+18,474329515160615.25,7.756935221289854e-06
250.0,0.024492864645139615,1.1986893779135281e-42,250.7298447121972,0.003988356476461189,7.883150541580242e+16,1.9366028516176105e+19,1936602851617611.2,1.5673658259704022e-05
300.0,0.1,8.594157707698722e-42,858.1808132963529,0.0011652556017407408,6.447177189929136e+16,1.9062239388849329e+18,190622393888493.25,5.437536140444953e-06
300.0,0.024492864645139615,8.594157707698722e-42,858.1808132963529,0.0011652556017407408,6.447177189929136e+16,7.782772519682402e+18,778277251968240.6,1.0987081986479761e-05
350.0,0.1,2.9855974871244723e-40,18133.535244202616,5.514644477941526e-05,4.441324442145182e+16,8.81941890210581e+17,88194189021058.06,4.456190368251221e-06
350.0,0.024492864645139615,2.9855974871244723e-40,18133.535244202616,5.514644477941526e-05,4.441324442145182e+16,3.600811513836517e+18,360081151383651.8,9.004175357872871e-06
365.0,0.1,2.2865355596375624e-39,122442.44218105637,8.167102698926032e-06,3.717286785745586e+16,7.150161817286181e+17,71501618172861.78,4.3857603944037405e-06
365.0,0.024492864645139615,2.2865355596375624e-39,122442.44218105637,8.167102698926032e-06,3.717286785745586e+16,2.9192836039720095e+18,291928360397201.06,8.861864598554486e-06
380.0,0.1,5.59525205528925e-38,2648779.985181746,3.775323000001395e-07,2.9446002198076076e+16,5.846045750152744e+17,58460457501527.42,4.455720441993569e-06
380.0,0.024492864645139615,5.59525205528925e-38,2648779.985181746,3.775323000001395e-07,2.9446002198076076e+16,2.3868362622551946e+18,238683626225519.5,9.003225825182501e-06
