m_GeV,delta_keV,halo,eff_sigma_keV,N_p,N_p_lo,N_p_hi,N_p_noeff,N_iso,N_iso_lo,N_iso_hi,N_iso_noeff,N_hig,N_hig_lo,N_hig_hi,N_hig_noeff
300.0,235.0,sun,11.5,26481.193270835796,0.13085222000929653,3704.600485723541,27674.53745396395,115921.28812274507,0.5826506609394723,9199.610874750182,121694.69034630053,7562.167307182591,0.03502810960448192,294.6928194337703,8048.196391280145
300.0,235.0,sun,15.0,26460.61455592152,0.13085222000929653,3683.1040577021295,27674.53745396395,115912.49073252255,0.5826506609394723,9176.105036310853,121694.69034630053,7564.892188497974,0.03502810960448192,293.4656396051055,8048.196391280145
300.0,240.0,june16,8.0,31076.20717769769,0.7883607826227224,4482.080516159638,32470.458157331497,135309.15099466132,3.5103529521904835,11068.883595967263,142202.80882630034,8779.688303509687,0.2110366234596976,355.86937104124456,9374.306707114965
300.0,240.0,june16,11.5,31059.21450625967,0.7883607826227224,4463.520592419727,32470.458157331497,135309.4097289062,3.5103529521904835,11054.366863831814,142202.80882630034,8782.700330831303,0.2110366234596976,354.0834548360263,9374.306707114965
300.0,240.0,june16,15.0,31033.807148176173,0.7883607826227224,4436.927044995026,32470.458157331497,135299.40478556717,3.5103529521904835,11025.358801120326,142202.80882630034,8786.279193131164,0.2110366234596976,352.56422491096004,9374.306707114965
300.0,240.0,annual,8.0,21539.06976616046,0.14936423701406845,3272.2901332648726,22503.89438465774,94776.57643897552,0.6650780570849912,8093.3618710510345,99567.6494966893,6218.748766008459,0.03998341559592185,260.10579917289385,6632.486078681042
300.0,240.0,annual,11.5,21526.97110516145,0.14936423701406845,3259.112581094187,22503.89438465774,94776.57658955794,0.6650780570849912,8083.064849857917,99567.6494966893,6220.805300889857,0.03998341559592185,258.8258856787981,6632.486078681042
300.0,240.0,annual,15.0,21508.78451273214,0.14936423701406845,3240.111398128023,22503.89438465774,94768.96883916733,0.6650780570849912,8062.333373665882,99567.6494966893,6223.235173445062,0.03998341559592185,257.7344906979093,6632.486078681042
300.0,240.0,sun,8.0,19763.382802267075,0.0,3076.0574367730746,20648.67136288808,87323.37864538771,0.0,7611.399679595474,91731.64775422322,5757.700760244986,0.0,244.5901674117173,6139.35778861622
300.0,240.0,sun,11.5,19752.094595445404,0.0,3063.7735563431015,20648.67136288808,87323.32432616776,0.0,7601.803793863059,91731.64775422322,5759.593612507997,0.0,243.39360848801783,6139.35778861622
300.0,240.0,sun,15.0,19735.098561127226,0.0,3046.0263930878023,20648.67136288808,87316.08321799141,0.0,7582.438966100631,91731.64775422322,5761.825690710889,0.0,242.3725502429647,6139.35778861622
300.0,245.0,june16,8.0,23562.714351000228,0.0,3751.191481286018,24627.29277462455,103417.8474202713,0.0,9253.464486254743,108772.85755590232,6776.147592486366,0.0,297.3370607675345,7249.255726338948
300.0,245.0,june16,11.5,23548.469571559977,0.0,3735.6421045739658,24627.29277462455,103418.1590441408,0.0,9241.343955314263,108772.85755590232,6778.66588357856,0.0,295.82799052427066,7249.255726338948
300.0,245.0,june16,15.0,23527.181102564136,0.0,3713.3660026596062,24627.29277462455,103409.86704212631,0.0,9217.102410582333,108772.85755590232,6781.6560713368135,0.0,294.5452180280432,7249.255726338948
300.0,245.0,annual,8.0,16212.213384128663,0.0,2685.318942946141,16942.33968485163,71883.62746023659,0.0,6634.138546606485,75560.8655478974,4751.322266883794,0.0,213.06602335348686,5074.788417882615
300.0,245.0,annual,11.5,16202.289097061539,0.0,2674.5193979155206,16942.33968485163,71883.68876035945,0.0,6625.733086913968,75560.8655478974,4752.997684488227,0.0,212.00607436474263,5074.788417882615
