delta_keV,halo,N_exo_unit_ROI,N_exo_unit_lo,N_exo_unit_hi,N_exo_unit_noeff_to330,E_onset_keV
250.0,june16,6500016.342423398,1433267.3208134766,524476.9095482259,6792846.02491363,28.0
250.0,annual,6200306.662781827,1243545.004651154,540748.0112303349,6481201.059296712,28.0
250.0,sun,6160434.3445226485,1217112.3702433072,542530.1490751442,6439730.106134629,28.0
300.0,june16,3046403.40391391,130988.4901604422,506202.9628405426,3196405.643187175,37.0
300.0,annual,2959983.408611192,103779.97786836683,520072.5699163384,3107072.851435721,37.0
300.0,sun,2947850.641197093,99537.63017704083,521624.13830398204,3094510.4161092993,40.0
350.0,june16,1832164.8152604667,2246.402878854373,457943.2756461725,1931609.5194759057,49.0
350.0,annual,1800383.4801350767,1266.5222036980697,466183.1152295779,1899197.066088568,49.0
350.0,sun,1796311.015851877,1049.9438679359714,467175.93199273007,1895031.2560327428,49.0
365.0,june16,1615953.8858484745,193.1270762473193,438336.2796091431,1706197.2512026073,52.0
365.0,annual,1587332.1718063508,76.14872373390355,444559.54995708837,1677051.354309938,52.0
365.0,sun,1583871.7686435254,39.69546889474639,445345.3262266797,1673520.7186995505,55.0
380.0,june16,1431239.2452232963,0.08489559643119901,416767.526618836,1513501.4506413296,55.0
380.0,annual,1403266.0745470736,0.014056308073767877,420943.25715746515,1484995.267030305,55.0
380.0,sun,1400041.0221180522,0.0,421514.46513693867,1481706.304405245,58.0
