m_GeV,delta_keV,halo,eff_sigma_keV,N_p_unit,N_iso_unit,N_hig,N_lo_per_event,frac_hi,N_lo_per_hi_event,delta_max_248keV_june,sigma_p_N1_cm2,sigma_p_N0p3_cm2,sigma_p_N3_cm2,sigma_p_N0p105_cm2,sigma_p_N3p65_cm2,sigma_p_higgsino_equiv_cm2,effective_A_over_Z_sq
300.0,290.0,june16,8.0,1351.4677761811035,5384.460344291222,312.37768938689885,0.0,0.26771153825935534,0.0,315.7939536557191,2.1837873922160222e-41,6.551362176648066e-42,6.551362176648067e-41,2.292976761826823e-42,7.97082398158848e-41,6.821664596926823e-39,3.984157402188535
300.0,295.0,june16,8.0,783.1467885687347,2988.2862792298356,165.60500893212074,0.0,0.2965187391630766,0.0,315.7939536557191,3.768537819077693e-41,1.130561345723308e-41,1.130561345723308e-40,3.956964710031578e-42,1.375516303963358e-40,6.240887391893962e-39,3.8157422374050403
300.0,300.0,june16,8.0,398.2500231057201,1440.5730470265653,75.46518063580594,0.0,0.33239605080822043,0.0,315.7939536557191,7.41071718614077e-41,2.2232151558422308e-41,2.223215155842231e-40,7.781253045447808e-42,2.704911772941381e-40,5.592511110929847e-39,3.6172579119829664
300.0,305.0,june16,8.0,166.4803271240344,559.4613389400727,27.1269764894614,0.0,0.3930069331352384,0.0,315.7939536557191,1.7727730006270773e-40,5.318319001881232e-41,5.318319001881233e-40,1.861411650658431e-41,6.470621452288832e-40,4.808997150916266e-39,3.3605252260421854
300.0,310.0,june16,8.0,50.96124892207679,155.22350655677195,6.809593458888989,0.0,0.4717791279448097,0.0,315.7939536557191,5.791298983122028e-40,1.7373896949366084e-40,1.7373896949366085e-39,6.080863932278129e-41,2.1138241288395402e-39,3.9436391673938214e-39,3.04591252844135
300.0,315.0,june16,8.0,9.777240664557644,25.90736276016213,0.9952007302284954,0.0,0.5661858170266583,0.0,315.7939536557191,3.0185595219201316e-39,9.055678565760393e-40,9.055678565760394e-39,3.1694874980161377e-40,1.1017742255008478e-38,3.004072640453093e-39,2.6497622027527608
300.0,320.0,june16,8.0,0.955190542421144,2.02023568630615,0.0631952830388691,0.0,0.7416867456220461,0.0,315.7939536557191,3.0897691712166064e-38,9.269307513649818e-39,9.26930751364982e-38,3.2442576297774364e-39,1.1277657474940612e-37,1.9525883729980542e-39,2.115008049792255
300.0,200.0,june16,11.5,343916.98144558293,1496215.0244142355,91966.20859018705,0.2398038603482347,0.04211124263238802,5.694532988295151,315.7939536557191,8.581484630986441e-44,2.574445389295932e-44,2.5744453892959322e-43,9.010558862535762e-45,3.1322418903100504e-43,7.892066055867832e-39,4.3505122024658665
300.0,205.0,june16,11.5,254306.56014433465,1098412.2498496647,67433.11914345146,0.18509306393767783,0.05002090522715777,3.700314160591911,315.7939536557191,1.160535649939767e-43,3.481606949819301e-44,3.4816069498193014e-43,1.2185624324367553e-44,4.235955122280149e-43,7.825853875261118e-39,4.319244651912432
300.0,210.0,june16,11.5,187038.91763264433,803400.266340124,49388.23711233546,0.13274508838779708,0.059454521795840286,2.232716442386465,315.7939536557191,1.577916685984617e-43,4.733750057953851e-44,4.733750057953851e-43,1.6568125202838477e-44,5.759395903843851e-43,7.793052343091883e-39,4.29536417612323
