edge,A,B,hellinger,KL_pq,KL_qp,N_rej_q_if_p,N_rej_p_if_q,N_simple,KL_pq_w1e3,KL_qp_w1e3,N_rej_B_if_A_w1e3,N_rej_A_if_B_w1e3,N_toy_rej_B_if_A,N_toy_rej_A_if_B,N3_max_gauss,N3_min_gauss
LZ,L10,O9q2,0.15542332238880632,0.11599209549245995,0.08022328531955673,26.149284419327444,78.05942976923143,45.86796388109051,0.12059796949334683,0.08195845823683655,24.723571175248104,77.66764392679393,40.0,60.0,78.05942976923143,26.149284419327444
LZ,L10,O6s,0.1839033058033379,0.12413351079835955,0.14672051969018104,41.42774809328802,25.098458277067877,33.228229920620564,0.12592447366219198,0.14897992805876212,40.863847887009385,24.689093796714932,40.0,30.0,41.42774809328802,25.098458277067877
LZ,L10,O6v,0.1908190435360972,0.13410564018782656,0.15760153868442256,38.06019425548917,23.45320667898842,30.85285742639018,0.13603695262426319,0.16001234884526416,37.539477878881804,23.07423210712153,40.0,30.0,38.06019425548917,23.45320667898842
LZ,L10,O10s,0.3645788692124702,0.5108098350191823,0.5798999896761876,8.756032919938642,5.946115815924838,8.251507226052224,0.5181282598569082,0.588617876361837,8.616657619085814,5.837492615054959,10.0,8.0,8.756032919938642,5.946115815924838
LZ,L10,O10v,0.36815426753162767,0.5239645693086271,0.5889017363116735,8.4486871881823,5.913320033475333,8.087224812672794,0.531523902761859,0.5977378879524506,8.31204054448658,5.806085662284238,10.0,8.0,8.4486871881823,5.913320033475333
LZ,L10,O9s,0.29743335033710755,0.29720299791649807,0.44366852780847876,19.76257887502469,5.8958276697312995,12.14785517798526,0.30118917096317627,0.4511869527291767,19.55060912511187,5.769037637864703,20.0,10.0,19.76257887502469,5.8958276697312995
LZ,L10,O9v,0.3114294547076585,0.31907294393980973,0.5015922100389465,18.77683399233527,4.76076257343557,10.966713959239184,0.3231951015163798,0.5099945954184034,18.58161769147487,4.654805070305928,15.0,10.0,18.77683399233527,4.76076257343557
LZ,L10,O14s,0.3146203955705282,0.33427099217026157,0.49703337531560654,17.361966825119676,5.241805448777892,10.826359576599959,0.3387801875658227,0.5053809978744701,17.16950166295732,5.130487114937435,15.0,10.0,17.361966825119676,5.241805448777892
LZ,L10,O14v,0.32879484593803426,0.3577365440824582,0.5595250422439835,16.526681360181847,4.256000287934526,9.81181391891082,0.3623894924485759,0.5688189230771231,16.348728345150434,4.162337888932678,15.0,8.0,16.526681360181847,4.256000287934526
LZ,L10,O15s,0.4555333411826142,0.8050080507189419,0.9632583678836583,5.5264433531403965,3.335659008019856,5.089730769819397,0.8180541057538241,0.9773241683447826,5.414666089603419,3.2884387408264746,6.0,5.0,5.5264433531403965,3.335659008019856
LZ,L10,O15v,0.23378757906816827,0.24013653752400596,0.200354745499085,15.17475515277114,25.97104222413702,20.431732356275056,0.24601967946834075,0.20381642683766163,14.715723122074378,25.718832074068306,20.0,25.0,25.97104222413702,15.17475515277114
LZ,L10,O5v,0.25096281759185474,0.2278215144968148,0.28232525695140265,22.754397574751785,11.905918605289882,17.641981687839706,0.23081840970914846,0.28659688528329913,22.47162386124777,11.68679497495132,20.0,20.0,22.754397574751785,11.905918605289882
LZ,L10,O13s,0.5231860806375304,1.0924452635444286,1.2595747569359523,3.4833450089949114,2.350793250413798,3.826498040676466,1.1133222820733164,1.2778651156866578,3.389327857273508,2.3307826670428877,4.0,4.0,3.4833450089949114,2.350793250413798
LZ,L10,O4s,0.6115283624624065,1.5798939737495195,1.796423240587945,2.3340674110349933,1.4903916909688462,2.665626310757081,1.6128155728874867,1.8329883851652171,2.3032984083502916,1.4555539789672283,3.0,3.0,2.3340674110349933,1.4903916909688462
LZ,L10,O1s,0.8199358393075908,4.2265401742695206,2.8111282194828475,0.2921040340686391,0.8088773448053358,1.2788326326926225,4.884447444842585,2.870631154175252,0.2303162033358113,0.8879416772549832,1.0,2.0,0.8088773448053358,0.2921040340686391
LZ,L10,inel300,0.3787414547406399,0.8639311000076909,0.3996850465985589,1.9373546742846282,18.67017078705769,7.12241611043963,1.151211075011432,0.41026790226632676,1.1753818620151202,21.94276249977734,4.0,15.0,18.67017078705769,1.9373546742846282
LZ,L10,inel350,0.4455520866858414,1.3527133416066253,0.5168590739941994,0.8257685137797628,14.25325497019637,4.81393495373522,1.8934752413086884,0.5301513289147728,0.42812506654438653,15.748427578984883,3.0,10.0,14.25325497019637,0.8257685137797628
LZ,L10,inel366,0.5102806540845006,1.8514982148776156,0.6812756620503654,0.48807815076222844,9.973393447118479,3.5534163084926327,2.589564384468558,0.6974947660482655,0.24410361505150896,10.812157335153445,2.0,7.0,9.973393447118479,0.48807815076222844
LZ,L10,inel380,0.5949215182240956,2.5619682931952164,0.9695605220800917,0.3230266704317187,6.108428433855242,2.548471347896502,3.573894511001132,0.9943196975363856,0.16680402166206537,6.556199503205257,1.0,6.0,6.108428433855242,0.3230266704317187
LZ,L10,inelO4_300_sun,0.29308994507748753,0.5880427127388721,0.19447319435546795,1.3522599199468484,41.80001953250962,11.501363637985396,0.8618597731808159,0.2017124998136264,0.557634208453688,44.310174630194595,5.0,30.0,41.80001953250962,1.3522599199468484
LZ,L10,inelO4_350_sun,0.5555477064916051,2.153201780520584,0.8542293243648375,0.48004422441460204,7.479741865417236,2.9925872567388,2.9779904041618033,0.8739642960012426,0.2559631621373856,8.251494270972458,2.0,6.0,7.479741865417236,0.48004422441460204
LZ,O9q2,O6s,0.2996762052992679,0.3090734306432264,0.4341372717658678,18.25731358619184,6.549367327020355,12.109621095103694,0.31373703316395657,0.4438043586469442,18.061385800319574,6.341825977326349,15.0,10.0,18.25731358619184,6.549367327020355
LZ,O9q2,O6v,0.3062706738119239,0.3245719441600771,0.4518590619198701,17.210585349997043,6.339365431956034,11.591499991015676,0.32943314243457095,0.4617688242527535,17.02504547897738,6.142061037261754,15.0,12.0,17.210585349997043,6.339365431956034
LZ,O9q2,O10s,0.5024620532848028,0.8960269589709886,1.3292872898609605,5.557345203804786,1.6798667421448066,4.044372611519489,0.9098840428037279,1.3651878777276614,5.50943449241701,1.6072748623007123,6.0,4.0,5.557345203804786,1.6798667421448066
LZ,O9q2,O10v,0.5056230475070117,0.9146992871949967,1.335971075305001,5.369698727778526,1.7020017390906197,3.998808599409017,0.9289157564639559,1.3715372391799383,5.320796212969067,1.6299455858224767,5.0,4.0,5.369698727778526,1.7020017390906197
LZ,O9q2,O9s,0.43655227256429124,0.5786967650429,1.2524528395807932,11.899595425951274,1.2233130851645286,4.914945221993222,0.5875195425831339,1.3081118120640245,11.967108512287293,1.13557315680812,10.0,4.0,11.899595425951274,1.2233130851645286
LZ,O9q2,O9v,0.44621003327354825,0.5933307199351581,1.3582018587903109,11.65564859650828,1.0059863276913623,4.611760058793295,0.6021032838277661,1.4196918711390947,11.713560022627473,0.9297977624248327,10.0,4.0,11.65564859650828,1.0059863276913623
LZ,O9q2,O14s,0.45332988052410533,0.6290712622786155,1.354425846728038,10.768056658625527,1.1263238709952297,4.537440442505737,0.6386581039511486,1.4140745734174254,10.828064528673048,1.0465070211300695,8.0,4.0,10.768056658625527,1.1263238709952297
LZ,O9q2,O14v,0.4632836391591762,0.6453063531894051,1.4671973749630864,10.52655424419448,0.9293858373091475,4.26034751089932,0.6548484086738501,1.533004472717086,10.577874710146714,0.8598666244868152,8.0,3.0,10.52655424419448,0.9293858373091475
LZ,O9q2,O15s,0.5501686849789537,1.0369349723717476,1.699057482752066,4.553846843861058,0.9886568672469351,3.289482755387466,1.0532121647707589,1.7353561392325743,4.467249434471714,0.9530136794462655,5.0,3.0,4.553846843861058,0.9886568672469351
