edge,model,p_100,p_150,p_200,p_248,p_300,p_350,p_400,P_lt55,P_55_200,P_200_270,P_gt270,LR_100_vs_L10,LR_150_vs_L10,LR_200_vs_L10,LR_248_vs_L10,LR_300_vs_L10,LR_350_vs_L10,LR_400_vs_L10
LZ,L10,0.0026971345273718124,0.004945261241213257,0.0065607901610098,0.004339769125050526,4.831086842031574e-05,3.037513083100912e-11,6.997471505524479e-22,0.07108063741557183,0.568185344854472,0.3427812985978855,0.01795271913207052,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LZ,O9q2,0.0016160512898758044,0.004424965109554288,0.007749083396896933,0.006277448052518779,7.834538893758344e-05,5.256846728383327e-11,1.284176009718201e-21,0.011760831237615555,0.4988386773856209,0.4612937441148213,0.02810674726194217,0.5991734092146099,0.8947889492019392,1.1811204453617579,1.4464935510701145,1.6216928301921718,1.7306416744769244,1.835200055769214
LZ,O6s,0.004697893935694231,0.004822629748066014,0.004099270072305819,0.0029976112609490795,4.7219256684345806e-05,3.829355488580604e-11,1.0362325105257946e-21,0.10145865705663425,0.6605530652416083,0.2225456237516685,0.015442653950089138,1.7418092749982452,0.9752022214468173,0.6248134708937074,0.690730583718363,0.9774044273749614,1.2606877349385184,1.4808670670651432
LZ,O10s,0.004737587688207766,0.003243415419285782,0.0020725701776893248,0.0012286781767440929,1.7252851990429047e-05,1.312936244092674e-11,3.361985157589122e-22,0.31363541597431627,0.5821704937571621,0.0983529903159494,0.0058410999525721026,1.7565262837757842,0.6558633125901456,0.3159025249742672,0.28312063184462327,0.3571215454113812,0.432240523142812,0.48045714154532054
LZ,O9s,0.002948204741547058,0.0036171040744959826,0.0036339740248753673,0.001961305797137797,1.9448631180443798e-05,1.1452880374890269e-11,2.4872870135496993e-22,0.3658723260321143,0.4591514478223241,0.16748601536844,0.007490210777121583,1.0930877609653002,0.7314283104705247,0.5538927378704712,0.45193781987537474,0.4025725849354685,0.37704793564867034,0.35545511140502606
LZ,O14s,0.002952308678082609,0.003513677857509272,0.0034351117605795007,0.001809559531344028,1.7664310430659584e-05,1.0309319971187641e-11,2.2211710031538105e-22,0.3868294895634792,0.4502699600595439,0.15606291906249697,0.006837631314479891,1.0946093523037754,0.7105141035273671,0.5235820192808587,0.41697138239420983,0.36563843723478523,0.3394000186712989,0.31742480143008855
LZ,O15s,0.0035685749932967436,0.0005315616433032571,0.0026722989634128816,0.002210281916934344,2.457089498210487e-05,1.3543864760716783e-11,2.245674157682993e-22,0.3269395385350169,0.5004364936334942,0.16333671063794414,0.00928725719354472,1.323098628222336,0.10748909256264998,0.4073135853809378,0.509308641368937,0.5085997371923103,0.44588663127304895,0.32092651694401914
LZ,O15v,0.0042055031304921294,0.007276874454879617,0.004457441153828771,0.0010292165490582948,4.652259934489556e-06,3.4198925785979757e-12,1.553427725158692e-22,0.10077084664537242,0.7626165940137545,0.13436216512169788,0.0022503942191752346,1.5592485609496562,1.4714843362035062,0.679406145363245,0.23715928645082293,0.09629841248171774,0.11258857114474397,0.22199843528226823
LZ,O5v,0.00437690194752083,0.003600719979430132,0.0032410779788643665,0.002705727467065285,4.3138742364407305e-05,3.361845662916416e-11,8.505720246332367e-22,0.21199212883085655,0.581679987611649,0.19214268638298287,0.01418519717451152,1.6227970474227125,0.7281152205715913,0.49400726121768207,0.6234726754119169,0.892940735179717,1.1067756980603365,1.2155419624956143
LZ,O13s,0.001112328483300781,0.0008039079760401413,0.00194317002995319,0.0014123782931578699,1.7471984930443972e-05,1.1417126394739538e-11,2.4545438274867296e-22,0.5468253262801974,0.3392356109964445,0.10767343207988986,0.006265630643468195,0.41241119863037573,0.162561275699747,0.2961792683907617,0.3254500994085547,0.36165743862092603,0.37587085495230577,0.3507758231739673
LZ,inel300,9.698268558997523e-05,0.010768620637626543,0.008652041767132572,0.0008102712932240157,4.051001697282363e-06,1.0500084521295721e-11,4.998290537090176e-22,1.4313327654412997e-12,0.8025066769681417,0.1965668947261856,0.0009264283042413332,0.03595767456378186,2.177563552736518,1.3187499607213315,0.18670838698466063,0.08385280227293185,0.34568030602773503,0.7142995199257393
LZ,inel350,2.3541833141614605e-11,0.0010551627206823661,0.016166871313118458,0.003009716325797694,2.6691834535531818e-05,7.050458210864009e-11,3.43146587445061e-21,1.1892329424818268e-29,0.47401210099732777,0.5208552059142908,0.005132693088381368,8.72846085454797e-09,0.21336844894841092,2.4641652783222296,0.6935199175515249,0.5525016504217369,2.321128508084118,4.903865448743135
LZ,inel366,2.1620666926528555e-17,1.7355267035560594e-05,0.014158807490163728,0.006340099423085904,0.00010587785284990554,2.8187467527213443e-10,1.3820077327763996e-20,8.475330164056889e-39,0.21307554805924722,0.7691328225039683,0.017791629436784622,8.016161858858607e-15,0.0035094742601106143,2.1580948548405465,1.4609301187219468,2.191594900111166,9.279784730486709,19.75010161435183
LZ,inel380,1.1746207921737312e-25,2.694016903274266e-09,0.004692721536570582,0.011098971441052886,0.0008081124612960446,2.1885052891439415e-09,1.1059410730886683e-19,8.398400312435796e-50,0.035377957959560356,0.849888544643622,0.11473349739681755,4.355069353245517e-23,5.447673584607884e-07,0.7152677377885082,2.557502742942268,16.7273428882561,72.04924651418318,158.0486711829454
LZ,inelO4_300_sun,0.00016502124013134385,0.005678473876847162,0.008457065408666161,0.005968658604662781,7.804353755303992e-05,5.599486647197647e-11,1.3792243965143381e-21,5.15243781683128e-15,0.5154073256042382,0.457395601295233,0.02719707310052364,0.061183911464789506,1.148265703239981,1.2890315344828065,1.3753401235585985,1.6154447250677235,1.8434444540667752,1.9710325300009373
LZ,inelO4_350_sun,7.219458711412339e-20,1.6725628192463593e-06,0.006172532832715776,0.014621264522528422,0.0002568606458361574,2.0573339597114917e-10,5.455262814827212e-21,2.8556769186715297e-42,0.0811710908592812,0.8355988443345541,0.08323006480616475,2.6767143567166618e-17,0.0003382152605624566,0.9408215597868984,3.3691341869155753,5.316829405785264,6.773086743748992,7.796048630595068
LZ,O4s,0.0019431721578122934,0.0010175834659007976,0.0005716749334489468,0.000265484961406743,2.9538820605531688e-06,1.966479085363006e-12,4.582950464900877e-23,0.735781143281232,0.23948438178307113,0.0236560912761433,0.0010783836595534913,0.7204580038897029,0.20576940555139336,0.08713507358402663,0.061174904414679446,0.061143220089809006,0.06473977334627586,0.06549437838057152
LZ,O1s,1.4970909950138887e-05,5.3506524802743735e-05,1.798588864089432e-05,1.1750996987568692e-06,3.96045166348465e-09,1.0111427760366597e-14,4.713703641500896e-25,0.9680151802051118,0.03163386012022592,0.0003499128828774208,1.0467917847760797e-06,0.005550672314712865,0.010819756973974663,0.002741421109271697,0.00027077470365274056,8.19784821301038e-05,0.000332885076828842,0.0006736295585883334
EXT,L10,0.0020315271145234758,0.0037248539878047414,0.004941697966481044,0.0034086835112273617,0.0014336900095467525,0.0013263017954617327,0.001729979721996748,0.0535391322760815,0.42796676460877897,0.2710946823082833,0.24739942080685629,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EXT,O9q2,0.0009612796676346253,0.0026321126170036698,0.004609406349550001,0.003906911000997704,0.0019892457941395156,0.0021892240178182166,0.0032424169928109274,0.0069957234736472,0.29672540917901746,0.2907014374855064,0.40557742986182893,0.47318082085264584,0.7066351125765648,0.9327576029160548,1.1461641974472856,1.3875006318614138,1.6506228260484785,1.8742514444438225
EXT,O6s,0.0035316815842086763,0.0036254527883854337,0.003081661308109754,0.002373044718798235,0.0018713327914964457,0.001589544075053444,0.0011983280239835762,0.07627240537785963,0.4965763662995828,0.17930206143647648,0.24784916688608122,1.7384368433778368,0.9733140682172376,0.6236037347916243,0.6961763129319608,1.3052562123161127,1.1984784160682427,0.6926832775822727
EXT,O10s,0.004308110330828182,0.0029493895194325137,0.001884685255123259,0.0011720529957995256,0.0007635417090856374,0.0005552546023279485,0.0003678961456125348,0.2852033702797167,0.5293948915512785,0.09480696273783089,0.09059477543117386,2.120626547403337,0.7918134587527145,0.38138414526886455,0.3438433025357363,0.5325709909403804,0.4186487602051724,0.2126592242294655
