rho,N_lo_O1O6,f_hi_O1,N_lo_O4O6_p,f_hi_O4_incoh_p,R_hi_ratio_p,N_lo_O4O6_m,f_hi_O4_incoh_m,R_hi_ratio_m
3.162277660168379e-07,0.42975605436023057,4.235143053401494e-07,0.4285824144765826,3.976596992357099e-11,1.000009814082825,0.4285302644668998,3.976675046111337e-11,0.9999901859967082
3.191552560062077e-07,0.4297783699921416,4.3139199597528267e-07,0.4285826558824795,4.050564407739226e-11,1.0000099049374234,0.428530023092195,4.0506446493798386e-11,0.9999900951435889
3.221098473401116e-07,0.42980110071172517,4.3941621762882994e-07,0.4285828995233461,4.125907664009741e-11,1.0000099966331184,0.42852977948310084,4.1259901548642944e-11,0.9999900034494006
3.250917909102262e-07,0.42982425423991977,4.4758969588640707e-07,0.428583145419875,4.2026523525853855e-11,1.000010089177697,0.4285295336189351,4.2027371557004894e-11,0.9999899109063572
3.2810133993086885e-07,0.4298478384412789,4.559152070314589e-07,0.42858339359295133,4.280824540895025e-11,1.0000101825790173,0.4285292854788241,4.280911721084517e-11,0.9999898175066003
3.311387499604976e-07,0.4298718613266424,4.6439557898826537e-07,0.42858364406365285,4.36045078123355e-11,1.000010276845011,0.42852903504170115,4.360540405128032e-11,0.999989723242199
3.3420427892341025e-07,0.42989633105585723,4.7303369228248887e-07,0.4285838968532527,4.4415581197804794e-11,1.0000103719836833,0.4285287822863042,4.4416502558782454e-11,0.9999896281051489
3.3729818713165007e-07,0.42992125594054925,4.818324810196043e-07,0.4285841519832215,4.524174105786468e-11,1.0000104680031123,0.42852852719117496,4.524268824505847e-11,0.9999895320873721
3.4042073730710847e-07,0.42994664444694675,4.907949338815117e-07,0.4285844094752275,4.6083268009304984e-11,1.000010564911453,0.4285282697346558,4.6084241746636915e-11,0.9999894351807149
3.4357219460383233e-07,0.429972505198755,4.999240951416871e-07,0.4285846693511412,4.694044788851171e-11,1.0000106627169336,0.42852800989488954,4.69414489201956e-11,0.9999893373769486
3.4675282663054365e-07,0.4299988469800873,5.092230656992318e-07,0.42858493163303435,4.781357184855373e-11,1.00001076142786,0.42852774764981627,4.7814600939664154e-11,0.999989238667768
3.4996290347336197e-07,0.43002567873844677,5.186950041321389e-07,0.4285851963431836,4.870293645807416e-11,1.0000108610526146,0.4285274829771716,4.8703994395131075e-11,0.9999891390447926
3.532026977187367e-07,0.4300530095877667,5.283431277701499e-07,0.4285854635040718,4.96088438020208e-11,1.0000109615996575,0.4285272158544856,4.9609931393590755e-11,0.9999890384995614
3.5647248447659825e-07,0.43008084881150593,5.381707137875874e-07,0.4285857331383901,5.053160158425212e-11,1.0000110630775265,0.42852694625908005,5.0532719661566166e-11,0.9999889370235381
3.597725414037166e-07,0.43010920586580165,5.481811003164908e-07,0.4285860052690397,5.147152323204951e-11,1.0000111654948391,0.42852667416806733,5.1472672649638536e-11,0.999988834608105
3.631031487272799e-07,0.4301380903826824,5.583776875804735e-07,0.4285862799191337,5.242892800257486e-11,1.000011268860293,0.42852639955834726,5.243010963892271e-11,0.9999887312445662
3.664645892686875e-07,0.43016751217333876,5.687639390496542e-07,0.4285865571119995,5.340414109130697e-11,1.0000113731826648,0.42852612240660626,5.3405355849521805e-11,0.9999886269241449
3.698571484675703e-07,0.43019748123145607,5.79343382617094e-07,0.42858683687118054,5.4397493742496874e-11,1.0000114784708138,0.42852584268931504,5.4398742551001425e-11,0.9999885216379827
3.73281114406027e-07,0.43022800773660935,5.901196117970961e-07,0.42858711922043785,5.540932336167587e-11,1.000011584733681,0.4285255603827268,5.541060717491708e-11,0.999988415377139
3.767367778330844e-07,0.43025910205772083,6.010962869457917e-07,0.42858740418375296,5.643997363025599e-11,1.0000116919802902,0.4285252754628744,5.6441293429434406e-11,0.9999883081325913
