model,edge,H_400_vs_1000,N3_gauss
O1s,LZ,0.00840274879990443,18990.442957901847
O1s,EXT,0.008699574056986707,18910.57884174271
O4s,LZ,0.028650559770839367,1550.47894087505
O4s,EXT,0.03461604062405111,1157.9133489567762
O6s,LZ,0.04160757947679196,668.5611036026621
O6s,EXT,0.06944604890236734,253.1503065018243
O9s,LZ,0.048413056741520306,499.44156458251695
O9s,EXT,0.06430626033713668,303.51967134280125
O10s,LZ,0.039593336454018295,766.530583040773
O10s,EXT,0.05738709858081202,393.4353550753642
O14s,LZ,0.052667962355092954,424.614737968267
O14s,EXT,0.06846793125079864,270.3190840697118
O15s,LZ,0.04380311920978699,639.7817715743154
O15s,EXT,0.0511400462974011,481.9215634868413
O5v,LZ,0.045053334164717775,578.7968189187623
O5v,EXT,0.0666213345302357,276.78907624374904
L10,LZ,0.040400757931159624,719.4051171871238
L10,EXT,0.06672268125741265,271.93578135307513
O9q2,LZ,0.03261553885616753,1109.227011515197
O9q2,EXT,0.06739121557999106,261.78707956397614
inel300_sun(400) vs inel300_sun(1000),LZ,0.11352366358505045,139.12382015341154
inel300_sun(400) vs inel300_sun(1000),EXT,0.15682285297682952,77.50058373020194
