mass,model,N_lo,R_100_200_over_hi,R_270_423_over_hi,f_above_LZedge_ext,peak_true_keV,obs_median_ext,obs_16_ext,obs_84_ext,acc_LZ_per_tyr_unit,acc_EXT_per_tyr_unit,R_hi_unit,R_lo_unit,note
1000,O1s,2833.1917282660297,11.867195684422185,0.4677375065976305,0.00014221788008673877,21.25,16.5,7.5,33.5,581461262.7730459,581544602.6178358,175171.31208561762,496293912.43047905,
1000,O4s,27.948397299546098,4.555230353051989,0.5750033483964017,0.013217670392575674,21.25,24.5,8.5,92.5,711.2406456897688,721.1594998807017,16.447903774121865,459.69254942386164,
1000,O6s,0.4285563386332786,2.058157690628083,1.4234391411910359,0.24090905982533536,131.25,177.5,82.5,315.5,0.18603802490986107,0.24747047212309708,0.04136135088928594,0.017725669098038684,
1000,O9s,2.087320690636547,2.082438389701445,0.5920109749987271,0.08941845705701193,21.25,125.5,18.5,232.5,2.455993652002154,2.714149122187789,0.406955106091551,0.8494458131050856,
1000,O10s,3.085463863436553,3.2915041347521146,0.9846657970155234,0.08747522657586898,36.25,96.5,35.5,214.5,26.3976798193389,29.029275785819777,2.5672766417355444,7.921239305519772,
1000,O14s,2.3701471483293637,2.171998673599068,0.5593463025765809,0.07948366563674084,21.25,116.5,17.5,226.5,1.297990151077906e-06,1.417877844751816e-06,2.001678484417547e-07,4.7442725517144915e-07,
1000,O15s,1.8747413705291305,0.7552495689536716,0.31333298824312616,0.04923092518204155,53.75,73.5,40.5,221.5,2.2453392116993864,2.370299184693316,0.3707316262868749,0.6950259171635492,
1000,O5v,1.0464959871213932,1.851866520863236,1.1240165998580176,0.17871306982291787,51.25,146.5,51.5,281.5,0.3410815393963806,0.4174510349743805,0.06585863417772349,0.06892079638428347,
1000,O6v,0.44137694597628685,2.1402815204038332,1.4978555807229592,0.24421040219450632,123.75,176.5,81.5,318.5,0.17636295624644152,0.2357303841742826,0.037939573022959375,0.01674565287251813,
1000,O9v,2.2169532596583172,2.017796998860586,0.9727907536451675,0.13905322363012854,21.25,134.5,17.5,259.5,1.9071740072807797,2.2335429033823284,0.3161925229660989,0.7009840444692803,
1000,O10v,3.158893546036103,3.4344906239343658,1.032103936801558,0.08831852113093755,38.75,96.5,35.5,213.5,25.099443646829258,27.629938668430317,2.3534999617800922,7.4344558398633485,
1000,O14v,2.5195704531161542,2.1047526005819357,0.9166707123215272,0.12387173765391703,21.25,123.5,16.5,248.5,1.0095976704085651e-06,1.1607037491807872e-06,1.5550483586509524e-07,3.9180538976237117e-07,
1000,O15v,0.759327893570792,4.8338209109809815,0.7714537333162454,0.08910950571721346,151.25,149.5,80.5,217.5,0.23024639745473888,0.25419718532939983,0.029200803500772348,0.022172984612816075,
1000,O13s,4.915382030037134,0.833307047296272,0.5482510731282035,0.05595433085471259,36.25,53.5,26.5,202.5,0.025541105667130155,0.02711900439006425,0.0027590380039331265,0.013561725824722414,
1000,L10,0.20111494745142328,1.3959110862934825,0.8887969263618644,0.23369180016566168,196.25,203.5,120.5,325.5,1.1751153041333902,1.5601288497518448,0.4024608633188283,0.0809408953776206,
1000,O9q2,0.024103586804237645,0.9597176885534404,1.351226876836822,0.3866207583030678,211.25,243.5,164.5,379.5,7.317326460248387e-13,1.230149275249356e-12,3.4015104411944097e-13,8.198860218485014e-15,
1000,inel300_sun,0.0,4.435109685812899,0.8699251462721553,0.13530188415141178,168.75,179.5,148.5,234.5,4426.085903908521,5129.590730960236,795.8275818655718,0.0,
1000,inel350_sun,0.0,0.5271150468631756,2.4363502944895417,0.6027235230335026,206.25,311.5,202.5,373.5,54.170034672457746,137.03406505141263,33.58955871906956,0.0,
1000,inel366_sun,0.0,0.031898887496591026,14.41683889271673,0.9309889540982111,341.25,341.5,299.5,383.5,1.6599622670202143,23.26392227437048,1.4861580168979704,0.0,
1000,inel380_sun,0.0,0.0,429.42760201122053,0.9969365152900564,341.25,342.5,308.5,380.5,0.015401765565382542,2.393343414964683,0.00551531749890511,0.0,
1000,inelO4_300_sun,0.0,1.0984356906468715,0.888367696212354,0.2899411873508538,196.25,224.5,164.5,322.5,0.17071798793028045,0.24321499975259347,0.07816882556880834,0.0,
1000,inelO4_350_sun,0.0,0.06529201592416435,1.8269721459693347,0.6176658083231061,251.25,292.5,232.5,369.5,0.004157424510070578,0.011000194711762718,0.0036190665894355344,0.0,
400,O1s,3969.399901430934,13.385993577195238,0.35554260111988073,7.718801284953549e-05,21.25,16.5,7.5,32.5,1413369474.504874,1413479076.4913154,303924.2989862166,1206397082.4383538,
400,O4s,40.02037074343208,5.374326638340173,0.46605586854463454,0.0077958582307072755,21.25,23.5,8.5,79.5,1665.5551512236284,1679.172730660762,27.863078937219335,1115.0907491210314,
400,O6s,0.6047252916112812,2.410404623005026,1.1409863322391804,0.17684717682937628,108.75,155.5,71.5,282.5,0.3701989640902127,0.45277065667358823,0.06956190483091339,0.04206584318391029,
400,O9s,2.9913459558848428,2.4078841787141916,0.4684690968459894,0.058654302759954084,21.25,100.5,16.5,212.5,5.183749218818828,5.528531640018543,0.6888305387412134,2.060530446353506,
400,O10s,4.373512789385098,3.880190762653948,0.795875073570696,0.05740735115761077,33.75,83.5,31.5,186.5,56.63458690711915,60.21781679500775,4.330730962226833,18.940507250685084,
400,O14s,3.516615047993448,2.5427318218517687,0.4345959775761788,0.049693975694481037,21.25,88.5,15.5,205.5,2.7066303721654367e-06,2.8576305385636187e-06,3.253795701871143e-07,1.1442346928296464e-06,
400,O15s,2.639090491407431,0.870537777592164,0.27260035536052796,0.03412143370593406,53.75,68.5,38.5,203.5,4.816317293409213,4.999639932193824,0.6238082757309148,1.6462864889427222,
400,O5v,1.4868496104214728,2.178130691767746,0.9240766297000436,0.12747041293202346,43.75,122.5,44.5,253.5,0.7005326171740103,0.8059441794465912,0.11054345383365671,0.16436149126721655,
400,L10,0.28671232304728494,1.6039006840863934,0.6953459744073068,0.17472064319234146,186.25,189.5,104.5,283.5,2.2341036628772426,2.7398622496893505,0.6793039194714715,0.19476480480679137,
400,O9q2,0.0342036038171322,1.0965753608875193,1.045489447874248,0.3108309331076124,206.25,225.5,152.5,359.5,1.3306495003480992e-12,1.9748647602130135e-12,5.72488513826522e-13,1.9581170316781168e-14,
400,inel300_sun,0.0,3.530546587238507,0.3098017607132673,0.06234882480860334,173.75,182.5,155.5,216.5,1084.3818696550159,1156.3626979538947,232.65109508774358,0.0,
400,inel340_sun,,,,,,,,,,,,,empty spectrum (kinematically forbidden in the Sun frame)
1000,inel300,0.0,4.523336505655075,0.8701615152148621,0.1334976751974112,168.75,179.5,147.5,233.5,4797.933172397305,5549.0149658580185,849.1903156766444,0.0,
1000,inel350,0.0,0.8921508789510666,2.087380685573062,0.5129432034485967,201.25,284.5,190.5,368.5,94.22126655640201,194.5576283846007,47.40591284763651,0.0,
1000,inel366,0.0,0.20939721847121207,5.437700240387614,0.8113824371272513,341.25,335.5,239.5,382.5,7.666345495471897,40.63597552416114,5.990676855647918,0.0,
1000,inel380,0.0,0.005504281424702512,39.95785948059772,0.97453098685918,346.25,346.5,307.5,386.5,0.22745722290665923,8.105832975841516,0.19527412369720623,0.0,
1000,L10_P050annual,0.19933468716171585,1.3921753602831235,0.8922341176762562,0.23479950432840382,196.25,204.5,120.5,326.5,1.1776332339874795,1.5659092393375258,0.4042541547365896,0.08058187546824196,
