m_GeV,scaling,sigma_Xe_cm2,N_rock_scatters,frac_energy_loss,transparent_30pct
1000.0,coherent,7.750606429655013e-25,17.155613202553205,1.153620294176334,False
1000.0,geometric,7.750606429655013e-25,8779.973884751003,331.92083184562114,False
10000.0,coherent,7.750606429655013e-25,14.881772356930544,0.10843254574249568,True
10000.0,geometric,7.750606429655013e-25,8779.973884751003,34.54420321984061,False
100000.0,coherent,7.750606429655013e-25,14.656067831547391,0.010767655392574911,True
100000.0,geometric,7.750606429655013e-25,8779.973884751003,3.4684736120106003,False
1000000.0,coherent,7.750606429655013e-25,14.633517278535868,0.001076002947295714,True
1000000.0,geometric,7.750606429655013e-25,8779.973884751003,0.346988448429144,False
100000000.0,coherent,7.750606429655013e-25,14.631036942275333,1.0759189885856486e-05,True
100000000.0,geometric,7.750606429655013e-25,8779.973884751003,0.0034700397420310944,True
10000000000.0,coherent,7.750606429655013e-25,14.631012139137862,1.0759181489248536e-07,True
10000000000.0,geometric,7.750606429655013e-25,8779.973884751003,3.470041294670361e-05,True
1000000000000.0,coherent,7.750606429655013e-25,14.631011891106517,1.0759181405282385e-09,True
1000000000000.0,geometric,7.750606429655013e-25,8779.973884751003,3.4700413101967597e-07,True
100000000000000.0,coherent,7.750606429655013e-25,14.631011888626205,1.0759181404442725e-11,True
100000000000000.0,geometric,7.750606429655013e-25,8779.973884751003,3.470041310352023e-09,True
1e+16,coherent,7.750606429655013e-25,14.631011888601398,1.0759181404434325e-13,True
1e+16,geometric,7.750606429655013e-25,8779.973884751003,3.4700413103535754e-11,True
