m_GeV,eps_one_event,KE_700_GeV,dE_nuclear_GeV,dE_electronic_est_GeV,frac_loss,rL_Earth_km,rL_helio_AU,eps_rL_1AU,eps_stopped_in_overburden
100,3.067473066087452e-08,0.0002725992637331365,2.58631390105592e-11,4.85605887617006e-11,2.730151459437454e-07,846337717.2674236,33944.02609361324,0.0010412238579672831,5.870666201544002e-05
1000,1.700157168719402e-08,0.002725992637331365,8.100450009119606e-12,1.491765535655456e-11,8.443935266167097e-09,15269871517.156357,612428.0020249876,0.010412238579672831,0.00018501912527677327
10000,4.899720290340426e-08,0.027259926373313655,6.74226604671087e-11,1.2389820196643365e-10,7.01839248622614e-09,52985027689.231316,2125067.955450454,0.10412238579672832,0.0005848607307197914
