sigma_N_cm2,lambda_cm,P0,P1,Pmulti
1e-27,75232.55307718465,0.998711914714249,0.001287042388170484,1.0428975804888108e-06
1.1006941712522126e-27,68350.09673177046,0.9985823276149696,0.0014164090367078097,1.2633483226231774e-06
1.2115276586285851e-27,62097.26417830672,0.9984397162811464,0.001558753338671771,1.530380181867996e-06
1.333521432163324e-27,56416.455905877396,0.9982827744102564,0.001715371760156784,1.8538295868477956e-06
1.4677992676220735e-27,51255.34174646788,0.9981100652526773,0.0018876891392656406,2.2456080570451478e-06
1.6155980984398696e-27,46566.37882269995,0.9979200087063282,0.0020772711543881562,2.7201392836006047e-06
1.7782794100389228e-27,42306.373594877296,0.9977108671602336,0.002285837951723891,3.294888042503722e-06
1.9573417814876655e-27,38436.08397303235,0.9974807299711972,0.0025152790286361256,3.99100016668574e-06
2.1544346900318777e-27,34919.8578287242,0.9972274964482492,0.0027676694749614933,4.8340767893556916e-06
2.3713737056616552e-27,31725.30457665399,0.9969488572094726,0.003045287679631174,5.855110896253908e-06
2.610157215682544e-27,28822.99680079297,0.9966422737652798,0.003350634614681155,7.09162003903821e-06
2.8729848333536568e-27,26186.199176472895,0.9963049561712708,0.0036864548126809994,8.589016048205986e-06
3.1622776601683794e-27,23790.62219134129,0.9959338385825144,0.004055759156463509,1.0402261022105473e-05
3.48070058842842e-27,21614.198396522548,0.9955255525296184,0.004461849601384819,1.2597868996796005e-05
3.831186849557277e-27,19636.879126863347,0.9950763977254243,0.004908345949679633,1.5256324896033638e-05
4.216965034285823e-27,17840.44981770305,0.9945823101998365,0.005399214793172223,1.8475006991327224e-05
4.641588833612792e-27,16208.362216915111,0.9940388275494225,0.005938800733896237,2.237171668124146e-05
5.108969774506914e-27,14725.581946596196,0.9934410510784073,0.006531859981130474,2.708894046222609e-05
5.623413251903491e-27,13378.450010181787,0.9927836045989743,0.007183596406833834,3.27989941918648e-05
6.189658188912622e-27,12154.55696922761,0.9920605896519847,0.007899700118088965,3.971022992629858e-05
6.812920690579595e-27,11042.628630803041,0.9912655369050518,0.00868638857328703,4.8074521661155625e-05
7.498942093324558e-27,10032.422192479056,0.9903913534842861,0.009550450226418846,5.8196289295068745e-05
8.254041852680207e-27,9114.631888225229,0.9894302660000613,0.01049929062861931,7.044337131934669e-05
9.085175756516844e-27,8280.803266047986,0.9883737590372126,0.011540980845239496,8.526011754791951e-05
1e-26,7523.255307718465,0.9872125088978125,0.012684307956877883,0.00010318314530958182
1.1006941712522126e-26,6835.009673177045,0.9859363124121069,0.013938827300111584,0.00012486028778153045
1.2115276586285851e-26,6209.726417830672,0.984534010672686,0.015314915963608596,0.00015107336370542672
1.333521432163324e-26,5641.64559058774,0.982993407601441,0.016823826882634223,0.00018276551592472795
1.4677992676220735e-26,5125.534174646788,0.9813011833316894,0.01847774266369867,0.00022107400461196525
1.6155980984398695e-26,4656.637882269995,0.9794428024830635,0.020289828014426792,0.0002673695025097282
1.778279410038923e-26,4230.637359487729,0.9774024175290964,0.022274279344027936,0.00032330312687566323
1.9573417814876658e-26,3843.6083973032346,0.9751627676123444,0.024446369728592154,0.0003908626590634068
2.1544346900318778e-26,3491.9857828724193,0.9727050733557268,0.02682248699372205,0.00047243965055119436
2.3713737056616553e-26,3172.5304576653994,0.9700089284587436,0.029420162145079847,0.0005709093961765062
2.610157215682544e-26,2882.299680079297,0.9670521891615353,0.03225808476546933,0.0006897260729953197
2.8729848333536566e-26,2618.6199176472896,0.9638108630174538,0.03535610128555936,0.0008330356969868599
3.162277660168379e-26,2379.062219134129,0.960258998845916,0.03873519121578498,0.0010058099382989835
3.4807005884284204e-26,2161.4198396522547,0.9563685802524969,0.042417415492959624,0.0012140042545434396
3.831186849557277e-26,1963.6879126863348,0.9521094257136108,0.046425830043880977,0.0014647442425082327
4.216965034285822e-26,1784.0449817703052,0.9474490989399591,0.050784356502434076,0.0017665445576068237
4.641588833612792e-26,1620.836221691511,0.9423528340666676,0.055517600747361194,0.0021295651859712175
5.108969774506914e-26,1472.5581946596196,0.936783481177686,0.06065060857761229,0.0025659102447017565
5.623413251903491e-26,1337.8450010181787,0.9307014787636438,0.06620854644966885,0.003089974786687308
6.189658188912623e-26,1215.4556969227608,0.9240648609372931,0.0722162938267275,0.0037188452359793733
6.812920690579594e-26,1104.262863080304,0.9168293085831859,0.0786979324216493,0.004472758995164805
7.498942093324559e-26,1003.2422192479057,0.9089482550825095,0.08567611657877436,0.005375628338716104
8.254041852680207e-26,911.4631888225229,0.9003730588000608,0.09317130840401878,0.006455632795920416
9.085175756516843e-26,828.0803266047986,0.8910532560993653,0.10120086124315021,0.007745882657484535
1e-25,752.3255307718464,0.8809369101905875,0.10977793601489029,0.009285153794522202
1.1006941712522126e-25,683.5009673177045,0.8699710725092858,0.11891023709288462,0.011118690397829534
1.211527658628585e-25,620.9726417830673,0.8581023744287218,0.1285985583433399,0.01329906722793825
1.333521432163324e-25,564.1645590587741,0.8452777677342539,0.1388351360889099,0.015887096176836202
1.4677992676220737e-25,512.5534174646788,0.8314454321911614,0.1496018147821334,0.018952753026705182
1.6155980984398696e-25,465.6637882269995,0.8165558674129206,0.1608680436797089,0.02257608890737048
1.7782794100389227e-25,423.06373594877294,0.8005631837188871,0.17258873946145126,0.026848076819661615
1.9573417814876657e-25,384.36083973032345,0.7834266023321447,0.18470207111210796,0.03187132655574737
2.154434690031878e-25,349.1985782872419,0.7651121686361433,0.19712724987053554,0.03776058149332118
2.371373705661655e-25,317.25304576653997,0.74559467278682,0.20976243868916092,0.04464288852401907
2.610157215682544e-25,288.22996800792976,0.7248597592905515,0.2224829319088139,0.05265730880063463
2.872984833353657e-25,261.861991764729,0.7029061908217676,0.23513979536758292,0.06195401381064944
3.1622776601683796e-25,237.90622191341288,0.6797482113666212,0.247559197388442,0.07269259124493677
3.48070058842842e-25,216.14198396522548,0.6554179298530619,0.25954269798171276,0.08503937216522534
3.8311868495572774e-25,196.3687912686335,0.6299676183486695,0.2708687912912657,0.09916359036006478
4.216965034285823e-25,178.4044981770305,0.6034717899193669,0.2812960069444107,0.1152322031362224
4.641588833612792e-25,162.0836221691511,0.5760288924368312,0.2905678597464049,0.13340324781676388
5.108969774506914e-25,147.25581946596196,0.5477624291057606,0.29841988288642096,0.15381768800781848
5.623413251903491e-25,133.78450010181786,0.5188212984601055,0.3045888760209943,0.17658982551890018
6.189658188912623e-25,121.54556969227608,0.4893791412931029,0.30882433652844843,0.20179652217844868
6.812920690579595e-25,110.4262863080304,0.4596324954202912,0.3109018148295652,0.22946568975014353
7.498942093324559e-25,100.32422192479056,0.42979759741639745,0.31063764646489694,0.2595647561187056
8.254041852680207e-25,91.14631888225227,0.40010573867919796,0.30790418112126117,0.29199008019954087
9.085175756516844e-25,82.80803266047984,0.3707971841432382,0.3026442856215636,0.32655853023519815
1e-24,75.23255307718466,0.34211379433033173,0.2948835970919566,0.36300260857771166
1.1006941712522126e-24,68.35009673177046,0.31429064783001026,0.28473881520993294,0.4009705369600568
1.2115276586285851e-24,62.09726417830672,0.28754712697603924,0.2724203304316288,0.440032542592332
1.333521432163324e-24,56.416455905877406,0.26207808185475107,0.25822776588033225,0.47969415226491674
1.4677992676220736e-24,51.25534174646788,0.23804579793687433,0.24253761447144473,0.519416587591681
1.6155980984398697e-24,46.566378822699946,0.21557352923533038,0.22578307527542799,0.5586433954892417
1.778279410038923e-24,42.30637359487729,0.19474129475713103,0.2084273489706203,0.5968313562722487
1.9573417814876658e-24,38.436083973032346,0.17558445655186347,0.19093286335275902,0.6334826800953774
2.1544346900318778e-24,34.91985782872419,0.1580953094322802,0.17372990836877936,0.6681747821989404
2.371373705661655e-24,31.725304576653993,0.1422275488000112,0.157188676903451,0.7005837742965377
2.610157215682544e-24,28.822996800792975,0.12790310334962124,0.14159849443750208,0.7304984022128768
2.8729848333536567e-24,26.186199176472897,0.11502049962555062,0.12715698815791937,0.7578225122165301
3.1622776601683795e-24,23.79062219134129,0.10346373954643834,0.11397022994257808,0.7825660305109835
3.48070058842842e-24,21.61419839652255,0.09311066948537568,0.10206286116218308,0.8048264693524412
3.8311868495572774e-24,19.63687912686335,0.08384000541016735,0.0913953982742333,0.8247645963155994
4.216965034285822e-24,17.840449817703053,0.07553650656696786,0.08188483887122107,0.842578654561811
4.6415888336127916e-24,16.208362216915113,0.06809417353589524,0.07342463575612596,0.8584811907079788
5.108969774506914e-24,14.725581946596195,0.061417686114894676,0.06590103033774704,0.8726812835473582
5.623413251903491e-24,13.378450010181785,0.055422515242436354,0.05920424642193137,0.8853732383356323
6.189658188912623e-24,12.154556969227608,0.05003421128338733,0.053234581458864595,0.896731207257748
6.812920690579594e-24,11.04262863080304,0.04518731069887681,0.04790451139390746,0.9069081779072157
7.498942093324558e-24,10.032422192479057,0.04082417103597428,0.043138334238542866,0.9160374947254829
8.254041852680207e-24,9.114631888225228,0.036893902250972194,0.03887071021300272,0.9242353875360251
9.085175756516843e-24,8.280803266047986,0.03335145320499429,0.035044993429009186,0.9316035533659965
1e-23,7.523255307718465,0.030156849805911597,0.03161177672180092,0.9382313734722875
1.1006941712522035e-23,6.835009673177102,0.0272745577113066,0.028527749978707048,0.9441976923099864
1.2115276586285852e-23,6.209726417830671,0.024672941159464244,0.02575482508610873,0.949572233754427
1.333521432163324e-23,5.641645590587739,0.02232379613702501,0.023259448968304078,0.9544167548946708
1.4677992676220615e-23,5.12553417464683,0.020201943034936398,0.021012041972433386,0.9587860149926303
1.6155980984398697e-23,4.656637882269995,0.0182848688751064,0.018986520808969714,0.9627286103159239
1.7782794100389228e-23,4.230637359487729,0.016552412330471063,0.017159880038163863,0.9662877076313651
