sigma_N_cm2,lambda_cm,P0,P1,Pmulti
1.9573417814876495e-23,3.843608397303267,0.014986486812747982,0.015511814655293785,0.9695016985319582
2.154434690031878e-23,3.4919857828724195,0.013570838268397651,0.014024372629469156,0.9724047891021331
2.3713737056616552e-23,3.172530457665399,0.01229083509220683,0.012681632580968367,0.9750275323268248
2.6101572156825227e-23,2.8822996800793206,0.011133287719278696,0.011469408175677043,0.9773973041050443
2.8729848333536565e-23,2.61861991764729,0.010086295046122727,0.010374985813863476,0.9795387191400139
3.1622776601683793e-23,2.379062219134129,0.009139114084076696,0.00938690395040275,0.9814739819655205
3.4807005884283917e-23,2.1614198396522726,0.008282048534041677,0.008494779887815761,0.9832231715781425
3.831186849557277e-23,1.9636879126863351,0.0075063516810975105,0.00768918381464669,0.9848044645042558
4.216965034285822e-23,1.7840449817703055,0.006804139381529788,0.006961552567968267,0.9862343080505019
4.6415888336127536e-23,1.6208362216915244,0.0061683099270842335,0.0063041300560441734,0.9875275600168716
5.1089697745069135e-23,1.4725581946596198,0.0055924689386042245,0.005709919645283539,0.9886976114161122
5.623413251903491e-23,1.3378450010181784,0.005070858754804538,0.005172636465205001,0.9897565047799904
6.189658188912572e-23,1.2154556969227708,0.0045982926869618385,0.0046866531056174434,0.9907150542074207
6.812920690579594e-23,1.104262863080304,0.004170094840803598,0.004246938229076763,0.9915829669301197
7.498942093324558e-23,1.0032422192479058,0.0037820460211306067,0.003848992041667026,0.9923689619372024
8.25404185268014e-23,0.9114631888225302,0.003430335754355278,0.0034887841987500186,0.9930808800468948
9.085175756516843e-23,0.8280803266047985,0.0031115199619150234,0.0031626986538916945,0.9937257813841932
1e-22,0.7523255307718465,0.0028224835078368093,0.0028674872430106144,0.9943100292491526
1.1006941712522037e-22,0.6835009673177102,0.002560406815185675,0.0026002308960909634,0.9948393622887234
1.2115276586285851e-22,0.6209726417830672,0.002322735951942837,0.0023583055485807357,0.9953189584994764
1.333521432163324e-22,0.5641645590587739,0.0021071558882294603,0.002139349683667647,0.9957534944281029
1.4677992676220616e-22,0.512553417464683,0.0019115668668069031,0.0019412317587022237,0.9961472013744909
1.6155980984398696e-22,0.46566378822699955,0.0017340639031651441,0.0017620177358963786,0.9965039183609385
1.7782794100389228e-22,0.4230637359487729,0.0015729193253892675,0.0015999405870913456,0.9968271400875194
1.9573417814876497e-22,0.38436083973032664,0.0014265680432355482,0.0014533743128080667,0.9971200576439563
2.154434690031878e-22,0.34919857828724193,0.001293595005789759,0.001320814557510342,0.9973855904366999
2.3713737056616554e-22,0.3172530457665399,0.0011727241641539842,0.001200866624422798,0.9976264092114232
2.6101572156825224e-22,0.2882299680079321,0.00106280825284211,0.0010922401504532967,0.9978449515967046
2.872984833353657e-22,0.26186199176472896,0.0009628188383268788,0.0009937484618631291,0.99804343269981
3.1622776601683793e-22,0.23790622191341287,0.0008718363059128479,0.0009043100785568333,0.9982238536155303
3.480700588428392e-22,0.21614198396522724,0.0007890396942384352,0.0008229500534000395,0.9983880102523616
3.831186849557277e-22,0.1963687912686335,0.0007136964746978262,0.0007487996024093191,0.9985375039228928
4.2169650342858227e-22,0.17840449817703052,0.0006451524765669375,0.0006810934027029618,0.9986737541207301
4.641588833612754e-22,0.16208362216915242,0.0005828221819684814,0.0006191646357937718,0.9987980131822377
5.108969774506914e-22,0.14725581946596197,0.0005261795893510897,0.0005624381637112212,0.9989113822469377
5.623413251903491e-22,0.13378450010181786,0.0004747498055930032,0.0005104222173909556,0.999014827977016
6.189658188912572e-22,0.12154556969227706,0.0004281014958868961,0.00046269886494770785,0.9991091996391654
6.812920690579594e-22,0.1104262863080304,0.00038584029713894055,0.00041891350534082635,0.9991952461975202
7.498942093324558e-22,0.10032422192479057,0.0003476032719824987,0.00037876376049613927,0.9992736329675214
8.254041852680139e-22,0.09114631888225302,0.00031305443526735233,0.00034198833593893573,0.9993449572287938
9.085175756516843e-22,0.08280803266047986,0.0002818813230740141,0.0003083565455852826,0.9994097621313407
1e-21,0.07523255307718466,0.0002537925082365815,0.00027765915038916356,0.9994685483413743
1.1006941712522036e-21,0.06835009673177102,0.00022851591328241347,0.0002497009452747211,0.9995217831414428
1.2115276586285852e-21,0.06209726417830672,0.00020579774375594257,0.0002242952412716579,0.9995699070149724
1.333521432163324e-21,0.056416455905877405,0.00018540186286932032,0.0002012601558704739,0.9996133379812602
1.4677992676220616e-21,0.05125534174646831,0.00016710944292802973,0.00018041651901836458,0.9996524740380536
1.6155980984398695e-21,0.04656637882269995,0.00015071874776659996,0.00016158720868006618,0.9996876940435533
1.778279410038923e-21,0.04230637359487729,0.0001360449163597056,0.00014459776741579112,0.9997193573162245
1.9573417814876498e-21,0.03843608397303266,0.0001229196319390727,0.00012927814129211302,0.9997478022267687
2.154434690031878e-21,0.03491985782872419,0.00011119057954841235,0.00011546530193525259,0.9997733441185163
2.3713737056616552e-21,0.03172530457665399,0.00010072062340776902,0.00010300639680963665,0.9997962729797826
2.6101572156825227e-21,0.028822996800793206,9.138667453853027e-05,9.176197441066276e-05,0.9998168513510508
2.872984833353657e-21,0.026186199176472896,8.30782654372332e-05,8.160878063079398e-05,0.999835312953932
3.1622776601683792e-21,0.02379062219134129,7.569589720916463e-05,7.244162533147508e-05,0.9998518624774594
3.480700588428391e-21,0.021614198396522726,6.914927020164433e-05,6.417388037012322e-05,0.9998666768494282
3.8311868495572775e-21,0.019636879126863346,6.335554502840922e-05,5.673631734074641e-05,0.9998799081376308
4.2169650342858226e-21,0.017840449817703052,5.8237797439006814e-05,5.007425023362521e-05,0.9998916879523274
4.641588833612754e-21,0.016208362216915243,5.372381762284875e-05,4.414329572223032e-05,0.999902132886655
5.108969774506914e-21,0.014725581946596197,4.974535730787555e-05,3.890441249168005e-05,0.9999113502302005
5.6234132519034906e-21,0.013378450010181788,4.6237852560772134e-05,3.431909832327882e-05,0.999919443049116
6.189658188912572e-21,0.012154556969227707,4.314056474608771e-05,3.0345603283446617e-05,0.9999265138319705
6.812920690579595e-21,0.011042628630803039,4.039701099652426e-05,2.6936746201296023e-05,0.9999326662428022
7.498942093324558e-21,0.010032422192479056,3.79555189730185e-05,2.4039496652765634e-05,0.9999380049843742
8.25404185268014e-21,0.009114631888225302,3.576974589964761e-05,2.159606656839421e-05,0.9999426341875319
9.085175756516843e-21,0.008280803266047986,3.379904085875836e-05,1.9545987448299767e-05,0.9999466549716929
1e-20,0.007523255307718465,3.2008584071906626e-05,1.7828590448734843e-05,0.9999501628254793
1.1006941712522036e-20,0.006835009673177101,3.036928843136602e-05,1.6385418978522676e-05,0.9999532452925901
1.2115276586285852e-20,0.006209726417830672,2.8857484897435337e-05,1.516228992106151e-05,0.9999559802251815
1.333521432163324e-20,0.005641645590587741,2.745443219774869e-05,1.411088596156212e-05,0.9999584346818406
1.4677992676220617e-20,0.005125534174646829,2.6145697201871968e-05,1.3189860713223412e-05,0.999960664442085
1.6155980984398697e-20,0.004656637882269995,2.492045191907003e-05,1.2365475925031433e-05,0.999962714072156
1.7782794100389228e-20,0.004230637359487728,2.3770730747511575e-05,1.1611797500848769e-05,0.9999646174717516
1.9573417814876496e-20,0.0038436083973032668,2.2690688910249977e-05,1.091048015263114e-05,0.9999663988309371
2.154434690031878e-20,0.0034919857828724188,2.1675899877067578e-05,1.0250176599568394e-05,0.9999680739235233
2.3713737056616554e-20,0.003172530457665399,2.0722725801491868e-05,9.625613975607136e-06,0.9999696516602229
2.6101572156825227e-20,0.0028822996800793206,1.9827790525478108e-05,9.036388986909763e-06,0.9999711358204877
2.8729848333536567e-20,0.0026186199176472897,1.8987578995835746e-05,8.485551314096994e-06,0.9999725268696901
3.162277660168379e-20,0.0023790622191341287,1.8198178925698474e-05,7.97807425738231e-06,0.999973823746817
3.480700588428392e-20,0.002161419839652272,1.745516948308726e-05,7.519342903205557e-06,0.9999750254876137
3.831186849557277e-20,0.001963687912686335,1.675364834307921e-05,7.113805904931365e-06,0.999976132545752
4.2169650342858224e-20,0.0017840449817703053,1.6088374737530292e-05,6.763925640050671e-06,0.9999771476996224
4.6415888336127534e-20,0.0016208362216915244,1.5453994798727236e-05,6.469524920596088e-06,0.9999780764802807
5.1089697745069136e-20,0.0014725581946596197,1.4845308445192276e-05,6.22757761142516e-06,0.9999789271139434
5.62341325190349e-20,0.0013378450010181789,1.4257535165032846e-05,6.032434877424035e-06,0.9999797100299576
6.189658188912572e-20,0.0012154556969227706,1.3686539585744864e-05,5.876421498842795e-06,0.9999804370389154
6.812920690579594e-20,0.001104262863080304,1.312898673319835e-05,5.750680761908431e-06,0.9999811203325049
7.498942093324558e-20,0.0010032422192479057,1.2582410777760322e-05,5.6461034323983365e-06,0.9999817714857899
8.254041852680139e-20,0.0009114631888225304,1.2045197690184332e-05,5.554165789885752e-06,0.99998240063652
9.085175756516843e-20,0.0008280803266047986,1.1516497658838771e-05,5.4675382985866436e-06,0.9999830159640426
1e-19,0.0007523255307718465,1.0996092883772803e-05,5.380405025296251e-06,0.9999836235020909
