E_keV,K_Xe_L10,K_Xe_O1_delta366,K_F_L10 (velocity-independent kernels, unit coupling, arbitrary norm)
1.000000000000000000e+00,9.775964867762661908e-03,0.000000000000000000e+00,2.253894492360612126e-03
2.000000000000000000e+00,3.624863592556167718e-02,0.000000000000000000e+00,8.985658899545213157e-03
3.000000000000000000e+00,7.555395128935864235e-02,0.000000000000000000e+00,2.015062010109674312e-02
4.000000000000000000e+00,1.243432386444418419e-01,0.000000000000000000e+00,3.570437792611313998e-02
5.000000000000000000e+00,1.797329563364110649e-01,0.000000000000000000e+00,5.560280387042432909e-02
6.000000000000000000e+00,2.392583549036688406e-01,1.025271962087306595e+10,7.980203981881194009e-02
7.000000000000000000e+00,3.008308024321253993e-01,9.739595416736875534e+09,1.082584967722542424e-01
8.000000000000000000e+00,3.626985316646516577e-01,9.249741724421794891e+09,1.409288535801793696e-01
9.000000000000000000e+00,4.234105806175719744e-01,8.782193044907537460e+09,1.777700556777092322e-01
1.000000000000000000e+01,4.817837115774554757e-01,8.336020940321748734e+09,2.187393138278767579e-01
1.100000000000000000e+01,5.368721058055523354e-01,7.910332704135295868e+09,2.637941028688007838e-01
1.200000000000000000e+01,5.879396430949772601e-01,7.504270076360169411e+09,3.128921604657979860e-01
1.300000000000000000e+01,6.344345865364949821e-01,7.117008002302799225e+09,3.659914858684205075e-01
1.400000000000000000e+01,6.759665034804722694e-01,6.747753433469950676e+09,4.230503386723974413e-01
1.500000000000000000e+01,7.122852637622054672e-01,6.395744169267631531e+09,4.840272375864612120e-01
1.600000000000000000e+01,7.432619658110453109e-01,6.060247738175325394e+09,5.488809592040551077e-01
1.700000000000000000e+01,7.688716503151822312e-01,5.740560317118619919e+09,6.175705367798852707e-01
1.800000000000000000e+01,7.891776696872412344e-01,5.436005687802618027e+09,6.900552590113151474e-01
1.900000000000000000e+01,8.043175896934661173e-01,5.145934228807032585e+09,7.662946688245859672e-01
2.000000000000000000e+01,8.144905072929281564e-01,4.869721942280816078e+09,8.462485621658307755e-01
2.100000000000000000e+01,8.199456760034626868e-01,4.606769514110368729e+09,9.298769867968900149e-01
2.200000000000000000e+01,8.209723369877808263e-01,4.356501406470311165e+09,1.017140241095887632e+00
2.300000000000000000e+01,8.178906605552539455e-01,4.118364981699710369e+09,1.107998872862567374e+00
2.400000000000000000e+01,8.110437089204026728e-01,3.891829656479614258e+09,1.202413678128369412e+00
2.500000000000000000e+01,8.007903368653516152e-01,3.676386085319695950e+09,1.300345699971223068e+00
2.600000000000000000e+01,7.874989524370727967e-01,3.471545372392721653e+09,1.401756227335052785e+00
2.700000000000000000e+01,7.715420649869058067e-01,3.276838310785717964e+09,1.506606793853967785e+00
2.800000000000000000e+01,7.532915527446348847e-01,3.091814648265772343e+09,1.614859176681127328e+00
2.900000000000000000e+01,7.331145867270261185e-01,2.916042378686737061e+09,1.726475395322265793e+00
3.000000000000000000e+01,7.113701521246320603e-01,2.749107058190510750e+09,1.841417710473856051e+00
3.100000000000000000e+01,6.884061124043382440e-01,2.590611145383193493e+09,1.959648622865891809e+00
3.200000000000000000e+01,6.645567652210258025e-01,2.440173364692183018e+09,2.081130872109294927e+00
3.300000000000000000e+01,6.401408428617685331e-01,2.297428092135344505e+09,2.205827435547897508e+00
3.400000000000000000e+01,6.154599133619920170e-01,2.162024762757614613e+09,2.333701527115013441e+00
3.500000000000000000e+01,5.907971416454690372e-01,2.033627299013964653e+09,2.464716596194566289e+00
3.600000000000000000e+01,5.664163730598460456e-01,1.911913559400460958e+09,2.598836326486762438e+00
3.700000000000000000e+01,5.425615045162232031e-01,1.796574806657269001e+09,2.736024634878292616e+00
3.800000000000000000e+01,5.194561111048907609e-01,1.687315194888954878e+09,2.876245670317055136e+00
3.900000000000000000e+01,4.973032985585147947e-01,1.583851274968206406e+09,3.019463812691355553e+00
4.000000000000000000e+01,4.762857542777873543e-01,1.485911517609269857e+09,3.165643671713624485e+00
