delta_keV,vmin_kms,v1_mean_kms,v2_mean_kms,v2_min_kms,v2_max_kms,speed_loss_frac,cos_zenith_mean,frac_upward,cz_p10,cz_p90
250,642.8888248005743,685.8201493929944,616.9009936636455,569.0306338434342,752.398632593225,0.10099469071683675,0.00987371376277799,0.5161880808647262,-0.4101082802060726,0.42375341044969866
300,703.7278975777916,733.9819696603674,663.4062383735547,629.8654551213752,746.1963598228508,0.09635125458305982,0.010218150726281013,0.5153248689785614,-0.34686112561647425,0.3655534217561747
350,764.5669703550092,778.7304883424772,706.3335939448045,690.7045314584268,740.266463887444,0.0930020015943196,0.009392080351330438,0.5179009032956368,-0.24155883226966407,0.25935634121691725
380,801.0704140213393,803.9690753945889,730.3983376435516,727.2076285311529,736.7368715734533,0.09151066565571941,0.009214558390789425,0.5358781579910906,-0.10540426769992409,0.12479259272263153
