delta_keV,case,mu_tr_muN,tau_s,P_clean,P_tpc,P_prompt,P_delayed,tau90_s,tau_exp90_s,mu_max90_muN,mu_exp90_muN
250,N=1,8.231e-05,0.0007501234124006588,0.9984540469411469,0.0013864281176233545,0.0,7.072075274813841e-05,3.520562451043994e-07,1.0802476631082527e-05,0.0037993817795052526,0.0006858944587343306
250,N=3.65,0.0001573,0.00020539055987010664,0.9943721879885082,0.005049588677107191,0.0,0.0002563188378399219,3.520562451043994e-07,1.0802476631082527e-05,0.0037993817795052526,0.0006858944587343306
250,N=0.105,2.667e-05,0.007144829880135078,0.9998377307256471,0.00014550040558841578,0.0,7.434176042864488e-06,3.520562451043994e-07,1.0802476631082527e-05,0.0037993817795052526,0.0006858944587343306
270,N=1,0.0001154,0.00030293889705045187,0.9958679436687394,0.0034312637306242798,0.0,0.0004957213155192928,3.6343599356175347e-07,1.167221701860791e-05,0.003331726634105727,0.0005879043206289169
270,N=3.65,0.0002204,8.305073439819852e-05,0.9850417284234522,0.012445026310047501,0.0,0.0017781718318926817,3.6343599356175347e-07,1.167221701860791e-05,0.003331726634105727,0.0005879043206289169
270,N=0.105,3.738e-05,0.002887274421537109,0.9995655514288115,0.0003605324458820765,0.0,5.228235761283451e-05,3.6343599356175347e-07,1.167221701860791e-05,0.003331726634105727,0.0005879043206289169
290,N=1,0.0001696,0.0001131910947920375,0.9866495083702403,0.008793490147154682,0.0,0.004028987211573749,3.851372274828868e-07,1.4180494618777834e-05,0.00290753015946703,0.00047916632443058136
290,N=3.65,0.0003239,3.1034307593757934e-05,0.9524569788942153,0.03162094432700918,0.0,0.014081199800343487,3.851372274828868e-07,1.4180494618777834e-05,0.00290753015946703,0.00047916632443058136
290,N=0.105,5.494e-05,0.0010786651464281757,0.9985858732501701,0.0009283338192175013,0.0,0.0004294604766147266,3.851372274828868e-07,1.4180494618777834e-05,0.00290753015946703,0.00047916632443058136
300,N=1,0.0002107,6.624683199820891e-05,0.97499575111759,0.015074843007901836,0.0,0.009191325820412223,4.284099877162325e-07,1.5697740807057732e-05,0.0026200965744840334,0.00043284112380148816
300,N=3.65,0.0004025,1.8153585560286495e-05,0.912694167550499,0.053629283201020214,0.0,0.03119687380223541,4.284099877162325e-07,1.5697740807057732e-05,0.0026200965744840334,0.00043284112380148816
300,N=0.105,6.827e-05,0.0006310072950626417,0.9973395605508406,0.0015935698187261671,0.0,0.000987297649378413,4.284099877162325e-07,1.5697740807057732e-05,0.0026200965744840334,0.00043284112380148816
310,N=1,0.0002683,3.70281081186299e-05,0.9534811509514207,0.02596492481318697,0.0,0.019160163473737366,4.562381599999487e-07,1.6600633530593647e-05,0.002417077806512075,0.0004007043924107794
310,N=3.65,0.0005127,1.0140193292925253e-05,0.8430921265941718,0.09075993700288794,0.0,0.06172678465666045,4.562381599999487e-07,1.6600633530593647e-05,0.002417077806512075,0.0004007043924107794
310,N=0.105,8.695e-05,0.0003525605344267218,0.994984736620911,0.0027642988998954946,0.0,0.002097507357176599,4.562381599999487e-07,1.6600633530593647e-05,0.002417077806512075,0.0004007043924107794
320,N=1,0.0003529,1.9458291193481887e-05,0.9099236691685446,0.04916073256318119,0.0,0.038596529794428035,5.022370221129883e-07,1.740685704538786e-05,0.0021965932558380527,0.00037311595986601873
320,N=3.65,0.0006741,5.332849908551332e-06,0.7162664438838504,0.16572343708221493,0.0,0.11150558615190312,5.022370221129883e-07,1.740685704538786e-05,0.0021965932558380527,0.00037311595986601873
320,N=0.105,0.0001143,0.00018548788713170102,0.9900393386386879,0.005303757139318286,0.0,0.004389988434835919,5.022370221129883e-07,1.740685704538786e-05,0.0021965932558380527,0.00037311595986601873
330,N=1,0.0004855,9.37427440041951e-06,0.8204546806426778,0.0978578275812957,0.0,0.07758818779524355,5.314427587819379e-07,1.7772954532523537e-05,0.0020390591220498812,0.00035259670559712494
330,N=3.65,0.0009275,2.5685515943551506e-06,0.5076390570326104,0.30484694181907884,0.0,0.1787389999194456,5.314427587819379e-07,1.7772954532523537e-05,0.0020390591220498812,0.00035259670559712494
330,N=0.105,0.0001573,8.930148587724117e-05,0.979056675465201,0.010855831872588985,0.0,0.00956628805934413,5.314427587819379e-07,1.7772954532523537e-05,0.0020390591220498812,0.00035259670559712494
340,N=1,0.0007113,3.993149604645373e-06,0.6399333208847783,0.2052494823483525,0.0,0.14975843269294806,5.395620354265625e-07,1.7582843693803516e-05,0.0019350398233522533,0.0003389737295896895
340,N=3.65,0.001359,1.093911745420923e-06,0.2449560426155454,0.5422109787503193,0.0,0.20764685032751004,5.395620354265625e-07,1.7582843693803516e-05,0.0019350398233522533,0.0003389737295896895
