model,tau_s,delta_keV,f_clean,f_tpc_two_site,f_tpc_merged,f_rfr,f_prompt,f_delayed,N_for_one_two_site,N_for_one_veto
MiDM delta=300 (66 us),6.626e-05,300,0.9750005918225315,0.015071903699070152,0.0021207762268867164,0.000411501697108372,0.0,0.00918956523113206,66.34861925648411,108.81907629451696
MiDM delta=330 (9.4 us),9.375e-06,330,0.8204668899126539,0.09785077452801175,0.015050146577217234,0.0023919211691254627,0.0,0.07758328075619708,10.21964317424723,12.889375007773483
MiDM delta=350 (1.4 us),1.414e-06,350,0.31645113722985463,0.4581362812531953,0.10294143815963103,0.003156639355130443,0.0,0.22004430272594314,2.1827566183245293,4.544539384168751
MiDM delta=366 (0.14 us),1.403e-07,366,0.0056984056922170425,0.9840775425389516,0.6954430685612988,3.0623759409382928e-06,0.0,0.010220979894944072,1.0161800841628474,97.83797740319025
Higgsino (0.06 s),0.06,300,0.999971926267234,1.6803118261022436e-05,2.3446160976088255e-06,4.634736251365963e-07,0.0,1.0429667868922394e-05,59512.76331367985,95880.33028163161
tau = 1 us,1e-06,300,0.27501906807262433,0.5914386529659306,0.13098168521455056,0.007884272439198708,0.0,0.1244129458571547,1.6907924346594985,8.037748749620917
tau = 10 us,1e-05,300,0.8489878573275214,0.09464411337668646,0.013945974690856539,0.0024391368533788153,0.0,0.05225767273258117,10.565897490316903,19.135945933094117
