model,E_comb_keV,E_S1_keV,Nq_at_248,beta_eff_248
"Lindhard k=0.166, W=13.7",217.68389974380392,218.38805887376685,6037.995450853434,1.1794154311621625
"Lindhard k=0.166, W=13.5",214.9774484500456,215.6298401175806,6127.447235310521,1.1794154311621625
"Lindhard k=0.133 (-20%), W=13.7",248.11944318749875,249.4325097648052,5175.665586618066,1.1922397664438986
"Lindhard k=0.199 (+20%), W=13.7",196.49354067933456,196.81254615250594,6792.4682311585675,1.1681951170185711
"Lindhard k=0.139 (Lenardo15 fit), W=13.7",240.84668030144894,242.00867079860978,5362.023746941083,1.1894682985603828
"Lindhard k=0.174 (LUX DD fit), W=13.7",211.7496785351452,212.34258077835494,6234.544005591869,1.1764924144810256
NEST Table S5 (11.2 E^1.1),264.6823634560727,266.5074342705583,4820.752904419906,1.0999999999999712
LZ contour scale (11.32 E^1.112),247.16082482445995,248.54894244467167,5198.187610421827,1.111666281719878
NEST default (11.0 E^1.1),269.05368660254044,270.9879346394253,4734.668031126695,1.0999999999999712
