delta_keV,midm_Xe_per_tyr,midm_W_per_tyr,midm_I_per_tyr,midm_W_over_Xe,midm_I_over_Xe,O1_Xe_per_tyr,O1_W_per_tyr,O1_I_per_tyr,O1_W_over_Xe,O1_I_over_Xe,W_over_Xe_midm_over_O1,I_over_Xe_midm_over_O1
300,1.415e+07,1.785e+06,1.753e+08,0.1261,12.39,5414,8.954e+04,3167,16.54,0.5849,0.007624,21.18
350,7.131e+05,1.752e+05,5.185e+06,0.2457,7.271,148.8,1.605e+04,31.94,107.9,0.2147,0.002278,33.87
366,9.078e+04,8.543e+04,1.523e+05,0.9411,1.678,25.38,9132,0.7501,359.8,0.02955,0.002616,56.77
