delta_keV,mu_N1_muN,sigmav_ff_cm3s,sigmav_gg_est_cm3s,Omega_h2,extra_sigmav_needed_cm3s,N_LZ_if_thermal,tau_if_thermal_s,P_clean_if_thermal
250,8.391e-05,1.249e-28,3.123e-32,42.26,4.388e-26,352.2,2.05e-06,0.597
260,9.911e-05,1.743e-28,6.078e-32,30.29,4.383e-26,252.4,1.822e-06,0.563
270,0.0001182,2.477e-28,1.228e-31,21.31,4.375e-26,177.6,1.627e-06,0.5291
280,0.0001428,3.617e-28,2.617e-31,14.6,4.364e-26,121.6,1.459e-06,0.3835
290,0.0001749,5.427e-28,5.891e-31,9.73,4.346e-26,81.08,1.313e-06,0.3521
300,0.0002188,8.496e-28,1.444e-30,6.215,4.315e-26,51.79,1.186e-06,0.3226
310,0.0002811,1.402e-27,3.932e-30,3.766,4.26e-26,31.38,1.075e-06,0.2949
320,0.0003742,2.485e-27,1.235e-29,2.125,4.152e-26,17.71,9.774e-07,0.2691
330,0.0005263,4.916e-27,4.835e-29,1.074,3.908e-26,8.95,8.912e-07,0.1899
340,0.0008025,1.143e-26,2.612e-28,0.462,3.257e-26,3.85,8.148e-07,0.17
350,0.00141,3.528e-26,2.49e-27,0.1497,8.721e-27,1.247,7.47e-07,0.1521
360,0.003294,1.925e-25,7.416e-26,0.02742,0,0.2285,6.864e-07,0.136
366,0.007596,1.024e-24,2.097e-24,0.005157,0,0.04297,6.532e-07,0.125
370,0.01812,5.828e-24,6.794e-23,0.0009059,0,0.00755,6.323e-07,0.1192
380,2.437,1.054e-19,2.222e-14,5.01e-08,0,4.175e-07,5.837e-07,0.1067
