halo,delta_keV,case,mu_muN,mu_ecm,tau_s,decay_length_m,P_clean,P_tpc,P_delayed,P_prompt
june16_scaled,260,N=2.4,0.00012419,1.3059e-18,0.00029294,194.22,0.99605,0.0035446,0.00018029,0
june16_scaled,270,N=1,9.5565e-05,1.0049e-18,0.00044175,292.88,0.99738,0.0023504,0.00011974,0
june16_scaled,270,N=0.3,5.2343e-05,5.5041e-19,0.0014725,976.26,0.99921,0.00070649,3.607e-05,0
june16_scaled,270,N=2.4,0.00014805,1.5568e-18,0.00018406,122.03,0.99372,0.0056335,0.00028573,0
june16_scaled,280,N=1,0.00011547,1.2142e-18,0.00027128,179.86,0.99382,0.0037072,0.0022911,0
june16_scaled,280,N=0.3,6.3247e-05,6.6507e-19,0.00090428,599.54,0.99814,0.0011131,0.00069002,0
june16_scaled,280,N=2.4,0.00017889,1.8811e-18,0.00011303,74.942,0.98526,0.008859,0.0054417,0
june16_scaled,290,N=1,0.00014144,1.4873e-18,0.00016276,107.91,0.98973,0.0061677,0.0038006,0
june16_scaled,290,N=0.3,7.7468e-05,8.1461e-19,0.00054252,359.69,0.9969,0.0018558,0.0011494,0
june16_scaled,290,N=2.4,0.00021911,2.3041e-18,6.7815e-05,44.962,0.97557,0.014729,0.008984,0
june16_scaled,300,N=1,0.00017697,1.8609e-18,9.3905e-05,62.259,0.98227,0.010665,0.0065367,0
june16_scaled,300,N=0.3,9.6931e-05,1.0193e-18,0.00031302,207.53,0.99464,0.003211,0.0019856,0
june16_scaled,300,N=2.4,0.00027416,2.8829e-18,3.9127e-05,25.941,0.95818,0.025339,0.015261,0
june16_scaled,310,N=1,0.00020976,2.2057e-18,6.058e-05,40.164,0.9727,0.016469,0.010025,0
june16_scaled,310,N=0.3,0.00011489,1.2081e-18,0.00020193,133.88,0.99171,0.0049721,0.0030682,0
june16_scaled,310,N=2.4,0.00032496,3.4171e-18,2.5242e-05,16.735,0.93619,0.038915,0.023054,0
june16_scaled,320,N=1,0.00025767,2.7095e-18,3.65e-05,24.2,0.95524,0.027141,0.01631,0
june16_scaled,320,N=0.3,0.00014113,1.484e-18,0.00012167,80.665,0.98628,0.0082419,0.0050663,0
june16_scaled,320,N=2.4,0.00039917,4.1975e-18,1.5208e-05,10.083,0.89692,0.063629,0.036549,0
june16_scaled,330,N=1,0.00033441,3.5165e-18,1.9759e-05,13.1,0.91018,0.046041,0.042296,0
june16_scaled,330,N=0.3,0.00018316,1.926e-18,6.5863e-05,43.667,0.97196,0.01411,0.01345,0
june16_scaled,330,N=2.4,0.00051806,5.4477e-18,8.2328e-06,5.4584,0.80005,0.10624,0.090667,0
june16_scaled,340,N=1,0.00047042,4.9467e-18,9.1294e-06,6.0528,0.81744,0.09642,0.083319,0
june16_scaled,340,N=0.3,0.00025766,2.7094e-18,3.0431e-05,20.176,0.94049,0.030227,0.028284,0
june16_scaled,340,N=2.4,0.00072878,7.6634e-18,3.8039e-06,2.522,0.62515,0.21281,0.1572,0
june16_scaled,350,N=1,0.00076266,8.0197e-18,3.1842e-06,2.1111,0.57393,0.24724,0.17364,0
june16_scaled,350,N=0.3,0.00041772,4.3926e-18,1.0614e-05,7.037,0.84033,0.083694,0.073464,0
june16_scaled,350,N=2.4,0.0011815,1.2424e-17,1.3267e-06,0.87962,0.2973,0.47799,0.21948,0
june16_scaled,360,N=1,0.0017817,1.8735e-17,5.3614e-07,0.35546,0.09705,0.76353,0.13729,0
june16_scaled,360,N=0.3,0.00097588,1.0262e-17,1.7871e-06,1.1849,0.39059,0.38896,0.21482,0
june16_scaled,360,N=2.4,0.0027602,2.9025e-17,2.2339e-07,0.14811,0.022558,0.94526,0.032009,0
june16_scaled,366,N=1,0.0041086,4.3204e-17,9.5946e-08,0.063612,0.0019391,0.99483,0.0032289,0
june16_scaled,366,N=0.3,0.0022504,2.3664e-17,3.1982e-07,0.21204,0.04363,0.87373,0.08259,0
june16_scaled,366,N=2.4,0.006365,6.6931e-17,3.9977e-08,0.026505,9.2534e-06,0.99998,1.392e-05,0
june16_scaled,370,N=1,0.0098025,1.0308e-16,1.6315e-08,0.010817,2.123e-10,1,7.6704e-10,0
june16_scaled,370,N=0.3,0.005369,5.6458e-17,5.4382e-08,0.036056,9.5326e-05,0.99975,0.00015329,0
june16_scaled,370,N=2.4,0.015186,1.5969e-16,6.7978e-09,0.0045069,8.5543e-21,1,1.1168e-18,0
june16_scaled,380,N=1,1.3182,1.3862e-14,8.3278e-13,5.5213e-07,5.7477e-128,1,4.441e-110,0
june16_scaled,380,N=0.3,0.72202,7.5923e-15,2.7759e-12,1.8404e-06,5.7477e-128,1,4.441e-110,0
june16_scaled,380,N=2.4,2.0422,2.1474e-14,3.4699e-13,2.3006e-07,5.7477e-128,1,4.441e-110,0
