delta_keV,E_minus_keV,N_lo_per_hi,N_LZ2024_at_N1,N_XENONnT_60keV_at_N1,N_PandaX_60keV_at_N1
0,0,385.9,0.997,1.463,0.7267
200,32.54,0.2228,0.07398,0.08329,0.04137
250,57.57,2.438e-08,1.236e-08,4.509e-05,2.24e-05
260,64.08,0,0,1.853e-09,9.207e-10
270,71.22,0,0,0,0
280,79.1,0,0,0,0
290,87.81,0,0,0,0
300,97.5,0,0,0,0
310,108.3,0,0,0,0
320,120.6,0,0,0,0
330,134.6,0,0,0,0
340,150.9,0,0,0,0
350,170.4,0,0,0,0
360,194.5,0,0,0,0
366,212.7,0,0,0,0
370,227.2,0,0,0,0
380,283.8,0,0,0,0
