rho0,v0,vesc,dVsun,k,frame_idx,frame,vE_june,vE_sun,vmax_june,deltamax_june,deltamax_sun,a1_300,phase_300,a1_350,phase_350,a1_366,phase_366,a1_380,phase_380,a1_L10,phase_L10,Niso_300__sun,Niso_300__june,Niso_300__annual,Niso_300,pct248_300__sun,pct248_300__june,pct248_300__annual,pct248_300,Niso_350__sun,Niso_350__june,Niso_350__annual,Niso_350,pct248_350__sun,pct248_350__june,pct248_350__annual,pct248_350,Niso_366__sun,Niso_366__june,Niso_366__annual,Niso_366,Niso_380__sun,Niso_380__june,Niso_380__annual,Niso_380,deltaH_N1__sun,deltaH_N1__june,deltaH_N1__annual,deltaH_N1,Nhig_300__sun,Nhig_300__june,Nhig_300__annual,Nhig_300,Nhig_366__sun,Nhig_366__june,Nhig_366__annual,Nhig_366,NL10_lz__sun,NL10_lz__june,NL10_lz__annual,NL10_lz,log10kappa_300,log10kappa_300__sun,log10kappa_300__june,log10kappa_300__annual,log10kappa_350,log10kappa_350__sun,log10kappa_350__june,log10kappa_350__annual,log10kappa_366,log10kappa_366__sun,log10kappa_366__june,log10kappa_366__annual,log10kappa_380,log10kappa_380__sun,log10kappa_380__june,log10kappa_380__annual,d10,log10d10,d10__sun,log10d10__sun,d10__june,log10d10__june,d10__annual,log10d10__annual
0.325325,237.544,506.591,-3.78654,1.56398,0,sun,261.749,246.316,768.341,353.101,340.418,1.05465,151.798,1.78428,151.799,1.93189,151.616,,,0.0292606,151.795,246.3,844.583,377.644,246.3,98.8202,99.0979,98.9818,98.8202,1.27135e-05,0.0173162,0.0038438,1.27135e-05,0,48.8432,43.3534,0,0,2.57982e-07,4.29019e-08,0,0,0,0,0,314.229,325.376,319.34,314.229,11.6668,42.7119,18.6113,11.6668,0,4.32921e-07,7.20337e-08,0,13.5414,13.9548,13.5799,13.5414,-2.39147,-2.39147,-2.92664,-2.57708,4.89573,4.89573,1.76155,2.41524,,,6.58841,7.36752,,,,,0.271749,-0.565833,0.271749,-0.565833,0.267694,-0.572362,0.271364,-0.566448
0.316455,221.126,529.949,8.87591,0.57157,0,sun,258.007,242.566,787.956,369.222,356.532,0.660603,151.702,1.60668,151.704,1.73529,151.705,1.91059,151.719,0.0284912,151.701,2661.94,5308.59,3125.95,2661.94,99.3051,99.4024,99.3409,99.3051,0.632401,16.7336,4.79648,0.632401,78.1776,93.7991,92.3295,78.1776,0.00116736,0.169179,0.0404353,0.00116736,0,0.000879852,0.000153342,0,336.948,348.413,342.283,336.948,143.127,297.891,170.971,143.127,0.000683154,0.0473158,0.0130209,0.000683154,13.1132,13.5045,13.1507,13.1132,-3.4252,-3.4252,-3.72498,-3.49498,0.199008,0.199008,-1.22359,-0.680922,2.9328,2.9328,0.771654,1.39324,,,3.05559,3.81434,0.27615,-0.558855,0.27615,-0.558855,0.27212,-0.565239,0.275756,-0.559475
0.304603,241.729,571.892,0.928751,1.18962,1,june,270.62,255.204,842.511,414.058,401.388,0.430375,152.009,0.891317,152.01,1.15523,152.01,1.40665,152.011,0.0214199,152.008,10112.6,15806.7,10969,15806.7,99.4816,99.5148,99.4905,99.5148,265.894,713.575,355.929,713.575,98.1267,98.6001,98.3563,98.6001,36.0932,148.337,61.6927,148.337,2.95568,23.6456,8.13924,23.6456,368.878,380.271,373.336,380.271,592.808,943.287,646.198,943.287,1.77433,7.23978,3.02641,7.23978,13.0905,13.3808,13.1159,13.3808,-4.19884,-4.00486,-4.19884,-4.04017,-2.85344,-2.42471,-2.85344,-2.55136,-2.17125,-1.55743,-2.17125,-1.79023,-1.37375,-0.470658,-1.37375,-0.910584,0.273375,-0.563241,0.27639,-0.558478,0.273375,-0.563241,0.276122,-0.5589
0.370844,249.863,528.478,-5.5051,1.42039,0,sun,272.314,256.901,800.792,379.771,367.104,0.679044,152.048,1.50012,152.05,1.6898,152.05,1.75852,152.05,0.0227884,152.047,3243.15,6647.33,3845.68,3243.15,99.2896,99.3799,99.3241,99.2896,2.54786,30.5291,9.70112,2.54786,89.7333,95.5285,94.5798,89.7333,0.0144511,0.805918,0.204362,0.0144511,6.24587e-06,0.0103132,0.00240938,6.24587e-06,340.207,351.559,345.227,340.207,174.34,370.783,209.865,174.34,0.00637384,0.0922433,0.028245,0.00637384,15.9287,16.304,15.9611,15.9287,-3.51097,-3.51097,-3.82265,-3.58497,-0.406176,-0.406176,-1.48471,-0.986822,1.8401,1.8401,0.0937094,0.689599,5.20441,5.20441,1.98661,2.61809,0.250559,-0.60109,0.250559,-0.60109,0.247659,-0.606147,0.250304,-0.601532
0.309938,225.743,563.249,-5.06442,0.349187,2,annual,248.717,233.257,811.966,388.955,376.249,0.459462,151.454,1.19455,151.456,1.52547,151.456,1.67722,151.456,0.0272909,151.453,6229.96,10022.2,6826.24,6826.24,99.4589,99.5024,99.4708,99.4708,60.2903,264.082,108.222,108.222,96.4079,97.9592,97.4254,97.4254,1.83703,26.6547,8.34898,8.34898,0.0238726,1.03593,0.267047,0.267047,355.327,366.811,360.41,360.41,359.51,593.038,396.844,396.844,0.185116,1.34588,0.472624,0.472624,12.7059,13.0714,12.743,12.743,-3.83418,-3.79449,-4.00096,-3.83418,-2.03432,-1.78025,-2.42174,-2.03432,-0.921633,-0.264116,-1.42577,-0.921633,0.573413,1.6221,-0.0153315,0.573413,0.280133,-0.552636,0.280542,-0.552003,0.276591,-0.558162,0.280133,-0.552636
0.411171,247.578,544.782,0.501874,1.81012,2,annual,276.025,260.619,820.807,396.22,383.559,0.599245,152.132,1.25842,152.133,1.51877,152.133,1.66173,152.133,0.0240593,152.13,4319.51,8116.12,4961.5,4961.5,99.3573,99.4198,99.379,99.379,19.324,99.7668,38.397,38.397,95.7313,97.3746,96.8643,96.8643,0.626035,8.35206,2.59217,2.59217,0.00925114,0.361262,0.0945139,0.0945139,348.875,360.18,353.449,353.449,239.175,462.052,277.531,277.531,0.0607831,0.465126,0.159749,0.159749,17.7026,18.1417,17.7396,17.7396,-3.69561,-3.63543,-3.90935,-3.69561,-1.5843,-1.2861,-1.99899,-1.5843,-0.413663,0.203402,-0.921794,-0.413663,1.0245,2.0338,0.442177,1.0245,0.237426,-0.624472,0.237674,-0.624018,0.23478,-0.629339,0.237426,-0.624472
0.463592,236.505,500.068,-8.41379,0.274254,1,june,256.103,240.658,756.171,343.1,330.407,1.01881,151.654,1.86516,151.622,,,,,0.0237126,151.652,1658.42,5167.36,2400.53,5167.36,98.8808,99.201,99.0581,99.201,0,0.0268509,0.00515284,0.0268509,,1.27325,1.1182,1.27325,0,0,0,0,0,0,0,0,321.393,333.388,327.874,333.388,78.2345,266.054,119.267,266.054,0,0,0,0,19.4355,19.9185,19.4823,19.9185,-3.71327,-3.2197,-3.71327,-3.38031,1.57104,,1.57104,2.28795,,,,,,,,,0.224064,-0.649628,0.226831,-0.644298,0.224064,-0.649628,0.226558,-0.64482
0.315561,226.536,565.347,-2.91021,0.580391,2,annual,251.654,236.2,817,393.092,380.391,0.466277,151.535,1.14528,151.536,1.4729,151.537,1.65316,151.536,0.026802,151.533,6217.04,10085.4,6828.63,6828.63,99.4541,99.4973,99.4662,99.4662,68.8153,274.934,116.212,116.212,96.8015,98.0562,97.5877,97.5877,2.97945,31.9118,10.4843,10.4843,0.0455959,1.71908,0.458563,0.458563,356.457,367.874,361.358,361.358,358.358,595.51,396.459,396.459,0.229587,1.57723,0.564543,0.564543,13.0157,13.3826,13.0523,13.0523,-3.83433,-3.79358,-4.00369,-3.83433,-2.06525,-1.83769,-2.43923,-2.06525,-1.02054,-0.474136,-1.50395,-1.02054,0.338601,1.34107,-0.235297,0.338601,0.276794,-0.557843,0.277183,-0.557234,0.273356,-0.563271,0.276794,-0.557843
0.480775,249.809,512.301,-6.67026,0.950822,0,sun,271.099,255.684,783.4,365.478,352.809,0.762143,152.021,1.67427,152.022,1.76977,152.022,1.93185,152.073,0.0209672,152.019,4105.81,9211.03,5043.65,4105.81,99.2122,99.3429,99.2668,99.2122,0.194198,10.0993,2.64055,0.194198,56.9191,90.2619,88.1494,56.9191,5.02267e-06,0.0562123,0.0128665,5.02267e-06,0,4.50106e-06,7.28118e-07,0,335.388,347.12,341.146,335.388,213.814,503.813,268.524,213.814,8.65778e-06,0.025884,0.0062243,8.65778e-06,20.7011,21.1502,20.7403,20.7011,-3.6134,-3.6134,-3.96431,-3.70275,0.711755,0.711755,-1.00429,-0.421694,5.29907,5.29907,1.25017,1.89054,,,5.34669,6.1378,0.219788,-0.657997,0.219788,-0.657997,0.217442,-0.662658,0.21958,-0.658407
0.492684,223.56,505.782,5.06451,1.47984,2,annual,256.634,241.191,762.416,348.232,335.54,1.13155,151.668,1.82445,151.671,,,,,0.0328948,151.666,189.914,746.219,316.894,316.894,98.6706,99.0215,98.8901,98.8901,0,0.00349265,0.000731402,0.000731402,,17.2444,14.5072,14.5072,0,0,0,0,0,0,0,0,311.556,322.765,316.914,316.914,8.75306,36.9704,15.3043,15.3043,0,0,0,0,20.1133,20.807,20.1802,20.1802,-2.50091,-2.27856,-2.87287,-2.50091,3.13584,,2.45685,3.13584,,,,,,,,,0.222606,-0.652463,0.222976,-0.651742,0.219228,-0.659105,0.222606,-0.652463
