rho0,v0,vesc,dVsun,k,frame_idx,frame,vE_june,vE_sun,vmax_june,deltamax_june,deltamax_sun,a1_300,phase_300,a1_350,phase_350,a1_366,phase_366,a1_380,phase_380,a1_L10,phase_L10,Niso_300__sun,Niso_300__june,Niso_300__annual,Niso_300,pct248_300__sun,pct248_300__june,pct248_300__annual,pct248_300,Niso_350__sun,Niso_350__june,Niso_350__annual,Niso_350,pct248_350__sun,pct248_350__june,pct248_350__annual,pct248_350,Niso_366__sun,Niso_366__june,Niso_366__annual,Niso_366,Niso_380__sun,Niso_380__june,Niso_380__annual,Niso_380,deltaH_N1__sun,deltaH_N1__june,deltaH_N1__annual,deltaH_N1,Nhig_300__sun,Nhig_300__june,Nhig_300__annual,Nhig_300,Nhig_366__sun,Nhig_366__june,Nhig_366__annual,Nhig_366,NL10_lz__sun,NL10_lz__june,NL10_lz__annual,NL10_lz,log10kappa_300,log10kappa_300__sun,log10kappa_300__june,log10kappa_300__annual,log10kappa_350,log10kappa_350__sun,log10kappa_350__june,log10kappa_350__annual,log10kappa_366,log10kappa_366__sun,log10kappa_366__june,log10kappa_366__annual,log10kappa_380,log10kappa_380__sun,log10kappa_380__june,log10kappa_380__annual,d10,log10d10,d10__sun,log10d10__sun,d10__june,log10d10__june,d10__annual,log10d10__annual
0.403492,248.721,561.986,-4.0202,1.91124,0,sun,272.657,257.245,834.643,407.591,394.924,0.539066,152.056,1.08671,152.057,1.35063,152.057,1.55188,152.058,0.023789,152.055,5600.1,9860.82,6298.4,5600.1,99.4033,99.4518,99.4189,99.4033,57.3568,210.09,91.2618,57.3568,97.1668,98.0242,97.676,97.1668,4.26619,28.463,10.2069,4.26619,0.158658,2.62687,0.786247,0.158658,356.235,367.428,360.624,356.235,316.592,570.388,358.828,316.592,0.249272,1.41996,0.531534,0.249272,17.3,17.7254,17.3367,17.3,-3.7482,-3.7482,-3.99391,-3.79923,-1.75858,-1.75858,-2.32241,-1.96029,-0.63004,-0.63004,-1.45428,-1.00889,0.799539,0.799539,-0.419439,0.104441,0.240423,-0.619023,0.240423,-0.619023,0.237521,-0.624298,0.240169,-0.619483
0.317699,237.224,544.905,1.42011,1.45484,2,annual,266.619,251.196,811.525,388.592,375.916,0.613537,151.915,1.35183,151.917,1.59962,151.917,1.69782,151.917,0.0253655,151.914,2962.42,5653.53,3426,3426,99.344,99.4135,99.3686,99.3686,8.06638,53.5357,19.2892,19.2892,94.3544,96.9162,96.2681,96.2681,0.131432,3.13746,0.896842,0.896842,0.00134312,0.0761525,0.0190334,0.0190334,344.173,355.404,348.796,348.796,162.889,320.567,190.566,190.566,0.0230118,0.203847,0.0675594,0.0675594,13.4562,13.8109,13.4882,13.4882,-3.53479,-3.47165,-3.75232,-3.53479,-1.28531,-0.906679,-1.72864,-1.28531,0.0472839,0.881299,-0.496578,0.0472839,1.72048,2.87189,1.11832,1.72048,0.272285,-0.564976,0.272608,-0.564461,0.269085,-0.57011,0.272285,-0.564976
0.340794,247.434,566.708,-1.53829,0.538623,2,annual,273.848,258.438,840.556,412.451,399.786,0.359562,152.082,0.802517,152.083,1.08433,152.084,1.36933,152.084,0.0179741,152.082,24041.3,34795.2,25532.7,25532.7,99.5294,99.5558,99.5354,99.5354,1022.37,2409.29,1282.55,1282.55,98.4532,98.8373,98.6182,98.6182,168.482,596.513,261.994,261.994,16.2974,112.321,40.0783,40.0783,379.047,390.874,383.982,383.982,1443.8,2121.7,1538.74,1538.74,8.03224,29.191,12.7285,12.7285,14.8076,15.0822,14.831,14.831,-4.4071,-4.38096,-4.54152,-4.4071,-3.10808,-3.00961,-3.38189,-3.10808,-2.41829,-2.22655,-2.77562,-2.41829,-1.60291,-1.21212,-2.05046,-1.60291,0.259666,-0.585586,0.259871,-0.585242,0.257494,-0.589232,0.259666,-0.585586
0.31121,224.698,546.594,2.18627,1.30795,0,sun,254.9,239.453,801.494,380.348,367.653,0.667863,151.622,1.48068,151.623,1.68048,151.623,1.74699,151.623,0.0295306,151.62,1615.87,3288.49,1919.36,1615.87,99.2941,99.3799,99.3269,99.2941,1.50351,16.643,5.40588,1.50351,90.4931,95.7575,94.8535,90.4931,0.00932887,0.487693,0.126055,0.00932887,8.12739e-06,0.00652833,0.00156079,8.12739e-06,336.756,347.88,341.393,336.756,87.0782,183.614,104.937,87.0782,0.00386365,0.0511606,0.0159696,0.00386365,12.7938,13.1903,12.8325,12.7938,-3.20841,-3.20841,-3.517,-3.28316,-0.177107,-0.177107,-1.22123,-0.732867,2.03017,2.03017,0.311854,0.89944,5.09005,5.09005,2.1852,2.80666,0.279576,-0.553499,0.279576,-0.553499,0.275342,-0.560128,0.279155,-0.554155
0.383435,220.823,528.71,0.3342,1.84398,0,sun,249.194,233.735,777.904,360.961,348.256,0.976609,151.468,1.73775,151.469,1.85369,151.464,,,0.0356043,151.466,206.453,635.061,299.129,206.453,98.937,99.1466,99.0514,98.937,0.000556111,0.0728198,0.017445,0.000556111,13.8426,77.8356,74.0795,13.8426,0,0.000172489,3.4121e-05,0,0,0,0,0,315.094,325.986,319.7,315.094,10.0577,32.6729,15.0313,10.0577,0,9.90172e-05,1.97482e-05,0,15.3024,15.8773,15.3606,15.3024,-2.31482,-2.31482,-2.80282,-2.47586,3.25484,3.25484,1.13775,1.75833,,,3.76324,4.46698,,,,,0.255635,-0.59238,0.255635,-0.59238,0.250964,-0.600388,0.25515,-0.593205
0.497812,229.301,542.147,-6.46731,1.23282,1,june,250.864,235.409,793.012,373.377,360.675,0.721471,151.514,1.58251,151.515,1.72506,151.515,1.84401,151.511,0.0284433,151.512,2201.84,4768.79,2683.67,4768.79,99.2433,99.3499,99.287,99.3499,0.555547,11.8631,3.48872,11.8631,82.1928,93.9069,92.6178,93.9069,0.00167571,0.154759,0.0375653,0.154759,0,0.00133615,0.000269735,0.00133615,335.27,346.589,340.398,346.589,116.358,262.591,144.387,262.591,0.000950723,0.0333812,0.00947515,0.0333812,20.404,21.0149,20.4652,21.0149,-3.67841,-3.34279,-3.67841,-3.42873,-1.0742,0.255279,-1.0742,-0.542666,0.810343,2.7758,0.810343,1.42521,2.87415,,2.87415,3.56906,0.218141,-0.661263,0.221382,-0.654858,0.218141,-0.661263,0.221051,-0.655508
0.446934,243.796,577.227,-3.08238,1.50767,2,annual,268.682,253.262,845.908,416.85,404.177,0.451808,151.964,0.901356,151.965,1.15015,151.965,1.3891,151.966,0.0223259,151.963,11488.1,18400.9,12556.3,12556.3,99.4661,99.501,99.4759,99.4759,270.923,741.652,366.805,366.805,98.074,98.5449,98.3065,98.3065,36.6977,150.6,62.725,62.725,3.18727,24.1188,8.40538,8.40538,369.087,380.476,373.534,373.534,668.742,1090.72,734.785,734.785,1.81773,7.38236,3.09301,3.09301,19.1218,19.5645,19.1611,19.1611,-4.09886,-4.06025,-4.26484,-4.09886,-2.56444,-2.43285,-2.8702,-2.56444,-1.79744,-1.56464,-2.17782,-1.79744,-0.924557,-0.503418,-1.38236,-0.924557,0.228449,-0.64121,0.228684,-0.640765,0.226082,-0.645734,0.228449,-0.64121
0.381707,231.258,567.665,-3.72867,1.74628,2,annual,255.543,240.097,823.208,398.193,385.499,0.585872,151.638,1.21656,151.64,1.48341,151.64,1.64212,151.64,0.0286917,151.637,2683.67,4995.79,3086.88,3086.88,99.3624,99.421,99.3828,99.3828,14.3376,68.1926,27.1338,27.1338,96.1096,97.5332,97.0646,97.0646,0.565139,6.40147,2.06317,2.06317,0.00965447,0.330325,0.0892756,0.0892756,346.859,357.936,351.167,351.167,149.049,284.83,173.096,173.096,0.047403,0.343511,0.120794,0.120794,15.7505,16.2244,15.7965,15.7965,-3.48952,-3.42873,-3.6986,-3.48952,-1.43351,-1.15648,-1.83374,-1.43351,-0.314536,0.247845,-0.80628,-0.314536,1.04927,2.01527,0.481058,1.04927,0.251605,-0.59928,0.251972,-0.598647,0.248265,-0.605084,0.251605,-0.59928
0.313,234.666,550.355,0.768877,0.924188,2,annual,263.421,247.991,813.776,390.442,377.761,0.526525,151.838,1.25181,151.839,1.54439,151.84,1.68037,151.84,0.0237909,151.837,5768.26,9966.17,6445.84,6445.84,99.4131,99.4674,99.4298,99.4298,34.8831,174.942,68.2676,68.2676,95.8291,97.6053,97.0505,97.0505,0.932691,14.8817,4.5372,4.5372,0.0117779,0.529103,0.135241,0.135241,352.218,363.667,357.139,357.139,326.064,579.169,367.702,367.702,0.105473,0.806928,0.277706,0.277706,13.2489,13.5773,13.2792,13.2792,-3.80928,-3.76104,-3.99853,-3.80928,-1.83421,-1.54262,-2.24289,-1.83421,-0.656788,0.0302621,-1.17265,-0.656788,0.86889,1.92893,0.276459,0.86889,0.274419,-0.561585,0.274732,-0.56109,0.27139,-0.566406,0.274419,-0.561585
0.332228,244.972,569.4,-0.700174,0.181102,0,sun,272.229,256.816,841.629,413.333,400.666,0.326148,152.046,0.728073,152.046,1.00536,152.047,1.30771,152.048,0.0184834,152.045,26949.4,37715.5,28411.6,26949.4,99.55,99.5721,99.5548,99.55,1547.25,3314.53,1861.48,1547.25,98.668,98.9757,98.7868,98.668,303.421,937.237,435.821,303.421,36.4455,206.456,77.5964,36.4455,383.446,395.389,388.441,383.446,1638.2,2321.12,1731.4,1638.2,14.3761,46.4753,21.2503,14.3761,14.3936,14.6684,14.4173,14.3936,-4.43055,-4.43055,-4.57652,-4.4535,-3.18956,-3.18956,-3.52042,-3.26986,-2.48205,-2.48205,-2.97185,-2.63931,-1.56164,-1.56164,-2.31483,-1.88984,0.263582,-0.579085,0.263582,-0.579085,0.261101,-0.583192,0.263365,-0.579442
